rank	username	minecraft:mined/minecraft:crimson_sign
1	Freak_Genius	9
2	12Magner05	7
3	beeperbeeper5	6
4	Blenderyoda	5
4	NomadicRobin_	5
6	pintsizedrogue	4
6	Smoke____	4
8	lordpipe	3
8	Legendosh	3
8	PlasticOtari	3
11	rarrq	2
11	CliffEmAll	2
11	egglapras	2
11	Hyp3rion_	2
11	iElijah	2
11	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
11	Lord_Jord	2
11	Jiminie	2
11	GlitchyPlate810	2
20	susbakaimpostor	1
20	eitanzaki	1
20	Blackberry1310	1
20	damarless	1
20	paranoid_plant	1
20	Rebytre	1
20	PigDab	1
20	ToastedGamingYT	1
20	KliBeast21	1
20	Syropatathe	1
20	Godspirit249	1
20	Ze_BaronKrigler	1
20	Kubeusz2010	1
20	Quotary	1
