rank	username	minecraft:mined/minecraft:small_amethyst_bud
1	Mahoose	230
2	Enderslayerxz3	177
3	Frozil20	99
4	corvidpartyfor6	89
5	thewindmillman	51
6	Hyp3rion_	47
7	SpacesickPrism	42
8	lordpipe	41
9	TheSecondLord	36
10	pintsizedrogue	33
11	Jiminie	24
12	Snowflowe	21
13	pixelviolin	20
14	RatatJuice	19
14	noam464	19
16	Kakolbus	18
17	ApophisNova	15
17	MyNamaSheff	15
19	PlasticOtari	12
20	Alteriity	11
20	Solar_Power	11
22	diamondgolem35	10
22	Flores991	10
22	500am	10
22	MilleGrug	10
26	dartwaffle	9
26	Legendosh	9
28	Kowcio_	8
28	YungMaki	8
28	Spenduh	8
31	12Magner05	7
31	Steelynan	7
33	Xalithia	6
33	Hermanni__	6
33	Miko_Fullbuster	6
36	eitanzaki	5
36	Myszoaz	5
36	Smashic	5
36	PigDab	5
40	NomadicRobin_	4
40	00000000-0000-0000-0009-01ff0c3e5e4f	4
40	00000000-0000-0000-0009-01fbab7ea71d	4
43	ShedJr_	3
43	MSK__	3
43	SuperPooch06	3
43	Dan_Scha	3
43	SingedBread	3
48	RebelAndroid	2
48	egglapras	2
48	ZeroAbyssTTV	2
48	JitteryJared2	2
48	Rebytre	2
48	Moofyman	2
48	Deathkob	2
48	NameGenerat0r	2
48	starbits140	2
48	WYFYoyo	2
58	RoskobiOne	1
58	Huwulling	1
58	Prismyst	1
58	Lez_	1
58	MrKrabOnCoke	1
58	ccwildfire1	1
58	beeperbeeper5	1
58	Mookle96	1
58	Inchef	1
58	Kubelz	1
58	TheDankPlatypus	1
58	prizm_	1
58	CollinMH06	1
58	Marbz_	1
58	cwartzo	1
58	_Boipl_	1
58	groofles	1
58	AuroraSkies	1
58	Fuad_R	1
58	StinkyDiplomat	1
58	Steven1282598	1
58	ItsDeltaMC	1
58	Sheldor097	1
58	TheOuterCore	1
58	Skippeh	1
