rank	username	minecraft:mined/minecraft:spruce_door
1	burbankbuilder28	160
2	Dedalus36	100
3	kekhon	71
4	pintsizedrogue	69
5	_stets	60
6	Legendosh	46
7	500am	38
8	sebastiensaborio	33
9	pixelviolin	29
10	Mahoose	28
11	joethahobo	27
12	xxPipperDipperxx	25
13	diamondgolem35	24
13	fred870d	24
13	El_Jalapeno	24
13	Ze_BaronKrigler	24
17	beeperbeeper5	22
17	rarrq	22
17	Freak_Genius	22
20	Wolverine4302	21
21	Inchef	20
22	EveryonesUncle	19
22	MyNameIsDakar	19
22	HellsSponge	19
25	SteveCraftBlocks	18
25	Smoke____	18
27	soundad	17
27	Quotary	17
29	Skylord_Luke	16
29	RodSerlingCringe	16
31	Frozt99	15
31	SkateboardR6	15
33	Kakolbus	14
33	sammidk	14
33	EcksDofficial	14
36	littlesophiagirl	12
36	Sleek_Storm_721	12
38	Drlzyy	11
38	SquadMonster	11
38	_Dean_123	11
38	Eraxa	11
38	Kowcio_	11
38	fffMike	11
38	Enderslayerxz3	11
45	Merv__	10
45	Blackberry1310	10
45	TheSecondLord	10
45	bloodbiter	10
45	PegLegPete93	10
45	Chromary	10
45	RoyalDorrr	10
52	AshleeCW	9
52	hm947	9
52	ShedJr_	9
52	Historical_Sand	9
52	jacxhadow	9
52	Laykon	9
58	error10101	8
58	Awyrlas	8
58	Winklepicker279	8
58	_Boipl_	8
58	Dusk_95	8
58	Spenduh	8
58	WYFYoyo	8
65	egglapras	7
65	Syropatathe	7
65	SvenskaHugo	7
65	Soplight	7
65	GlitchyPlate810	7
65	oxfordschool	7
65	cichy096	7
65	PlasticOtari	7
73	orxngejuice	6
73	regulator75	6
73	Bonzaidalek	6
73	trexgb	6
77	EMC_	5
77	CoffeeNoir	5
77	Auseawesome	5
77	ElFi66	5
77	breadbowlgamer	5
77	Arceus1975	5
77	Akoot_	5
77	SammiWolfGirl	5
77	CalebDHawk	5
86	strongman951753	4
86	Tommhh	4
86	TheMaster972	4
86	Nicky_H225	4
86	eclipseboi	4
86	Enigma0251	4
86	r123moore	4
86	ReverendSmith	4
86	SlayerCrypto	4
86	ProfessorDiaper	4
86	Spacewardharpy7	4
86	AnonymousUserr	4
86	UltraZombie	4
86	TinyTheMelon	4
86	Ezekson	4
101	_NieToksikpl_	3
101	xyct	3
101	12Magner05	3
101	noam464	3
101	CarltheCuck	3
101	SuperPooch06	3
101	Zythose	3
101	nut_e	3
101	ApophisNova	3
101	Hail_the_wombat	3
101	XxCookiequeenxX	3
101	SolicitedPuma101	3
101	MAns_44	3
101	MightyWertu	3
101	VilsSwag	3
101	Shin69	3
101	Luigipunch989	3
101	SirBreadward	3
101	MyNamaSheff	3
120	Groovy_MoonBird	2
120	JEWISHBadenBeele	2
120	teslawolf38	2
120	KarlKaek	2
120	BlancoFlaco	2
120	Wooptey	2
120	H72l9w	2
120	Swexti	2
120	LoboTheLobster	2
120	Kkanot	2
120	himak1	2
120	Kokeech	2
120	CarryLine	2
120	TheTrueClipse	2
120	NomadicRobin_	2
120	DarkS0L	2
120	Shogunite	2
120	kyouma777	2
120	ReyTheLegend	2
120	obzii	2
140	MixerDixer	1
140	Paint	1
140	Bk2Lumby4You	1
140	lewieinnit	1
140	Yatitay	1
140	6king6colt6	1
140	ImpavidArcher	1
140	T045RTY	1
140	MSK__	1
140	IWorkAtIkea	1
140	titanlax	1
140	MrExplorer	1
140	Ardennes	1
140	Fullut	1
140	set67	1
140	NotTrixi	1
140	ROY4LE	1
140	pumpfonzo	1
140	DermeinUser	1
140	M_Patata	1
140	Marbz_	1
140	Jackattack53	1
140	Armattillo	1
140	thewindmillman	1
140	ormr_kin	1
140	Hoid_the_Roamer	1
140	CTH_98	1
140	seramalen	1
140	Jonte0599	1
140	FishyBoy3811	1
140	masskedman	1
140	fkGrim	1
140	Jiminie	1
140	H_Biscuit	1
140	LexMakesHistory	1
140	NameGenerat0r	1
140	queenalina123	1
140	EfficientC52	1
140	Cyntrical	1
140	Steven1282598	1
140	Blaiku	1
140	MasterNueve	1
140	CheifJumbo	1
140	Princesse_Louise	1
140	MineMaster0012	1
140	jaimshae	1
140	LeeMcGee30	1
140	Kubeusz2010	1
140	Hylo482y	1
140	scarletwarrior1	1
140	CrazyPotater	1
140	diggydog67	1
