rank	username	minecraft:mined/minecraft:oak_leaves
1	EveryonesUncle	93038
2	CoffeeNoir	83375
3	Blackberry1310	26414
4	Legendosh	22175
5	PigDab	22130
6	Smoke____	18675
7	Hyp3rion_	15328
8	TheShyPig	14569
9	HellsSponge	14470
10	Marbz_	13454
11	rarrq	12259
12	eitanzaki	11736
13	Di_infiri	11267
14	El_Jalapeno	11134
15	beeperbeeper5	11115
16	mwrty	10711
17	pintsizedrogue	10617
18	Snowflowe	10437
19	Ezekson	10403
20	Werbe	9877
21	Skylord_Luke	9634
22	Mahoose	9579
23	noam464	9506
24	WET_WET_WET	9155
25	Spacewardharpy7	8838
26	Freak_Genius	8585
27	Nycteus_	8578
28	claivin	7610
29	ShedJr_	7355
30	vandmanden	7320
31	Merv__	7203
32	djancak	7190
33	PlasticOtari	7126
34	m_be9	6807
35	ToastedGamingYT	6799
36	Kouridragon	6753
37	Arceus1975	5966
38	ROY4LE	5684
39	Onennon	5599
40	burbankbuilder28	5524
41	cedric72	5503
42	Prodiginus	5490
43	joethahobo	5405
44	TheThomas69	5271
45	bloodbiter	5171
46	500am	5150
47	LordSpeed37	5086
48	KingMatthew506	5067
49	PortlyPete69	4925
50	gcaisawesome	4903
51	_Dean_123	4729
52	Lord_Jord	4657
53	Steelynan	4551
54	IWorkAtIkea	4415
55	Hermanni__	4351
56	lordpipe	4343
57	kekhon	4273
58	TechnoNinja64	4135
59	TheSecondLord	3918
60	Wooptey	3880
61	Frozil12	3877
62	titanlax	3863
63	eiC_	3852
64	RadarHz	3836
65	YungMaki	3533
66	Miko_Fullbuster	3514
67	Fullut	3386
68	oxfordschool	3375
69	CarltheCuck	3345
70	hcb238	3329
71	Jiminie	3273
72	Factoroni	3236
73	Darkgon	3167
74	ssleepless	3143
75	MixerDixer	3138
76	Ssor69	3115
77	anbbang	3104
78	kyouma777	3066
79	Jimi7hits	3032
80	Racengan	2989
81	TheBiggestFeller	2978
82	Winklepicker279	2917
83	TheDankPlatypus	2913
84	Eraxa	2903
85	audiocracked	2789
86	soundad	2563
87	Dogcorn69420	2524
88	DemTechAlpha	2508
89	master9067	2478
90	Blaiku	2463
91	Malorn_Aetherius	2430
92	MyNameIsJobo	2424
93	thescout7	2397
94	XxCookiequeenxX	2369
