rank	username	minecraft:mined/minecraft:gray_stained_glass_pane
1	PlasticOtari	444
2	joethahobo	210
3	Chromary	155
4	cedric72	154
5	Merv__	127
6	noam464	105
7	Smoke____	73
8	Eraxa	70
9	Mahoose	66
10	kekhon	57
11	beeperbeeper5	48
12	Groundler	45
13	Blackberry1310	40
14	eitanzaki	29
15	ImpavidArcher	25
16	Di_infiri	24
17	500am	23
18	TheShyPig	21
19	TheSecondLord	18
20	lcvezra	14
21	Blaiku	13
22	Soplight	12
23	SammiWolfGirl	11
23	AltnumberF4	11
25	ApophisNova	10
25	MyNamaSheff	10
27	XxCookiequeenxX	8
28	Jalvajar	7
28	EMC_	7
28	bloodbiter	7
28	obzii	7
32	Snowflowe	6
32	Rebytre	6
32	Akoot_	6
32	Gab4101	6
32	jcool7	6
32	oxfordschool	6
38	pintsizedrogue	5
38	r123moore	5
38	Jeteight	5
41	carbo_bro	4
42	HellsSponge	3
42	Frozil12	3
42	cog	3
42	TheTommyGun63	3
42	Hermanni__	3
47	Frozt99	2
47	livingdaydreams	2
47	Historical_Sand	2
47	LoboTheLobster	2
47	SuperPooch06	2
47	GreedyFern8581	2
47	_Boipl_	2
47	EveryonesUncle	2
47	Jiminie	2
47	_Karmaa	2
47	Freak_Genius	2
47	Nycteus_	2
47	KG1999	2
47	pixelviolin	2
47	cichy096	2
47	Enderslayerxz3	2
47	00000000-0000-0000-0009-01f358e1a055	2
64	_Virify_	1
64	Ostrich5183	1
64	awesomeoneme	1
64	Stright_	1
64	doggysam15	1
64	Werbe	1
64	NomadicRobin_	1
64	Steelynan	1
