rank	username	minecraft:mined/minecraft:fire_coral
1	thewindmillman	302
2	Kouridragon	145
3	Di_infiri	119
4	Legendosh	93
5	Enderslayerxz3	66
6	kekhon	50
7	ImpavidArcher	48
8	pintsizedrogue	38
8	beeperbeeper5	38
10	500am	37
11	TheShyPig	36
12	Hyp3rion_	32
13	12Magner05	28
14	Merv__	22
14	livingdaydreams	22
14	_Dean_123	22
17	Fullut	20
18	Onennon	18
19	Vetral1	17
20	Mahoose	16
21	RoskobiOne	15
22	__tomato	14
23	MyNameIsJobo	13
23	YungMaki	13
25	Mewar	12
25	Marbz_	12
25	ApophisNova	12
25	EcksD	12
25	MyNamaSheff	12
30	Blackberry1310	11
30	HellsSponge	11
32	AuroraValkyrie	10
32	lordpipe	10
34	SaucyDark	9
34	Inbefour	9
36	Nagasaki_Riku	7
36	KingMatthew506	7
38	Xalithia	6
38	noam464	6
38	Xclax101	6
38	IdeallyGrey	6
38	Luigipunch989	6
43	6king6colt6	5
43	BodaciousCake	5
43	urbeans	5
43	Blu3beast	5
43	Blaiku	5
43	mihimihimihi	5
43	djancak	5
43	lcvezra	5
43	TechnoNinja64	5
52	Bandito_Roamer	4
52	eitanzaki	4
52	titanlax	4
52	Inchef	4
52	surfinggiraffejp	4
52	eiC_	4
52	Kakolbus	4
52	Arceus1975	4
52	Jiminie	4
61	dimondking777	3
61	Iagoku	3
61	T045RTY	3
61	ratglock	3
61	TheSecondLord	3
61	CrookedKaptain	3
61	NotoriousNina	3
61	Jackattack53	3
61	Bumpy419	3
61	TheSeismicDuck	3
61	Deathkob	3
61	Karbl	3
61	iSammael	3
61	PortlyPete69	3
61	Steelynan	3
61	PlasticOtari	3
61	Smoke____	3
78	Jovaphobic	2
78	KarlKaek	2
78	joethahobo	2
78	H72l9w	2
78	IWorkAtIkea	2
78	Ardennes	2
78	emrekn	2
78	Rumpletaezer	2
78	burbankbuilder28	2
78	aec9	2
78	Jimi7hits	2
78	Maenara	2
78	fw3xywashere	2
78	fkGrim	2
78	KlausVonStiglitz	2
78	NameGenerat0r	2
78	Dusk_95	2
78	stellarjay	2
78	Powowowow	2
78	Sral7	2
78	Zoeyfortnite	2
78	diggydog67	2
100	Groovy_MoonBird	1
100	dudcreeper	1
100	TildaAndrea	1
100	Frozil20	1
100	RatatJuice	1
100	ShedJr_	1
100	Historical_Sand	1
100	gaziter10	1
100	Ssor69	1
100	bloodbiter	1
100	eclipseboi	1
100	shyshyannne	1
100	Irko	1
100	Covalents	1
100	Noah_Bez	1
100	benediktine1	1
100	TheDankPlatypus	1
100	M_Patata	1
100	CollinMH06	1
100	loveseeker	1
100	Studyhallsaver	1
100	SokaOtaku	1
100	Jeteight	1
100	Donutt	1
100	Rebytre	1
100	Hiryu27	1
100	Voxin2K	1
100	fred870d	1
100	HolyVenom	1
100	HoldThatPee	1
100	Akoot_	1
100	SpookyDraggin	1
100	binman420	1
100	audiocracked	1
100	FreddyFart	1
100	XxCookiequeenxX	1
100	sufjanlover	1
100	jambvds	1
100	chipklip	1
100	Quaintster	1
100	Freak_Genius	1
100	DukBob	1
100	cytotoxaint	1
100	Hisiste	1
100	Factoroni	1
100	MasterNueve	1
100	MakeHistory157	1
100	ZoharGoldMine	1
100	33sudo	1
100	ayamefag	1
100	pixelviolin	1
100	BlankityMcBlank	1
100	Soplight	1
100	SpacesickPrism	1
100	fffMike	1
100	MilleGrug	1
100	OfficerAnvil	1
100	Nicserso	1
100	YoshikageBites	1
100	EcksDofficial	1
100	FishisTTV	1
100	h2p_emrld	1
