rank	username	minecraft:mined/minecraft:bell
1	YungMaki	269
2	Soplight	147
3	PhantomsGhost_	72
4	chipklip	65
5	Freak_Genius	63
6	Mahoose	55
7	EcksDofficial	52
8	EveryonesUncle	49
9	claivin	47
10	kekhon	43
10	Ezekson	43
12	500am	41
12	noam464	41
14	Onennon	35
15	beeperbeeper5	34
16	ROY4LE	30
16	Skippeh	30
18	Fullut	29
19	HellsSponge	25
20	12Magner05	24
21	Akoot_	23
21	El_Jalapeno	23
23	burbankbuilder28	20
23	pixelviolin	20
23	TechnoNinja64	20
26	SaucyDark	19
26	Kakolbus	19
26	trexgb	19
29	Di_infiri	17
29	TheShyPig	17
29	DarlaMeow	17
32	Shiirazuku	16
32	Legendosh	16
32	vandmanden	16
35	loveseeker	15
35	RodSerlingCringe	15
35	wezzzi	15
38	Blackberry1310	14
38	egglapras	14
38	Kouridragon	14
41	pintsizedrogue	13
41	Xclax101	13
41	fluddd	13
41	sebastiensaborio	13
45	Guillemet	12
45	SuperPooch06	12
45	OtariCharlie	12
45	Hisiste	12
45	MeetTheWollo	12
50	Merv__	11
50	ImpavidArcher	11
50	pappaberg	11
50	jcool7	11
54	mwrty	10
54	thewindmillman	10
54	Blu3beast	10
54	Blaiku	10
54	Eraxa	10
59	fanofbands101	9
59	Wooptey	9
59	Historical_Sand	9
59	Frxnkz	9
59	Cryptacity	9
59	TheSecondLord	9
59	SHAOBADMAN	9
59	Chromary	9
59	Werbe	9
59	Maenara	9
59	NameGenerat0r	9
59	AssEatrAndLicker	9
59	djancak	9
59	EcksD	9
73	Hpdinosaur	8
73	joethahobo	8
73	Euclidoris	8
73	Bumpy419	8
73	_Karmaa	8
73	KingMatthew506	8
79	Bandito_Roamer	7
79	Drlzyy	7
79	TylerDupree	7
79	Kowcio_	7
83	eitanzaki	6
83	ProfessorBee	6
83	Enigma0251	6
83	Xalithia	6
83	2Stout	6
83	BlueZabu	6
83	gabriels543	6
83	RobotMinion101	6
83	Kim_Jong_eel	6
83	Inbefour	6
83	AssFullaCum	6
83	Smoke____	6
95	q_wq	5
95	EMC_	5
95	6king6colt6	5
95	emrekn	5
95	Rumpletaezer	5
95	Deathkob	5
95	Spacewardharpy7	5
95	stellarjay	5
95	kinas45y5	5
104	KarlKaek	4
104	Zipdrip	4
104	MSK__	4
104	titanlax	4
104	lordsaladito	4
104	thescout7	4
104	TableTim	4
104	AnnieBathory	4
104	The11thDoctor	4
104	TheSeismicDuck	4
104	WyngGoy	4
104	ayamefag	4
104	Spenduh	4
104	stahouo	4
104	SammiWolfGirl	4
104	Oxygen16	4
104	Powowowow	4
121	SugarMyNuggets	3
121	Groovy_MoonBird	3
121	TooManyDuck	3
121	Frozt99	3
121	Jahara	3
121	Vizzoid	3
121	Stynxy	3
121	ratglock	3
121	_Dean_123	3
121	crying_wolf_13	3
121	Awyrlas	3
121	PegLegPete93	3
121	Inchef	3
121	eviltunix	3
121	CharlieButt	3
121	Arceus1975	3
121	fred870d	3
121	NoobSlayerPro	3
121	fkGrim	3
121	bluefragmentt	3
121	Frozil12	3
121	Racengan	3
121	Dusk_95	3
121	CheifJumbo	3
121	sp00ky_ghost977	3
121	2blox	3
147	Louiis123	2
147	NinjaKnifeKill	2
147	rarrq	2
147	tortillatitan	2
147	Tmb1	2
147	theonlymagikarp	2
147	HypixelForums	2
147	Paintz	2
147	benediktine1	2
147	TheDankPlatypus	2
147	SeverianTheLame	2
147	MustardDrinker	2
147	Skylord_Luke	2
147	KartivGal	2
147	NomadicRobin_	2
147	The_slideV3	2
147	MAns_44	2
147	Cyntrical	2
147	BumbleBeever	2
147	Barlycorn	2
147	VilsSwag	2
147	Luigipunch989	2
147	obzii	2
147	Dogcorn69420	2
147	Sheldor097	2
147	Vellu21	2
147	VentiHilton	2
147	TheOuterCore	2
147	Nicserso	2
147	Enderslayerxz3	2
147	jnp_gaming	2
147	diggydog67	2
179	heysushii	1
179	SyK7	1
179	abramgray	1
179	_stets	1
179	soundad	1
179	TildaAndrea	1
179	AshleeCW	1
179	Sleek_Storm_721	1
179	Hyugo	1
179	_Razar	1
179	Incinere	1
179	RebelAndroid	1
179	youhjjhhhjj	1
179	Myrlewen	1
179	ShedJr_	1
179	SpaceGrenadier	1
179	gaziter10	1
179	IWorkAtIkea	1
179	Ozixar	1
179	Nicky_H225	1
179	SteveCraftBlocks	1
179	Scattman_	1
179	redikul	1
179	Kamflame10	1
179	gcaisawesome	1
179	r123moore	1
179	Kubelz	1
179	M_Patata	1
179	ImDisconnected_	1
179	CollinMH06	1
179	Windo_licker	1
179	nitram49b	1
179	whoaluv	1
179	Hyp3rion_	1
179	King_Pancake1	1
179	Ebsen05	1
179	_Boipl_	1
179	WarMachina	1
179	ApophisNova	1
179	jewbacaman	1
179	MonitorLizards	1
179	victorLIE	1
179	aec9	1
179	CarryLine	1
179	Huic_ostiarius	1
179	Leyna3	1
179	Sky_light_KING	1
179	Klerick	1
179	wirelesstree	1
179	natajimi	1
179	audiocracked	1
179	Lord_Zacler	1
179	DTwenty	1
179	NYJ	1
179	lillips	1
179	balin55	1
179	Meatlaugh	1
179	JESS_THE_RERE	1
179	Quaintster	1
179	Groundler	1
179	SingedBread	1
179	LordAurum	1
179	__Auspicious	1
179	DarkLawD	1
179	MasterNueve	1
179	IAmTheWalrus910	1
179	csendeslol	1
179	lilguppy	1
179	IdeallyGrey	1
179	ReyTheLegend	1
179	StreetLouis	1
179	__tomato	1
179	ediballbearings	1
179	SSytex_X	1
179	jaimshae	1
179	lcvezra	1
179	morningelegance	1
179	PortlyPete69	1
179	APS_Dan	1
179	GlitchyPlate810	1
179	HAruSAme14	1
179	fffMike	1
179	mawileite	1
179	MilleGrug	1
179	Eczbek	1
179	oxfordschool	1
179	JungeSchnauzer	1
179	_AAZAR	1
179	MyNamaSheff	1
179	Weepingbiel	1
179	UrbanPlanner1978	1
179	JayToe	1
179	remmisrat	1
