rank	username	minecraft:mined/minecraft:spruce_wall_hanging_sign
1	Moofyman	12
2	crashomon	9
3	SnowyAvi	6
3	skitzxo	6
5	Merv__	4
5	TheWickedBird	4
7	Huwulling	2
7	Soplight	2
9	j5ylim	1
9	TheSecondLord	1
9	fragrantmonke444	1
9	Mattesco	1
9	Enderxz3	1
