rank	username	minecraft:mined/minecraft:torchflower
1	Enderxz3	3702
2	pintsizedrogue	781
3	Mattesco	226
4	Kowcio_	210
5	MAns_44	132
6	ECstardust	74
7	cutelilreno	64
8	Pumpkin_P_Patch	56
9	Spaghettatron	48
10	TheSecondLord	36
11	Merv__	34
12	Jimb0nat0r	17
13	ZaneABrain	16
13	FiguraDei	16
15	j5ylim	12
16	robonya_	10
16	KamFurnace	10
18	Fullut	8
18	craaaash	8
20	oscminus	7
20	EveryonesUncle	7
22	Krowuss	6
23	k_ce	5
23	XxCookiequeenxX	5
25	Caribouse	2
25	Alteriity	2
25	Hyp3rion_	2
25	luseis	2
25	Steelynan	2
30	Jackattack53	1
30	Gzrdy	1
30	lunkuku	1
30	Yamdalorian	1
