rank	username	minecraft:mined/minecraft:bookshelf
1	TechnoNinja64	7748
2	HellsSponge	5634
3	Hyp3rion_	4419
4	noam464	3439
5	Historical_Sand	2940
6	joethahobo	2888
7	YungMaki	2160
8	500am	1743
9	gcaisawesome	1478
10	Mahoose	1274
11	beeperbeeper5	1174
12	Lord_Jord	1104
13	Hermanni__	943
14	chipklip	927
15	PigDab	899
16	Xclax101	885
17	Di_infiri	850
18	thewindmillman	820
19	kekhon	730
20	oxfordschool	728
21	EveryonesUncle	622
22	TheSecondLord	566
23	thescout7	556
24	Legendosh	535
25	Ezekson	472
26	Blu3beast	467
27	SteveCraftBlocks	452
27	Enderslayerxz3	452
29	mwrty	445
30	eitanzaki	434
31	pintsizedrogue	397
32	Inchef	387
33	Arceus1975	386
34	Comma__	363
35	El_Jalapeno	362
36	aec9	339
37	Blaiku	329
37	Racengan	329
39	TheShyPig	328
40	Merv__	307
41	MightyWertu	277
42	JayToe	272
43	sebastiensaborio	265
44	Rumpletaezer	259
44	Bumpy419	259
46	Smoke____	257
47	Akoot_	244
48	Kakolbus	241
49	Maenara	236
50	livingdaydreams	235
51	fffMike	234
52	Zaridey	214
52	Snowflowe	214
54	NotMeowMix	208
55	mariominejedi	200
56	EfficientC52	198
57	Spacewardharpy7	187
57	sp00ky_ghost977	187
59	Drlzyy	186
60	_Karmaa	164
61	ROY4LE	156
62	Soplight	151
63	NotMeanttoChange	147
64	KarlKaek	138
65	m_be9	131
65	burbankbuilder28	131
67	Werbe	128
67	AssEatrAndLicker	128
69	Inbefour	127
69	EcksDofficial	127
71	whoaluv	123
72	Frxnkz	121
73	DanTheBuilderino	119
74	Freak_Genius	118
75	Onennon	113
75	The_slideV3	113
77	pixelviolin	112
77	diggydog67	112
79	Vizzoid	108
80	Dedalus36	107
81	xxPipperDipperxx	106
82	Eczbek	104
83	PlasticOtari	102
84	SaucyDark	101
85	MinttyFressh	100
85	Spenduh	100
87	Zoeyfortnite	97
88	FirsTimeGamingTV	95
89	ZeroKraken	93
89	OfficerAnvil	93
91	Skylord_Luke	92
92	diamondgolem35	87
93	picardred	86
94	RebelAndroid	85
95	Sral7	83
96	_naturell	82
97	Fullut	81
98	T045RTY	78
98	Kubeusz2010	78
100	Cocoamallows	77
101	Iagoku	75
101	CSG_Haru	75
103	TheDankPlatypus	74
103	wezzzi	74
105	Jovaphobic	73
105	WYFYoyo	73
107	claivin	72
107	Skippeh	72
109	Dusk_95	69
110	soundad	68
110	301851	68
112	lcvezra	66
113	XxCookiequeenxX	65
114	lotarp	64
114	ApophisNova	64
114	SkateboardR6	64
114	MyNamaSheff	64
118	titanlax	63
119	SlayerCrypto	62
120	MattieHD	61
