rank	username	minecraft:mined/minecraft:bricks
1	EveryonesUncle	3244
2	PlasticOtari	2763
3	El_Jalapeno	2546
4	burbankbuilder28	2021
5	Quotary	1823
6	Legendosh	1482
7	RodSerlingCringe	1478
8	Smoke____	1316
9	Freak_Genius	1284
10	_stets	1056
11	beeperbeeper5	905
12	Eczbek	857
13	Steelynan	800
14	Mahoose	791
15	TheShyPig	736
16	Enderslayerxz3	719
17	Kakolbus	718
18	Di_infiri	607
19	Dedalus36	597
20	ShedJr_	510
21	EcksDofficial	472
22	SingedBread	408
23	Ezekson	402
24	Merv__	401
25	Historical_Sand	328
26	m_be9	325
27	Onennon	317
28	thewindmillman	257
29	Kowcio_	245
30	teslawolf38	241
31	KarlKaek	223
32	joethahobo	215
33	Mr_Byzantine	212
34	MyNameIsDakar	211
35	anbbang	205
36	Soplight	204
37	DarlaMeow	191
38	chipklip	185
39	fkGrim	169
39	SkateboardR6	169
41	HolyVenom	162
42	CalebDHawk	153
43	Jiminbub	150
44	xorompole	148
45	ROY4LE	147
46	ImpavidArcher	135
47	Jiminie	132
48	Diavri	130
49	Frozil12	121
50	LeauVox4921	118
51	Spacewardharpy7	116
52	cog	112
53	rarrq	99
54	CoffeeNoir	96
55	BilboBaggins23	92
56	Tommhh	87
56	SaucyDark	87
56	bloomkieren	87
59	SquadMonster	83
59	shdesolt	83
61	oxfordschool	82
62	seanitoo	81
62	kekhon	81
64	Jackattack53	80
64	Zetsey	80
66	egglapras	76
67	Deerfoot	71
68	Fullut	66
69	Jordan_R	65
70	set67	58
71	dartwaffle	51
72	Hpdinosaur	47
73	500am	46
73	Inchef	46
73	_naturell	46
76	Lord_Jord	43
77	__Fanda__	42
78	Skylord_Luke	39
78	Meatlaugh	39
80	NomadicRobin_	37
81	sp00ky_ghost977	35
82	RatatJuice	34
82	EfficientC52	34
84	NotMeanttoChange	33
84	Nicserso	33
86	CueMix	32
87	epiksk8erduck	31
88	littlesophiagirl	30
88	RobotMinion101	30
90	groofles	29
90	DTwenty	29
92	JohnPrice	27
93	SpaceGrenadier	26
93	ChosenBruh	26
93	TheSecondLord	26
93	Felenov	26
97	MinttyFressh	25
98	2Stout	24
98	Barlycorn	24
98	stahouo	24
98	_3Stump_	24
102	00000000-0000-0000-0009-01f7965f8059	23
103	Spenduh	22
103	lcvezra	22
105	MrExplorer	21
105	DarkS0L	21
105	NameGenerat0r	21
105	BumbleBeever	21
105	kyouma777	21
110	Rasmanden	20
110	_Bguette_	20
112	wobn	19
112	07shiny	19
112	EcksD	19
115	MyNameIsJobo	18
115	Werbe	18
115	Deathkob	18
118	Blackberry1310	16
118	Notta	16
120	dudcreeper	15
120	stuy9	15
122	Bandito_Roamer	14
123	laron58	13
124	titanlax	12
124	Gryglu583	12
126	shyshyannne	11
126	SteveCraftBlocks	11
126	Awyrlas	11
126	Winklepicker279	11
126	KermitTheKripple	11
126	Njensen7	11
132	paranoid_plant	10
132	ImDisconnected_	10
132	Donutt	10
132	MeetTheWollo	10
136	eitanzaki	9
136	Hyp3rion_	9
136	PigDab	9
139	ThePoliteG	8
139	John6970	8
139	Chromary	8
139	ProbsNotNova	8
143	Rumpletaezer	7
143	PortlyPete69	7
145	Sleek_Storm_721	6
145	noam464	6
145	Marbz_	6
145	Snowflowe	6
145	Akoot_	6
145	Warlord324	6
145	YungMaki	6
152	_NieToksikpl_	5
152	TakeThis2UrGrave	5
152	Kynigito	5
152	MangoSalad316	5
152	Seindi	5
152	Kubeusz2010	5
158	itburb	4
158	Incinere	4
158	YungJakobo	4
158	Jobydobe	4
158	mwrty	4
158	himak1	4
158	LotusProject	4
158	PegLegPete93	4
158	0nly_sn1per	4
158	Queen_Jalapeno	4
158	Sqwishy	4
158	Roikdean	4
158	claivin	4
158	censorsheep	4
158	sadvavilloso	4
158	Nekomin0	4
158	The_SlideV5	4
175	wickedword	3
175	NasdaqCrash	3
175	thescout7	3
175	Hoshi	3
175	gcaisawesome	3
175	Doom_melon	3
175	_czarny	3
175	alderban107	3
175	00000000-0000-0000-0009-01f16526f034	3
184	PhantomsGhost_	2
184	Alteriity	2
184	Epicguyuk	2
184	wiqor	2
184	Xalithia	2
184	HypixelForums	2
184	Zythose	2
184	Solar_Power	2
184	NNikitas	2
184	iElijah	2
184	Moofyman	2
184	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
184	Toasty_Tom	2
184	MAns_44	2
184	Blu3beast	2
184	Dusk_95	2
184	pixelviolin	2
184	UCP_TheKingK	2
184	__tomato	2
184	stellarjay	2
184	SammiWolfGirl	2
184	MissCeleste7	2
184	adiccting01	2
184	vandmanden	2
184	Yogscast_Manden	2
209	SugarMyNuggets	1
209	elicobnoah	1
209	tuckerdoodle	1
209	RebelAndroid	1
209	C0by3llis	1
209	Myszoaz	1
209	MSK__	1
209	Ozixar	1
209	InfernalMound	1
209	roxycherry	1
209	TheThomas69	1
209	Smashic	1
209	MindyDooWho	1
209	fade_emerge78823	1
209	Uzbeki_John	1
209	intropass	1
209	r123moore	1
209	zemey	1
209	loveseeker	1
209	yaboo88	1
209	LAVA129	1
209	AnnieBathory	1
209	SokaOtaku	1
209	drompje	1
209	Wowful	1
209	420BreadLizard	1
209	The_slideV3	1
209	Nycteus_	1
209	Xclax101	1
209	Blaiku	1
209	lordpipe	1
209	APS_Dan	1
209	jcool7	1
209	Winston_Ingram	1
209	mawileite	1
209	jnp_gaming	1
209	TechnoNinja64	1
209	Sral7	1
209	kinas45y5	1
209	Wanjibon	1
