rank	username	minecraft:mined/minecraft:warped_roots
1	12Magner05	800
2	Hyp3rion_	605
3	Alteriity	561
4	Ezekson	520
5	T045RTY	496
6	Snowflowe	474
7	Mahoose	454
8	Xalithia	442
9	joethahobo	440
10	PigDab	409
11	TheShyPig	403
12	pintsizedrogue	390
13	lordpipe	380
14	Lord_Jord	328
15	Lutres_	268
16	Arceus1975	208
17	Ryker	192
18	Fullut	177
18	luseis	177
20	Soplight	175
21	eitanzaki	174
22	excelsionprime	169
23	AdmiralSmoke	156
24	djancak	141
25	Cowison	137
25	Spacewardharpy7	137
27	Kubelz	125
28	YungMaki	122
29	Historical_Sand	120
30	lizardfightclub	103
31	pixelviolin	100
32	monky_irl	98
32	Enderxz3	98
34	Kowcio_	95
35	beeperbeeper5	91
36	Hermanni__	84
37	Huwulling	83
38	DarlaMeow	71
39	500am	68
40	TheSecondLord	67
41	CliffEmAll	64
42	BobDeBouwer1337	63
43	_Huge_Male_	62
44	TheDankPlatypus	60
45	PortlyPete69	57
46	RoskobiOne	52
47	HolyVenom	51
48	Manaateee	47
48	FreakGenius	47
50	CoffeeNoir	45
51	PlasticOtari	39
52	IdeallyGrey	34
53	Inchef	30
53	noam464	30
55	Marbz_	29
56	Decaying_Lotus	27
56	SammiWolfGirl	27
58	rarrq	26
58	CarltheCuck	26
58	ConnorDanky_	26
61	_Dean_123	24
61	MAns_44	24
63	BlancoFlaco	23
63	ZeroKraken	23
65	mwrty	22
66	Blaiku	21
67	Blackberry1310	20
68	HellsSponge	17
69	DinoDoctor_	16
69	PegLegPete93	16
69	r123moore	16
69	Steelynan	16
73	thewindmillman	15
73	Kubeusz2010	15
75	Mr_Byzantine	14
75	Moofyman	14
77	ooga47	13
77	SpacesickPrism	13
79	Winklepicker279	12
79	TheEnderMan548	12
79	Luigipunch989	12
79	anbbang	12
83	MilleGrug	11
83	diggydog67	11
85	teslawolf38	10
85	diamondgolem35	10
85	Crowman1	10
85	shrimp_flips	10
89	kekhon	9
89	mihimihimihi	9
91	Awyrlas	8
91	EveryonesUncle	8
91	Druid95	8
94	Mookle96	7
95	titanlax	6
95	gcaisawesome	6
95	pumpfonzo	6
95	trixterrx	6
95	Afinnity	6
95	MightyWertu	6
95	00000000-0000-0000-0009-01ff0c3e5e4f	6
102	LeGold	5
102	DanTheBuilderino	5
102	Skippeh	5
105	livingdaydreams	4
105	ShedJr_	4
105	TowenPL	4
105	NomadicRobin_	4
105	LazySupport00	4
105	brofrickcheaters	4
105	MissCeleste7	4
105	Jimb0nat0r	4
113	set67	3
113	AuroraSkies	3
113	Dakar_	3
113	wwwwinnebagoooo	3
113	sp00ky_ghost977	3
113	_Yonk_	3
113	NATE_the_HALO	3
120	RatatJuice	2
120	Wooptey	2
120	jessewegottacook	2
120	Tiberonus	2
120	Kakolbus	2
120	burbankbuilder28	2
120	Silvo614	2
120	AlexxO_o	2
120	FishyBoy3811	2
120	PuFY	2
120	groofles	2
120	LeonelSalamanca	2
120	Lord_Zacler	2
120	DemTechAlpha	2
120	iSammael	2
120	TheALV	2
120	ZoomieZoomie	2
120	cichy096	2
120	Nicserso	2
120	jnp_gaming	2
120	trexgb	2
120	FishisTTV	2
142	Krasnal1337	1
142	fanofbands101	1
142	Paint	1
142	Merv__	1
142	AmericanUK	1
142	shineh10	1
142	I_Am_Mushkin	1
142	Jindong	1
142	__lizi	1
142	SyntheticSurgeon	1
142	Prismyst	1
142	PhantomBionic	1
142	Lez_	1
142	IgnoredBee	1
142	SquadMonster	1
142	ccwildfire1	1
142	TheFlfthHorseman	1
142	NieToksikpl	1
142	jacxhadow	1
142	MrExplorer	1
142	MinttyFressh	1
142	Secret_Canary	1
142	SteveCraftBlocks	1
142	Enigma0251	1
142	Kkanot	1
142	shadowthemonkey	1
142	BeanTown45	1
142	Di_infiri	1
142	Jackattack53	1
142	SuperPooch06	1
142	Zythose	1
142	GreedyFern8581	1
142	0Vyp_	1
142	KartivGal	1
142	Mattesco	1
142	MastaZink	1
142	Deathkob	1
142	Nycteus_	1
142	SingedBread	1
142	Toriankel	1
142	Ze_BaronKrigler	1
142	Eraxa	1
142	_Mythic____	1
142	_JrTurtle_	1
142	Segotep999	1
142	_i_ERROR_i_	1
142	Erased_Identity	1
142	EngagedGrub41	1
142	EcksD	1
142	TechnoNinja64	1
142	Biites	1
142	xolstoi	1
142	Jordan_R	1
