rank	username	minecraft:mined/minecraft:horn_coral
1	thewindmillman	312
2	Kouridragon	141
3	Di_infiri	135
4	Jackattack53	96
5	Enderxz3	92
6	Legendosh	88
7	ImpavidArcher	53
8	beeperbeeper5	35
9	pintsizedrogue	33
9	12Magner05	33
11	500am	30
12	TheShyPig	29
13	Fullut	26
13	Hyp3rion_	26
13	YungMaki	26
16	livingdaydreams	25
16	_Dean_123	25
18	Mahoose	20
18	Kowcio_	20
20	Lez_	18
20	Onennon	18
22	RoskobiOne	16
22	lordpipe	16
24	eitanzaki	14
25	HellsSponge	13
26	Merv__	12
26	ApophisNova	12
26	MyNamaSheff	12
29	Nicserso	11
30	Blackberry1310	10
31	Ssor69	9
31	titanlax	9
31	Inbefour	9
34	luseis	8
34	IdeallyGrey	8
34	Luigipunch989	8
34	KingMatthew506	8
38	AuroraValkyrie	7
38	kekhon	7
38	Rumpletaezer	7
38	Kura2218	7
42	urbeans	6
42	Xalithia	6
42	Vetral1	6
42	KlausVonStiglitz	6
42	__tomato	6
42	lcvezra	6
48	Mewar	5
48	noam464	5
48	Marbz_	5
48	Maenara	5
48	Blu3beast	5
48	Blaiku	5
48	djancak	5
48	PlasticOtari	5
56	T045RTY	4
56	surfinggiraffejp	4
56	TheDankPlatypus	4
56	Kakolbus	4
56	mihimihimihi	4
56	Factoroni	4
56	Fizznut909	4
56	Steelynan	4
56	TechnoNinja64	4
56	FishisTTV	4
66	Jovaphobic	3
66	KarlKaek	3
66	SaucyDark	3
66	Huwulling	3
66	bloodbiter	3
66	Inchef	3
66	burbankbuilder28	3
66	Studyhallsaver	3
66	Bumpy419	3
66	Rebytre	3
66	groofles	3
66	Deathkob	3
66	Karbl	3
66	iSammael	3
66	EcksD	3
66	Smoke____	3
66	h2p_emrld	3
83	Bandito_Roamer	2
83	Iagoku	2
83	eclipseboi	2
83	eiC_	2
83	hanaryheatwave	2
83	Jimi7hits	2
83	TheSeismicDuck	2
83	Jiminbub	2
83	RoofTyler	2
83	_Karmaa	2
83	NameGenerat0r	2
83	Quaintster	2
83	El_Jalapeno	2
83	Spacewardharpy7	2
83	Soplight	2
83	GlitchyPlate810	2
83	OfficerAnvil	2
83	Sral7	2
83	Wanjibon	2
102	H0UNDFRMH3LL	1
102	6king6colt6	1
102	diamondgolem35	1
102	Paleshield	1
102	Alteriity	1
102	Prismyst	1
102	Historical_Sand	1
102	Ozixar	1
102	TheSecondLord	1
102	MrExplorer	1
102	Ardennes	1
102	MattieHD	1
102	UncreativeArtist	1
102	asspharte	1
102	Paintz	1
102	Noah_Bez	1
102	NotoriousNina	1
102	M_Patata	1
102	mariominejedi	1
102	legal_tax_evader	1
102	MyNameIsJobo	1
102	RobotMinion101	1
102	_Cloverbelle_	1
102	AlexxO_o	1
102	aec9	1
102	KeruNatsema	1
102	Nicky19	1
102	ChrisKyleST3	1
102	fw3xywashere	1
102	binman420	1
102	audiocracked	1
102	FreddyFart	1
102	Katsuragi0243218	1
102	XxCookiequeenxX	1
102	YungWali	1
102	DarlaMeow	1
102	1442	1
102	Xclax101	1
102	GravitySaint	1
102	yoyoYoloMonke	1
102	Typadopoulos	1
102	monky_irl	1
102	Dusk_95	1
102	MasterNueve	1
102	ZoharGoldMine	1
102	BlankityMcBlank	1
102	PortlyPete69	1
102	fffMike	1
102	ZeroKraken	1
102	Biites	1
102	xolstoi	1
102	diggydog67	1
