rank	username	minecraft:mined/minecraft:crimson_button
1	Rebytre	21
2	binman420	18
3	thewindmillman	10
4	Smoke____	9
5	beeperbeeper5	8
5	Jackattack53	8
7	CruncyIsTaken	2
8	pintsizedrogue	1
8	TheSecondLord	1
8	BobDeBouwer1337	1
8	12Magner05	1
8	kekhon	1
8	Jonafrog99	1
