rank	username	minecraft:mined/minecraft:black_stained_glass
1	RebelAndroid	3334
2	pixelviolin	847
3	MightyWertu	840
4	mwrty	792
5	m_be9	654
6	Mahoose	647
6	500am	647
8	pintsizedrogue	632
9	AuroraValkyrie	610
10	noam464	530
11	beeperbeeper5	521
12	PigDab	495
13	stahouo	492
14	Legendosh	473
15	ROY4LE	412
16	33sudo	397
17	Spacewardharpy7	391
17	YungMaki	391
19	Fuhrer_Teemo	346
20	IvarEXE	272
21	Enderslayerxz3	261
22	Hyp3rion_	256
23	_Karmaa	237
24	Xalithia	232
25	EcksD	230
26	BobDeBouwer1337	224
27	lillips	222
28	6king6colt6	183
29	Maenara	177
30	audiocracked	172
31	ImpavidArcher	170
32	Werbe	156
33	Marbz_	149
34	NameGenerat0r	147
35	Smoke____	136
36	The_slideV3	133
36	Groundler	133
38	jnp_gaming	122
39	fffMike	119
40	NomadicRobin_	103
41	Di_infiri	89
42	titanlax	85
43	joethahobo	80
44	Historical_Sand	79
44	Jackattack53	79
46	burbankbuilder28	73
46	Freak_Genius	73
48	Ssor69	71
49	MakeHistory157	67
49	h2p_emrld	67
51	Onennon	56
52	K_a__a_n	53
53	benediktine1	52
54	Blaiku	50
54	Steelynan	50
56	thescout7	47
57	MyNameIsJobo	46
57	MAns_44	46
59	TheSecondLord	40
60	eitanzaki	36
61	claivin	31
62	Zoeyfortnite	30
63	Truckoss	29
63	sadvavilloso	29
65	Iagoku	28
65	CliffEmAll	28
65	EcksDofficial	28
68	ssleepless	26
68	Deathkob	26
70	Dedalus36	25
71	Avrelion	24
72	BumbleBeever	23
73	sammidk	22
74	seramalen	20
75	SingedBread	19
76	scarletwarrior1	17
77	Motsaro	16
77	TheShyPig	16
79	rarrq	15
79	Eraxa	15
79	GlitchyPlate810	15
82	Jovaphobic	14
82	fkGrim	14
84	Nostrom	13
84	thewindmillman	13
86	PlasticOtari	12
87	Kamflame10	11
87	Dan_Scha	11
87	ogoa	11
87	oxfordschool	11
91	Blackberry1310	10
91	eclipseboi	10
91	emrekn	10
91	Akoot_	10
91	Kyrum2169	10
91	Sheldor097	10
97	diamondgolem35	9
97	DanTheBuilderino	9
97	fluddd	9
97	Mr_Teddiursa_K	9
101	_NieToksikpl_	8
101	teslawolf38	8
101	Myszoaz	8
101	Rebytre	8
101	dartwaffle	8
101	Soplight	8
107	lahavmor	7
107	HyperCave	7
107	LexMakesHistory	7
107	Th6masss	7
107	Spenduh	7
107	YoshikageBites	7
113	ShedJr_	6
113	SquadMonster	6
113	TinMaster	6
113	Fullut	6
117	kekhon	5
117	Bumpy419	5
117	EveryonesUncle	5
117	_3Stump_	5
117	Kubeusz2010	5
117	Sral7	5
123	JEWISHBadenBeele	4
123	zylanzagreat	4
123	Bn_bytes	4
123	Zielo2017PL	4
127	SaucyDark	3
127	oreee	3
127	xxPipperDipperxx	3
127	Snowflowe	3
127	ibarker21	3
127	Sky_light_KING	3
127	Shogunite	3
127	Frozil12	3
127	TechnoNinja64	3
127	Wanjibon	3
137	Groovy_MoonBird	2
137	xyct	2
137	Merv__	2
137	Incinere	2
137	KomputerDude	2
137	Crafter45	2
137	Smashic	2
137	NotMeanttoChange	2
137	Inchef	2
137	r123moore	2
137	Mattesco	2
137	HolyVenom	2
137	TheTrueClipse	2
137	Coolbou0427	2
137	Xclax101	2
137	MovingFish7	2
137	bruh072	2
137	tsitrawhy	2
137	obzii	2
137	Hermanni__	2
137	Ezekson	2
137	Lord_Lollo	2
137	JohnPrice	2
160	susbakaimpostor	1
160	_Virify_	1
160	Drlzyy	1
160	Hpdinosaur	1
160	Franco093	1
160	jimintyy	1
160	MSK__	1
160	FS0L0	1
160	CrookedKaptain	1
160	Jaseisverycool	1
160	Tjhodskins19	1
160	theonlymagikarp	1
160	Seiko39	1
160	Kakolbus	1
160	gabriels543	1
160	AJplaysMC_	1
160	mshs94	1
160	mvrty	1
160	BusinesManFrecks	1
160	Hiryu27	1
160	cedric72	1
160	FishyBoy3811	1
160	Egenho	1
160	HolUpWaitAMin	1
160	Yahir091	1
160	lordpipe	1
160	sp00ky_ghost977	1
160	stavgod	1
160	KG1999	1
160	ediballbearings	1
160	PortlyPete69	1
160	TheOuterCore	1
160	Quotary	1
160	cichy096	1
160	BreadBacon	1
160	kinas45y5	1
160	trexgb	1
160	FishisTTV	1
160	561cool	1
