rank	username	minecraft:mined/minecraft:player_wall_head
1	joethahobo	254
2	kekhon	116
3	lordpipe	90
4	Mahoose	80
5	luseis	71
6	beeperbeeper5	69
7	eitanzaki	57
8	Blackberry1310	53
9	EcksD	49
10	Spacewardharpy7	46
11	Kowcio_	42
12	MirielThePastor	35
13	ImpavidArcher	33
14	Chromary	30
15	fluddd	27
16	Akoot_	22
16	RealGroot	22
18	Inchef	18
19	pintsizedrogue	17
19	PlasticOtari	17
21	YungMaki	16
22	Blaiku	15
23	Di_infiri	14
24	Eraxa	12
25	12ws2d1fk91asdhs	10
26	rarrq	9
27	Lez_	8
27	TheSecondLord	8
27	xxPipperDipperxx	8
27	TheShyPig	8
27	binman420	8
32	LoboTheLobster	7
32	iElijah	7
32	738b4f65-6cbd-4ead-ba31-c14211abfb06	7
32	2da1	7
32	Smoke____	7
37	Hyp3rion_	6
38	SuperPooch06	5
38	thewindmillman	5
38	NomadicRobin_	5
38	Blu3beast	5
42	0nly_sn1per	4
42	ApophisNova	4
42	Werbe	4
42	obzii	4
42	MyNamaSheff	4
47	noam464	3
47	lillips	3
47	RoofTyler	3
47	MakeHistory157	3
47	Ezekson	3
47	ConnorDanky_	3
47	00000000-0000-0000-0009-01f73aa9620f	3
54	JohnnyFyes	2
54	Frozil20	2
54	ShedJr_	2
54	heckface	2
54	mattybeewrapss	2
54	Lor1113	2
54	TheTrueClipse	2
54	The_Quack_Dealer	2
54	claivin	2
54	FreakGenius	2
54	jcool7	2
54	Kubeusz2010	2
66	Riick_Astley	1
66	mix9ine_maz	1
66	Mr_Byzantine	1
66	FazeObama69	1
66	Flegneh	1
66	Merv__	1
66	C0by3llis	1
66	WarHammer3	1
66	Huwulling	1
66	Da_Boss_Rani	1
66	TheFlfthHorseman	1
66	Cranium856	1
66	jaiLIVE	1
66	SteveCraftBlocks	1
66	_Dean_123	1
66	500am	1
66	Smashic	1
66	Awyrlas	1
66	Shane1x	1
66	ComradeSquirrel	1
66	prizm_	1
66	Antek_Kicek	1
66	SlayerCrypto	1
66	Jackattack53	1
66	MalcMan13	1
66	Bongo_Drums_	1
66	RobotMinion101	1
66	PigDab	1
66	Bjendo	1
66	Luminad3	1
66	Elastiq	1
66	HellsSponge	1
66	Stylessz	1
66	Xclax101	1
66	ItzWqlfy	1
66	TheTommyGun63	1
66	Godspirit249	1
66	Timeover05	1
66	Soplight	1
66	SammiWolfGirl	1
66	Hermanni__	1
66	Tenoto	1
66	Enderxz3	1
66	Legendosh	1
66	Jimb0nat0r	1
