rank	username	minecraft:mined/minecraft:fletching_table
1	noam464	124
2	pintsizedrogue	92
3	SmashingPump	91
4	Racengan	85
5	HellsSponge	51
6	sp00ky_ghost977	44
7	eitanzaki	39
8	Soplight	31
9	Blaiku	27
10	PlasticOtari	25
11	TheShyPig	20
11	luseis	20
13	mwrty	19
14	Historical_Sand	18
15	Di_infiri	17
16	500am	14
17	rarrq	13
17	PigDab	13
17	2bolx_	13
20	Kubeusz2010	11
21	_Virify_	9
21	Spacewardharpy7	9
23	Bandito_Roamer	8
23	T045RTY	8
23	Vizzoid	8
23	Bucscw24	8
23	pixelviolin	8
23	Skippeh	8
29	Zythose	7
29	FreakGenius	7
29	diggydog67	7
32	Shazzyling	6
32	thescout7	6
34	Merv__	5
34	m_be9	5
34	kekhon	5
34	gcaisawesome	5
34	JESS_THE_RERE	5
34	El_Jalapeno	5
34	Hisiste	5
41	beeperbeeper5	4
41	M_Patata	4
41	Chromary	4
41	Snowflowe	4
41	Solar_Power	4
41	Werbe	4
41	Onennon	4
41	Dogcorn69420	4
41	ConnorDanky_	4
50	EMC_	3
50	SaucyDark	3
50	Ryker	3
50	joethahobo	3
50	ProfessorBee	3
50	Kkanot	3
50	eiC_	3
50	XboxPanda	3
50	TableTim	3
50	Arceus1975	3
50	wezzzi	3
50	MinuteMira	3
50	Luigipunch989	3
50	nonarso	3
50	LeeMcGee30	3
50	Ezekson	3
66	RoskobiOne	2
66	Sleek_Storm_721	2
66	RebelAndroid	2
66	Humpcat	2
66	Nicky_H225	2
66	Kubelz	2
66	TheDankPlatypus	2
66	MyNameIsJobo	2
66	Studyhallsaver	2
66	Mattesco	2
66	victorLIE	2
66	Kim_Jong_eel	2
66	Toiton	2
66	Tyrannosplart	2
66	WeebleSock	2
66	MyNameIsDakar	2
66	MAns_44	2
66	Cyntrical	2
66	Factoroni	2
66	Mythic1130	2
66	Kowcio_	2
66	UltraZombie	2
66	KingMatthew506	2
66	Steelynan	2
66	momis24	2
66	00000000-0000-0000-0009-01ff0c3e5e4f	2
92	gary_	1
92	Louiis123	1
92	SugarMyNuggets	1
92	NatalieTW	1
92	Paint	1
92	AuroraValkyrie	1
92	Hyugo	1
92	Wooptey	1
92	Jahara	1
92	youhjjhhhjj	1
92	Batman922	1
92	Alteriity	1
92	CoffeeNoir	1
92	ThiccExotic	1
92	Mahoose	1
92	Ao_Ken	1
92	ccwildfire1	1
92	Alphanzt99	1
92	Euclidoris	1
92	arvous	1
92	jacxhadow	1
92	12Magner05	1
92	Fullut	1
92	set67	1
92	Mewar	1
92	hcb238	1
92	DirtyBoar	1
92	gabriels543	1
92	Rumpletaezer	1
92	Hyp3rion_	1
92	burbankbuilder28	1
92	andy_rex	1
92	_Boipl_	1
92	Fast_Turtle	1
92	CTH_98	1
92	Kynigito	1
92	MonitorLizards	1
92	lizardfightclub	1
92	AuroraSkies	1
92	JollyDroopy52	1
92	Lord_Zacler	1
92	RoofTyler	1
92	_Karmaa	1
92	QueenShuvi	1
92	LordAurum	1
92	Dusk_95	1
92	ayamefag	1
92	Eraxa	1
92	Western_1	1
92	fffMike	1
92	MilleGrug	1
92	ThisUserIsStump	1
92	VentiHilton	1
92	EngagedGrub41	1
92	HesDemonPants	1
92	jnp_gaming	1
92	Sral7	1
92	trexgb	1
