rank	username	minecraft:mined/minecraft:purple_shulker_box
1	pintsizedrogue	904
2	ROY4LE	600
3	Hyp3rion_	527
4	beeperbeeper5	347
5	SaucyDark	316
6	Mahoose	300
7	Smoke____	285
8	livingdaydreams	280
9	Fullut	230
10	ApophisNova	193
10	MyNamaSheff	193
12	500am	192
13	kekhon	164
14	Malorn_Aetherius	163
15	mwrty	159
16	fluddd	152
17	Zythose	134
18	fade_emerge78823	126
19	burbankbuilder28	125
20	HellsSponge	122
21	Huwulling	119
22	Akoot_	112
23	jnp_gaming	110
24	claivin	96
25	r123moore	94
26	T045RTY	93
27	Jovaphobic	90
28	Teebone15	80
29	YungMaki	77
30	NameGenerat0r	76
31	Cryptacity	74
32	PlzNoBM	66
32	jcool7	66
34	Enderslayerxz3	65
35	lcvezra	64
36	m_be9	63
37	sp00ky_ghost977	58
38	lordpipe	55
39	soundad	50
40	Marbz_	49
40	Spacewardharpy7	49
42	TheSecondLord	48
42	Awyrlas	48
44	Xalithia	47
45	Fizznut909	45
46	Segotep999	40
46	GlitchyPlate810	40
48	Bandito_Roamer	37
48	cedric72	37
50	Razzgriz	36
51	chipklip	35
52	Werbe	32
53	diamondgolem35	28
53	12Magner05	28
55	thewindmillman	27
55	ZeroKraken	27
55	kinas45y5	27
58	Fuhrer_Teemo	26
58	Eraxa	26
58	tsitrawhy	26
58	mawileite	26
62	cichy096	25
63	prizm_	24
63	SvenskaAlvar	24
63	Sky_light_KING	24
66	Groovy_MoonBird	23
66	Alteriity	23
66	AuroraSkies	23
69	SexcMf	22
69	Ezekson	22
71	Historical_Sand	21
71	TechnoNinja64	21
73	Ecplosive	19
74	rarrq	18
74	Jiminie	18
74	LexMakesHistory	18
74	Blaiku	18
78	__Auspicious	16
79	Giannism	14
79	AlexxO_o	14
79	little_dUki	14
82	iSammael	13
83	PigDab	12
84	_Virify_	11
84	titanlax	11
84	SeverianTheLame	11
84	fred870d	11
84	Deathkob	11
84	lillips	11
84	K_a__a_n	11
91	ExtraDumb	10
91	oxfordschool	10
93	ElKaySVK	9
93	ZoomieZoomie	9
95	Quincannon	8
95	Th6masss	8
95	pixelviolin	8
95	Dogcorn69420	8
99	I_Am_Mushkin	7
99	Euclidoris	7
99	UncreativeArtist	7
99	emrekn	7
103	eitanzaki	6
103	TheShyPig	6
103	binman420	6
103	Hermanni__	6
103	PlasticOtari	6
108	Hpdinosaur	5
108	noam464	5
108	Snowflowe	5
108	Bumpy419	5
108	DarlaMeow	5
113	Merv__	4
113	EMC_	4
113	TooManyDuck	4
113	AlazelTheReal	4
113	surfinggiraffejp	4
113	xxPipperDipperxx	4
113	SvenskaHugo	4
113	Kowcio_	4
113	Kubeusz2010	4
113	EcksD	4
113	camando92	4
124	ImpavidArcher	3
124	CoffeeNoir	3
124	FirsTimeGamingTV	3
124	Shadoko_	3
124	Smashic	3
124	thescout7	3
124	xambsam	3
124	sxc_	3
124	Groundler	3
124	UCP_TheKingK	3
134	PhantomsGhost_	2
134	Nesquiczek	2
134	joethahobo	2
134	Da_Boss_Rani	2
134	Clxpzy	2
134	Blackberry1310	2
134	MinttyFressh	2
134	corvidpartyfor6	2
134	gcaisawesome	2
134	Rumpletaezer	2
134	King_Pancake1	2
134	k1ngGilgamesh	2
134	Xeno175	2
134	fw3xywashere	2
134	NomadicRobin_	2
134	sadvavilloso	2
134	VentiHilton	2
134	Quotary	2
152	MR__puma	1
152	Gundam_Steven	1
152	Octatrack	1
152	Upstro10	1
152	SteveCraftBlocks	1
152	NotTrixi	1
152	Inchef	1
152	NimBit	1
152	gabriels543	1
152	Di_infiri	1
152	Jackattack53	1
152	Arceus1975	1
152	MalcMan13	1
152	Shiirazuku	1
152	Lord_Jord	1
152	audiocracked	1
152	EveryonesUncle	1
152	KSI	1
152	Nycteus_	1
152	Frozil12	1
152	Racengan	1
152	Hisiste	1
152	Y3ntai	1
152	1Riot	1
152	CalebDHawk	1
152	88Hazza88	1
152	anbbang	1
152	CattSoup	1
