rank	username	minecraft:mined/minecraft:sandstone_stairs
1	Steelynan	2091
2	noam464	1745
3	Merv__	1317
4	stahouo	1307
5	Groovy_MoonBird	1164
6	_stets	1127
7	Mahoose	743
8	kekhon	650
9	Euclidoris	610
10	Soplight	604
11	TheShyPig	564
12	500am	483
13	Frozil12	437
14	ImpavidArcher	436
15	Blackberry1310	412
16	Enderslayerxz3	402
17	tuckerdoodle	376
18	KarlKaek	359
19	eviltunix	342
20	_Karmaa	327
21	Onennon	326
22	xXTheWolfmanXx	283
23	Werbe	223
24	Kyrum2169	218
25	SteveCraftBlocks	199
26	12Magner05	197
27	EveryonesUncle	196
28	beeperbeeper5	182
29	Kim_Jong_eel	175
30	Meatlaugh	162
31	2Stout	155
32	pintsizedrogue	152
33	Cryptacity	147
34	RodSerlingCringe	124
35	Deodorante	123
36	NameGenerat0r	115
37	__tomato	114
38	BodaciousCake	108
38	Di_infiri	108
40	ApophisNova	105
40	MyNamaSheff	105
42	rarrq	101
43	_Dean_123	100
44	KingFaenor	93
45	_3Stump_	91
46	John6970	85
47	Inbefour	82
48	EcksDofficial	81
49	Arceus1975	78
50	Freak_Genius	74
51	lOlmantschi	72
52	Ssor69	68
53	Karetoko	65
54	TheMaster972	61
55	ShedJr_	60
55	Fullut	60
57	Hyugo	59
57	Parcc	59
59	TheDumbHuman	57
60	peach0s	51
61	MightyWertu	49
61	Smoke____	49
63	NNikitas	47
63	_Bguette_	47
65	SkyHighSkier	45
66	TheMilkerOfCats	43
66	Optiprimus	43
68	SuperPooch06	40
69	joethahobo	39
69	Sky_light_KING	39
71	SkateboardR6	38
71	Spacewardharpy7	38
73	Hpdinosaur	36
73	Waffleman258	36
75	ROY4LE	35
76	eitanzaki	34
76	potato292	34
78	YungMaki	31
79	RobotMinion101	30
79	ElectricDragon81	30
81	Diavri	28
82	Swexti	27
82	Legendosh	27
84	Decaying_Lotus	26
85	drompje	25
85	Ajax6	25
85	audiocracked	25
85	FGamerJ	25
85	PlasticOtari	25
90	Notta	24
90	loveseeker	24
92	SwooshBoi	22
93	Nicserso	21
94	TheSecondLord	20
94	burbankbuilder28	20
96	Doom_melon	18
96	andy_rex	18
96	Babushka0430	18
96	xX_Stalin69_Xx	18
100	ooga47	17
100	epiksk8erduck	17
100	Akoot_	17
100	CACTUSLAD	17
100	Dreamdbr14	17
100	TechnoNinja64	17
106	Inchef	16
106	Skylord_Luke	16
106	El_Jalapeno	16
106	fluddd	16
106	the__Reaper4999	16
111	Awyrlas	15
111	r123moore	15
113	Rich_Kat	14
113	_naturell	14
113	SpookyDraggin	14
113	chipklip	14
113	The_slideV3	14
113	ReyTheLegend	14
113	CrazyPotater	14
120	AuroraValkyrie	13
120	youhjjhhhjj	13
120	wiqor	13
123	Voxin2K	12
123	AltnumberF4	12
125	SexcMf	11
126	Jackattack53	10
126	War_Time_Leader	10
126	Jiminie	10
126	JasmineGK	10
126	Sral7	10
131	Kamflame10	9
131	thewindmillman	9
131	Bumpy419	9
131	cum_chalice	9
135	GLLogan2	8
135	himak1	8
135	420BreadLizard	8
135	MinuteMira	8
135	HellsSponge	8
135	IAmTheWalrus910	8
135	stellarjay	8
135	ZeroKraken	8
143	PhantomsGhost_	7
143	G1ldor	7
143	thgrocks	7
143	wobn	7
143	jcool7	7
143	Hermanni__	7
143	jnp_gaming	7
150	Blu3beast	6
151	Menthas	5
151	Incinere	5
151	gcaisawesome	5
151	Kakolbus	5
151	pappaberg	5
151	Lord_Jord	5
151	claivin	5
151	ProfessorDiaper	5
151	SvenskaHugo	5
151	BlankityMcBlank	5
161	numbra	4
161	RebelAndroid	4
161	T045RTY	4
161	mwrty	4
161	Maenara	4
161	lillips	4
161	lordpipe	4
161	FallenCorps	4
169	SaucyDark	3
169	wickedword	3
169	Cats_Fly	3
169	Vizzoid	3
169	Deathkob	3
169	Eczbek	3
169	Wanjibon	3
176	6king6colt6	2
176	thescout7	2
176	LotusProject	2
176	NotoriousNina	2
176	Mobstr	2
176	WarMachina	2
176	fred870d	2
176	NomadicRobin_	2
176	DarlaMeow	2
176	Crumbls	2
176	WyngGoy	2
176	Cocoamallows	2
176	IdeallyGrey	2
176	starbits140	2
176	Sheldor097	2
176	striker90333	2
176	VentiHilton	2
176	Oxygen16	2
194	H72l9w	1
194	m_be9	1
194	shyshyannne	1
194	beeleg	1
194	NotKaden_	1
194	XboxPanda	1
194	MyNameIsJobo	1
194	SlayerCrypto	1
194	mshs94	1
194	AlexStrange	1
194	_Boipl_	1
194	The11thDoctor	1
194	Chrisdeadeye	1
194	lizardfightclub	1
194	ADEXTV	1
194	TheSeismicDuck	1
194	linxthesontaran	1
194	KlausVonStiglitz	1
194	JESS_THE_RERE	1
194	Blaiku	1
194	silverpopcorn	1
194	MakeHistory157	1
194	lcvezra	1
194	FelixPSY375	1
194	Powowowow	1
