rank	username	minecraft:mined/minecraft:spawner
103	MinttyFressh	6
103	corvidpartyfor6	6
103	shyshyannne	6
103	Noah_Bez	6
103	noam464	6
103	Jonafrog99	6
103	thebaddruid	6
103	Dan_Scha	6
103	Jiminbub	6
103	DarlaMeow	6
103	cytotoxaint	6
103	ConnorDanky_	6
103	h2p_emrld	6
125	_Virify_	5
125	AuroraValkyrie	5
125	Gemstuff	5
125	diamondgolem35	5
125	Prismyst	5
125	Cryptacity	5
125	SpicyMeatballs	5
125	benediktine1	5
125	RefluxRatio	5
125	AlexStrange	5
125	EveryonesUncle	5
125	Deathkob	5
125	MightyWertu	5
125	RedcatVII	5
125	Blaiku	5
125	Racengan	5
125	Fildyr	5
125	Iamthejo	5
125	Ezekson	5
125	00000000-0000-0000-0009-01fc3bb26159	5
145	BPTY4618	4
145	NotRemets	4
145	Flores991	4
145	eitanzaki	4
145	Reamdin	4
145	Vizzoid	4
145	Nicky_H225	4
145	platinumzero	4
145	Kakolbus	4
145	longappendage	4
145	burbankbuilder28	4
145	Silvo614	4
145	Rocco_Lane	4
145	Mattesco	4
145	epiksk8erduck	4
145	ClemenPine	4
145	Kim_Jong_eel	4
145	groofles	4
145	SaintJosie	4
145	Maenara	4
145	luseis	4
145	sufjanlover	4
145	WeebleSock	4
145	EfficientC52	4
145	Typadopoulos	4
145	Hisiste	4
145	WyngGoy	4
145	sp00ky_ghost977	4
145	ayamefag	4
145	NATE_the_HALO	4
145	Erased_Identity	4
145	Smoke____	4
177	Bruh77	3
177	k_ce	3
177	jspwn	3
177	openatheclose	3
177	lotarp	3
177	ITDV	3
177	gaziter10	3
177	Da_Boss_Rani	3
177	urbeans	3
177	4383	3
177	MattieHD	3
177	_Nuf	3
177	paranoid_plant	3
177	_Magdo_	3
177	mimbo1211	3
177	DermeinUser	3
177	TheDankPlatypus	3
177	sharckyes	3
177	legal_tax_evader	3
177	WET_WET_WET	3
177	AnnieBathory	3
177	J4ko8_	3
177	FishyBoy3811	3
177	ZA07	3
177	TJawesome09	3
177	ILoveCarrot	3
177	H_O_M_H	3
177	MrQuanQuan	3
177	xDraggin	3
177	Kennyissleepy	3
177	TheSeismicDuck	3
177	gustarlep	3
177	NYJ	3
177	Meatlaugh	3
177	weabis	3
177	FreakGenius	3
177	Cyntrical	3
177	Bloo2406	3
177	SkateboardR6	3
177	Vicemaniac	3
177	Airem_Core	3
177	SUN_DREAM	3
177	IvarEXE	3
177	Strangemonkey71	3
177	AssFullaCum	3
177	djancak	3
177	__tomato	3
177	lcvezra	3
177	Heisenbberrg	3
177	Njensen7	3
177	TheOnlyRake	3
177	vandmanden	3
229	maxdacatv2	2
229	Tobinator_007	2
229	_Huge_Male_	2
229	Harotio	2
229	squigglybones	2
229	PazinGaming	2
229	lewieinnit	2
229	q_wq	2
229	KingFaenor	2
229	ColeSnyder	2
229	LeDuctTape	2
229	TooManyDuck	2
229	_Razaria	2
229	Spaghettatron	2
229	BodaciousCake	2
229	T045RTY	2
229	Batman922	2
229	ZaneABrain	2
229	MOSS000	2
229	tsohomie	2
229	Historical_Sand	2
229	Ssor69	2
229	Euclidoris	2
229	Crowman1	2
229	ThePoliteG	2
229	Ardennes	2
229	Megarboh	2
229	Secret_Canary	2
229	Enigma0251	2
229	Scathra	2
229	KGTV	2
229	intropass	2
229	LeauVox4921	2
229	2Stout	2
229	gcaisawesome	2
229	r123moore	2
229	Paintz	2
229	pumpfonzo	2
229	ehunt54	2
229	toj__	2
229	Marbz_	2
229	MyNameIsJobo	2
229	CranialBlowout	2
229	pappaberg	2
229	tobinwilliams	2
229	out1s	2
229	Werbe	2
229	DeeDeeThonk	2
229	Kynigito	2
229	KeruNatsema	2
229	zToasty69z	2
229	LilLizardWizard	2
229	lizardfightclub	2
229	Rasmanden	2
229	AuroraSkies	2
229	natajimi	2
229	Veillax135	2
229	KlausVonStiglitz	2
229	DarkS0L	2
229	Fuad_R	2
229	Suraidu	2
229	_k2x	2
229	THEKINGLyric10	2
229	Vorlice	2
229	Dusk_95	2
229	TheTommyGun63	2
229	IAmTheWalrus910	2
229	Cocoamallows	2
229	Soul_Atreus	2
229	Sank34	2
229	TheEnderMan548	2
229	SvenskaHugo	2
