rank	username	minecraft:mined/minecraft:amethyst_cluster
1	thewindmillman	9241
2	Mahoose	3635
3	TheSecondLord	3023
4	pintsizedrogue	1234
5	ImpavidArcher	177
5	SingedBread	177
7	Kakolbus	172
8	lordpipe	80
9	500am	56
10	Kowcio_	53
11	KeruNatsema	52
12	Frozil12	51
13	PigDab	45
14	Smoke____	44
15	Blackberry1310	40
16	pixelviolin	37
16	Enderslayerxz3	37
18	12Magner05	36
19	Flores991	35
20	Deathkob	34
21	IdeallyGrey	32
22	Hyp3rion_	23
23	YungMaki	22
24	_NieToksikpl_	21
24	_Karmaa	21
26	sebastiensaborio	20
27	TheDankPlatypus	19
28	diamondgolem35	18
28	CharlieButt	18
30	joethahobo	16
30	Winklepicker279	16
32	beeperbeeper5	14
33	SuperPooch06	13
33	GlitchyPlate810	13
35	ApophisNova	11
35	OtariCharlie	11
35	MyNamaSheff	11
38	MSK__	10
39	lizardfightclub	8
40	eitanzaki	7
40	noam464	7
42	Kubelz	6
42	_Boipl_	6
42	WYFYoyo	6
45	gcaisawesome	5
46	KarlKaek	4
46	CollinMH06	4
46	Dan_Scha	4
46	mobunni	4
50	Inchef	3
50	SvenskaHugo	3
50	SammiWolfGirl	3
50	TheOuterCore	3
50	Skippeh	3
50	Miko_Fullbuster	3
56	ShedJr_	2
56	egglapras	2
56	Xalithia	2
56	lillips	2
56	direkjames	2
56	Steven1282598	2
56	Vegvisir	2
56	Spacewardharpy7	2
56	Sheldor097	2
65	WavyGravy_	1
65	Auseawesome	1
65	kekhon	1
65	2Stout	1
65	xxPipperDipperxx	1
65	cwartzo	1
65	The_Fulgurator	1
65	HolyVenom	1
65	yulgur1	1
65	NomadicRobin_	1
65	EveryonesUncle	1
65	Nycteus_	1
65	READEREID	1
65	CheifJumbo	1
65	EcksD	1
65	smogfrog	1
65	Legendosh	1
65	2blox	1
