rank	username	minecraft:picked_up/minecraft:blue_concrete
1	Xclax101	12089
2	beeperbeeper5	2800
3	tartanboy	2538
4	HyperCave	1626
5	Kyrum2169	1615
6	jnp_gaming	1558
7	lordpipe	1507
8	Dusk_95	687
9	Legendosh	682
10	thewindmillman	652
11	Kowcio_	584
12	Groovy_MoonBird	578
13	Inchef	576
14	GlitchyPlate810	499
15	Merv__	394
16	Jackattack53	367
17	Deathkob	333
18	_Dean_123	332
19	set67	311
20	oxfordschool	301
21	YungMaki	287
22	Frozil12	283
23	TheSecondLord	275
24	TheShyPig	270
25	titanlax	258
26	Skippeh	251
27	HellsSponge	244
28	Kubeusz2010	243
29	Spacewardharpy7	212
30	noam464	195
31	Soplight	186
32	Jackster03	174
33	stahouo	155
34	Sheldor097	134
35	Kim_Jong_eel	129
36	stellarjay	128
37	ElKaySVK	125
38	Smoke____	120
39	Orcus113	114
40	Hiryu27	113
41	Notta	111
42	xxPipperDipperxx	103
43	ImpavidArcher	97
44	teslawolf38	89
45	Fullut	88
46	Maenara	87
47	sebastiensaborio	77
48	MakeHistory157	75
49	Xovalt_	72
50	_Boipl_	69
51	chipklip	65
52	__tomato	64
52	KingMatthew506	64
54	Snowflowe	61
55	fkGrim	53
56	Tobinator_007	50
57	gcaisawesome	48
57	cichy096	48
59	XboxPanda	47
59	_Bguette_	47
61	SyK7	46
62	rarrq	43
62	Blaiku	43
64	starbits140	42
65	TheBiggestFeller	39
66	ooga47	37
67	sp00ky_ghost977	35
68	Blackberry1310	32
69	pintsizedrogue	28
70	TechnoNinja64	27
71	jcool7	26
72	eitanzaki	25
72	Mahoose	25
74	MattieHD	19
74	Di_infiri	19
74	obzii	19
77	kekhon	18
77	SammiWolfGirl	18
77	Ezekson	18
80	Truckoss	16
80	MissCeleste7	16
82	DaviusMaximoose	15
82	Werbe	15
82	Akoot_	15
82	AssEatrAndLicker	15
82	MustaLoordi	15
87	Eraxa	14
88	EcksDofficial	13
89	jushykins	11
89	laron58	11
89	aubergined	11
92	500am	10
92	ROY4LE	10
92	r123moore	10
95	NotoriousNina	9
95	SonicRainBow_	9
97	_NieToksikpl_	8
97	lcvezra	8
97	CalebDHawk	8
100	AuroraValkyrie	7
100	joethahobo	7
100	MrExplorer	7
100	__Fanda__	7
100	gloryoftherain	7
100	OverallConcept	7
106	Mr_Byzantine	6
106	ProbablyNick	6
106	Rich_Kat	6
106	Quinasin	6
110	ShedJr_	5
110	jacxhadow	5
110	Zythose	5
110	Miko_Fullbuster	5
114	LoboTheLobster	4
114	Nach0Bear	4
114	k1ngGilgamesh	4
114	Macho_Tacos	4
114	El_Jalapeno	4
114	Enderslayerxz3	4
120	ColeSnyder	3
120	bbquakes	3
120	NameGenerat0r	3
120	MightyWertu	3
120	ArborTigress	3
120	Zoeyfortnite	3
126	Drewen24	2
126	claivin	2
126	kinas45y5	2
126	YoshikageBites	2
130	ivorico	1
130	SquadMonster	1
130	Kazekage	1
130	2Stout	1
130	jedi_george	1
130	Chromary	1
130	Hyp3rion_	1
130	burbankbuilder28	1
130	DAD_1996	1
130	ApophisNova	1
130	fred870d	1
130	MousePlays	1
130	KnightmareD	1
130	lillips	1
130	_Karmaa	1
130	WyngGoy	1
130	Razzgriz	1
130	Decaying_Lotus	1
130	EcksD	1
130	MyNamaSheff	1
130	RoboTramp7865	1
130	Yahrto	1
130	sea_otter_h	1
