rank	username	minecraft:picked_up/minecraft:lily_pad
1	joethahobo	1502
2	Di_infiri	1308
3	FreakGenius	968
4	EMC_	748
5	Spacewardharpy7	745
6	pintsizedrogue	739
7	beeperbeeper5	697
8	YungMaki	688
9	kekhon	625
10	NatalieTW	506
11	El_Jalapeno	474
12	Legendosh	449
13	noam464	399
14	Eraxa	345
15	jnp_gaming	340
16	PigDab	335
17	Mahoose	311
18	gcaisawesome	300
19	Decaying_Lotus	294
20	Esme_1	263
21	HellsSponge	247
22	ThiccExotic	245
23	Akoot_	237
24	hcb238	234
25	TheShyPig	232
26	Hyp3rion_	231
27	diggydog67	228
28	SpicyDuckMan	224
28	OfficerAnvil	224
30	fanofbands101	218
31	burbankbuilder28	213
32	Skippeh	210
33	luseis	209
34	SaucyDark	193
35	eitanzaki	188
36	Steelynan	187
37	ImpavidArcher	184
38	Zaridey	173
39	thewindmillman	172
40	Rebytre	151
41	Froste131	150
42	Enderxz3	149
43	thescout7	145
44	Kokeech	143
45	12Magner05	140
46	ShedJr_	136
47	Harotio	133
48	Groovy_MoonBird	131
49	TheSecondLord	130
50	Nicserso	129
51	xxPipperDipperxx	125
52	EcksD	123
53	LordSpeed37	115
54	Chaotic1s	114
55	Mr_Byzantine	109
56	07shiny	108
57	Xalithia	103
57	pi_E_	103
59	SteveCraftBlocks	102
59	500am	102
61	Western_1	101
62	Lord_Zacler	99
62	djancak	99
64	titanlax	98
65	Maenara	97
66	SammiWolfGirl	95
66	Smoke____	95
68	Blackberry1310	94
69	obzii	92
70	John_Acacia	91
71	Cowison	90
71	ReflexCode	90
73	Quotary	88
74	_TCARREIRA_	87
75	Myszoaz	86
75	Kkanot	86
75	Werbe	86
78	Bandito_Roamer	85
79	Merv__	84
79	mihimihimihi	84
81	cheerytomato	82
82	RoofTyler	81
83	_Goatt	80
84	Syropatathe	77
84	KingMatthew506	77
86	Dali1465	76
86	SvenskaHugo	76
86	Dr0xzy	76
89	DTwenty	75
90	_Cloverbelle_	74
90	YahooScreen9000	74
92	Historical_Sand	73
92	Drewen24	73
94	Soplight	72
95	eiC_	71
95	JayToe	71
97	IAmTheWalrus910	70
98	gren_ben	69
98	Snowflowe	69
100	2Stout	67
100	TheSeismicDuck	67
102	RoskobiOne	66
102	gusstationwerker	66
104	_Huge_Male_	65
104	CadenSteele	65
104	Incinere	65
104	Dusk_95	65
104	Kyrum2169	65
109	intropass	64
109	lillips	64
109	PlasticOtari	64
112	Z3braYTIL	63
113	ivorico	62
114	Hiryu27	61
114	Elastiq	61
114	lcvezra	61
117	RealGroot	60
118	weabis	59
119	Tommhh	58
120	Quaintster	57
120	censorsheep	57
122	Os_qq	56
122	Ozixar	56
122	Kouridragon	56
125	Batman922	55
126	Hermanni__	54
127	bloodbiter	53
127	SvenskaSara	53
127	aldplaysmc	53
127	shrimp_flips	53
127	bloomkieren	53
132	Frozil20	52
132	Jordan_R	52
134	SpacesickPrism	51
135	SuperPooch06	50
135	KlausVonStiglitz	50
135	_Karmaa	50
138	Kakolbus	49
138	wilgot_	49
140	seramalen	48
140	wezzzi	48
140	Njensen7	48
143	Fullut	47
143	GravitySaint	47
143	Racengan	47
143	Warlord324	47
143	CassiusDio	47
148	Inchef	46
149	EngagedGrub41	45
149	Apicomplexa	45
151	Russiancat1	44
151	DanTheBuilderino	44
151	tsitrawhy	44
154	Bumpy419	43
154	avalan64	43
154	Airem_Core	43
157	Kubelz	41
157	Ristebraaten	41
159	LandnMinecrft	40
159	WyngGoy	40
159	TechnoNinja64	40
159	WYFYoyo	40
163	rachcl	39
163	CoffeeNoir	39
165	TheThomas69	38
165	lordpipe	38
167	Gemstuff	37
167	BlancoFlaco	37
167	OG_Songsee	37
170	Lord_Doob	36
170	ayamefag	36
170	ScarmedLeft	36
173	babycamm	35
174	dongli	34
174	Vizzoid	34
176	lewieinnit	33
176	corvidpartyfor6	33
176	Purplehere	33
176	MonitorLizards	33
176	XxCookiequeenxX	33
176	Keeogwi	33
176	PortlyPete69	33
183	Jovaphobic	32
183	livingdaydreams	32
183	DemTechAlpha	32
186	Alteriity	31
186	ccwildfire1	31
188	_Razaria	30
188	JCdaLeg3nd	30
190	jacxhadow	29
190	rpmm	29
190	TheDankPlatypus	29
190	pixelviolin	29
190	Ezekson	29
190	RadarHz	29
196	ilynyan	28
196	mwrty	28
196	PegLegPete93	28
196	2bolx_	28
200	Shazzyling	27
200	Scathra	27
200	Arceus1975	27
200	SpaceTurtleOX	27
200	Jimb0nat0r	27
205	bigstankyy	26
205	M_Patata	26
205	Wowful	26
205	MasterNueve	26
205	ItsDeltaMC	26
210	cletemo	25
210	NomadicRobin_	25
210	BiggieDawg	25
213	Ev0luti0nz	24
213	heckface	24
213	r123moore	24
213	fkGrim	24
217	KarlKaek	23
217	jimbo61101jr	23
217	Natty	23
217	_Dean_123	23
217	SvenskaAlvar	23
217	zToasty69z	23
217	sp00ky_ghost977	23
217	XoTHotovich	23
217	Vahagrim	23
226	ColeSnyder	22
226	Whiterooster001	22
226	Ardennes	22
226	slkiey	22
226	SeverianTheLame	22
226	MyNameIsJobo	22
226	Jackattack53	22
226	fw3xywashere	22
226	Inbefour	22
226	Nekomin0	22
226	Kubeusz2010	22
237	Aatronix	21
237	trixterrx	21
239	Gundam_Steven	20
239	1dss	20
239	ratglock	20
239	Lumien_	20
239	Charleszetoast	20
239	Strangemonkey71	20
245	goalie9	19
245	TheBoldonButcher	19
245	Kowcio_	19
248	ChumpyCat	18
248	lotarp	18
248	TarynBubs	18
248	w3nd3lbo3	18
248	TastyPorkchop	18
248	Fatimus_	18
248	Chrisdeadeye	18
248	Tyrannosplart	18
248	Cyntrical	18
248	__tomato	18
258	m_be9	17
258	SellyZ	17
258	DASH_X7	17
258	monky_irl	17
262	rarrq	16
262	Timfinity4	16
262	Motsaro	16
262	zemey	16
262	itsKODASHi	16
262	DeeDeeThonk	16
262	theofiel	16
262	420BreadLizard	16
262	DarlaMeow	16
262	claivin	16
262	StinkyDiplomat	16
262	xorompole	16
262	Biites	16
275	Frxnkz	15
275	Fuxs_V	15
275	eclipseboi	15
275	SHAOBADMAN	15
275	Winklepicker279	15
275	Windo_licker	15
275	Klerick	15
275	sq0id	15
275	skelecorebot	15
275	calamariclam_I	15
285	DinoDoctor_	14
285	Spaghettatron	14
285	Megabatman	14
285	Koffeeinz	14
285	benediktine1	14
285	_Bguette_	14
285	TheOuterCore	14
285	Tristankill	14
293	PhantomsGhost_	13
293	dimondking777	13
293	Reamdin	13
293	Felenov	13
293	SkateboardR6	13
293	CornOnTheCobalt	13
293	Deguns123	13
293	nonarso	13
