rank	username	minecraft:picked_up/minecraft:oak_trapdoor
1	Spacewardharpy7	6766
2	thewindmillman	3213
3	HellsSponge	1799
4	noam464	1545
5	Mr_Byzantine	1376
6	FreakGenius	1369
7	SpaceGrenadier	1168
8	Mahoose	1114
9	PlzNoBM	1053
10	ShedJr_	923
11	pintsizedrogue	789
12	The_SlideV5	701
13	Legendosh	691
14	beeperbeeper5	670
15	fffMike	649
16	joethahobo	627
17	_Virify_	598
18	Di_infiri	588
19	StinkyDiplomat	548
20	Racengan	508
21	PlasticOtari	499
22	FishyBoy3811	484
23	Lez_	471
24	eitanzaki	447
25	Kakolbus	420
26	TheShyPig	408
27	m_be9	406
28	EveryonesUncle	379
29	Ezekson	335
30	Mewar	331
31	EcksD	330
32	AdmiralSmoke	328
33	Dogcorn69420	323
34	_8man	318
35	MightyWertu	284
36	Werbe	281
37	fr0stss	270
38	Inbefour	262
39	the_russell1611	260
40	EMC_	252
41	Enderxz3	248
42	ProfessorBee	240
43	legal_tax_evader	237
44	luseis	218
45	Rebytre	205
46	YungMaki	202
47	Groundler	199
48	Onennon	189
49	__tomato	172
50	Manaateee	169
51	Merv__	164
52	kekhon	162
52	Eraxa	162
54	burbankbuilder28	158
55	Jimb0nat0r	157
56	non089	155
57	500am	150
58	Nicserso	149
59	DracZSenpai	148
60	Frozil20	143
60	CoffeeNoir	143
62	RatatJuice	142
63	Jackattack53	141
64	_Nuf	124
65	Groovy_MoonBird	122
66	Alteriity	120
67	wiqor	116
68	Marbz_	115
69	CalebDHawk	111
70	AlphaWolfPlaysMC	109
71	CattSoup	108
72	mawileite	104
73	Akoot_	103
74	jcool7	97
75	Hermanni__	96
76	Smashic	94
77	Ryan_GEMS	90
77	ssleepless	90
77	Soap_Bender	90
80	rarrq	89
80	MovingFish7	89
80	DittoProbably	89
83	Winklepicker279	86
84	KarlKaek	85
84	lorpus	85
84	mariominejedi	85
87	Blackberry1310	84
88	pixelviolin	83
88	Soplight	83
90	AlexxO_o	81
90	_Wannabe_	81
92	MousePlays	80
93	SkateboardR6	78
94	TheSecondLord	76
95	Megarboh	75
96	xolstoi	74
97	Awyrlas	73
98	mwrty	70
98	El_Jalapeno	70
98	kyouma777	70
101	SmashingPump	69
101	07shiny	69
101	Steelynan	69
101	EngagedGrub41	69
105	PhantomsGhost_	68
106	thescout7	65
107	Crowman1	64
107	SteveCraftBlocks	64
107	Fullut	64
107	FreddyFart	64
107	_Karmaa	64
107	Segotep999	64
107	Eczbek	64
114	Leyna3	63
114	Lord_Jord	63
116	Hyp3rion_	62
