rank	username	minecraft:picked_up/minecraft:globe_banner_pattern
1	John6970	4
2	Hpdinosaur	3
2	TheShyPig	3
4	BumbleBeever	2
5	Huwulling	1
5	Mahoose	1
5	rarrq	1
5	emrekn	1
5	2Stout	1
5	Parcc	1
5	Onennon	1
