rank	username	minecraft:picked_up/minecraft:red_stained_glass
1	Hyp3rion_	61089
2	Spacewardharpy7	41575
3	noam464	22480
4	skitzxo	1676
5	Manaateee	1136
6	emrekn	1008
7	lordpipe	765
8	jnp_gaming	747
9	thewindmillman	721
10	k_ce	620
11	beeperbeeper5	529
12	Onennon	417
13	El_Jalapeno	412
14	Jackattack53	349
15	Elastiq	274
16	pintsizedrogue	248
17	_Virify_	239
18	IamCL4SSY	228
19	Kowcio_	197
20	Eraxa	192
21	mwrty	151
21	YungMaki	151
23	Merv__	146
24	theonlymagikarp	137
24	luseis	137
26	pretty_pink_reno	136
27	rarrq	129
28	Soplight	125
29	ImpavidArcher	115
30	Mahoose	108
31	fffMike	107
32	joethahobo	106
33	Mattesco	103
34	camando92	100
35	MAns_44	89
36	m_be9	85
37	FreakGenius	78
38	ssleepless	77
38	SullyhS	77
40	shadowthemonkey	74
41	Steelynan	72
42	Werbe	67
43	TheSecondLord	66
43	Kamflame	66
43	Groundler	66
46	Di_infiri	64
46	SexcMf	64
48	_i_ERROR_i_	56
49	blackeemperor	54
50	PhantomsGhost_	53
50	561cool	53
52	MyNameIsJobo	50
52	KingMatthew506	50
54	Lez_	49
55	__tomato	46
56	Blaiku	45
57	Bandito_Roamer	41
57	Maenara	41
59	Mr_Byzantine	40
59	Inbefour	40
61	Yamdalorian	37
62	royal_2	36
62	500am	36
62	ROY4LE	36
65	Enderxz3	35
66	eitanzaki	34
67	EveryonesUncle	33
68	eviltunix	32
69	T045RTY	30
70	Snowflowe	29
70	Lord_Jord	29
72	Saucepeh	27
72	xxPipperDipperxx	27
74	DarlaMeow	24
74	mihimihimihi	24
76	BobDeBouwer1337	22
77	ProfessorBee	21
78	TechnoNinja64	19
79	VentiHilton	18
80	The_slideV3	17
81	ECstardust	16
81	Notta	16
81	_Dean_123	16
81	hcb238	16
85	TheDankPlatypus	15
86	ConnorDanky_	14
87	CoffeeNoir	13
87	PlasticOtari	13
89	xXTheWolfmanXx	12
89	CliffEmAll	12
89	Xclax101	12
92	Frozil20	11
92	MattieHD	11
94	Xalithia	10
94	HellsSponge	10
94	Quincannon	10
94	Factoroni	10
98	gaziter10	9
98	diggydog67	9
100	Jovaphobic	8
100	SaucyDark	8
100	titanlax	8
100	AspenLightVT	8
100	Fuad_R	8
100	ElectricDragon81	8
106	AuroraValkyrie	7
106	ZaneABrain	7
106	Huwulling	7
106	MSK__	7
106	Blu3beast	7
111	M_Patata	6
111	MasterNueve	6
111	MilleGrug	6
111	ZoomieZoomie	6
111	Earlesstrain4	6
111	trexgb	6
117	PazinGaming	5
117	NieToksikpl	5
117	Blackberry1310	5
117	kekhon	5
117	Bumpy419	5
117	oscminus	5
117	TheShyPig	5
117	The_SlideV5	5
125	Groovy_MoonBird	4
125	powercas_gamer	4
125	PaperCanvas	4
125	claivin	4
125	Spenduh	4
125	TheWickedBird	4
131	Cowison	3
131	SmashingPump	3
131	QuiCreans	3
131	Fullut	3
131	crashomon	3
131	Zythose	3
131	DaviusMaximoose	3
131	emreknugrlu	3
131	Benzito07	3
131	Jimb0nat0r	3
141	RoskobiOne	2
141	BadenStayFly	2
141	Smashic	2
141	Krowuss	2
141	ougstur	2
141	TheSeismicDuck	2
141	masskedman	2
141	fkGrim	2
141	fluddd	2
141	the__Reaper4999	2
141	Racengan	2
141	lunkuku	2
141	Luigipunch989	2
141	robonya_	2
141	jcool7	2
141	Ezekson	2
141	EcksD	2
141	Quotary	2
141	Legendosh	2
141	Sral7	2
161	CLG_Kata	1
161	shineh10	1
161	6king6colt6	1
161	Iagoku	1
161	Alteriity	1
161	MoistMicrowave	1
161	Da_Boss_Rani	1
161	Pofen	1
161	HUNTERmaun	1
161	Euclidoris	1
161	bloodbiter	1
161	Secret_Canary	1
161	himak1	1
161	olliebollie48	1
161	walll	1
161	Kakolbus	1
161	Marbz_	1
161	hanaryheatwave	1
161	Arceus1975	1
161	ApophisNova	1
161	ScootOfBoot	1
161	RobotMinion101	1
161	F_Uhre	1
161	Kynigito	1
161	Gab4101	1
161	_Karmaa	1
161	MakeHistory157	1
161	Pumpkin_P_Patch	1
161	Dogcorn69420	1
161	MyNamaSheff	1
161	00000000-0000-0000-0009-01fe065167f0	1
