rank	username	minecraft:picked_up/minecraft:light_gray_shulker_box
1	Mahoose	1152
2	Zythose	1030
3	kekhon	849
4	joethahobo	650
5	Awyrlas	631
6	Skylord_Luke	593
7	pintsizedrogue	580
8	beeperbeeper5	395
9	m_be9	379
10	PlasticOtari	369
11	Enderslayerxz3	338
12	Hyp3rion_	294
13	TheSecondLord	277
14	Frozil12	270
15	Blackberry1310	236
16	RoyalDorrr	225
17	YungMaki	216
18	Historical_Sand	208
19	Eraxa	188
20	Blaiku	187
21	500am	166
22	Hermanni__	161
23	HellsSponge	151
24	Hiryu27	146
25	r123moore	120
25	Kakolbus	120
27	thescout7	119
28	oxfordschool	114
29	noam464	112
30	Akoot_	104
31	Chromary	101
32	PhantomsGhost_	97
33	yulgur1	96
34	El_Jalapeno	94
35	Spenduh	90
36	Bumpy419	87
37	pixelviolin	79
38	Rumpletaezer	78
39	thewindmillman	76
40	Inchef	74
41	EcksD	68
42	Lord_Jord	66
43	Nicserso	60
44	gcaisawesome	59
45	Deathkob	56
46	SingedBread	55
47	Cryptacity	51
48	mwrty	49
49	set67	48
49	sebastiensaborio	48
51	Groundler	45
52	Hisiste	44
53	lordpipe	42
53	SammiWolfGirl	42
55	_Karmaa	41
55	sp00ky_ghost977	41
57	Xalithia	40
58	Marbz_	38
59	Eczbek	37
60	cedric72	34
60	jnp_gaming	34
62	Hoid_the_Roamer	33
63	Inbefour	32
64	ProfessorDiaper	31
64	Spacewardharpy7	31
66	ImpavidArcher	30
66	ogoa	30
68	claivin	29
69	h2p_emrld	28
70	NameGenerat0r	27
71	_Virify_	25
71	himak1	25
73	Myszoaz	24
73	TheShyPig	24
73	Ender_Souls	24
76	rarrq	23
76	Freak_Genius	23
76	IdeallyGrey	23
76	Dogcorn69420	23
76	Sheldor097	23
81	6king6colt6	22
82	Zippyzam	21
82	chipklip	21
84	Euclidoris	20
84	fluddd	20
84	Dreamdbr14	20
84	EcksDofficial	20
88	Werbe	19
89	egglapras	18
89	MangoTheFish	18
89	AssEatrAndLicker	18
89	MightyWertu	18
89	kinas45y5	18
94	Covalents	17
94	CollinMH06	17
96	Ailmast	16
96	0nly_sn1per	16
96	PigDab	16
96	YungWali	16
96	vandmanden	16
101	ClemenPine	15
101	Miko_Fullbuster	15
103	eitanzaki	13
103	Jackattack53	13
103	Snowflowe	13
103	lillips	13
103	Xclax101	13
103	Njensen7	13
109	XboxPanda	12
109	fr_ser	12
109	gabriels543	12
109	Blu3beast	12
109	Nycteus_	12
114	jushykins	11
114	Fullut	11
114	fffMike	11
114	ZeroKraken	11
118	audiocracked	10
118	MAns_44	10
118	Warlord324	10
121	Merv__	9
121	teslawolf38	9
121	Arceus1975	9
121	TechnoNinja64	9
125	ProbablyNick	8
125	titanlax	8
125	MinttyFressh	8
125	emrekn	8
125	fred870d	8
125	wezzzi	8
131	MattieHD	7
131	Di_infiri	7
131	DTwenty	7
131	1442	7
131	WyngGoy	7
131	OG_Songsee	7
131	TheEnderman548	7
138	bigstankyy	6
138	TooManyDuck	6
138	MSK__	6
138	H72l9w	6
142	nataliecool	5
142	Quincannon	5
142	Racengan	5
145	AuroraValkyrie	4
145	nitram49b	4
145	k1ngGilgamesh	4
145	DanielMmm	4
145	fkGrim	4
145	TheTommyGun63	4
145	Xovalt_	4
145	Optiprimus	4
145	Soplight	4
145	obzii	4
155	bloodbiter	3
155	mariominejedi	3
155	eli_tschki	3
155	WET_WET_WET	3
155	moonman169	3
155	Sky_light_KING	3
155	XxCookiequeenxX	3
155	LexMakesHistory	3
155	KingMatthew506	3
164	susbakaimpostor	2
164	Octatrack	2
164	M_Patata	2
164	CheesyToess	2
164	pappaberg	2
164	Onennon	2
164	HolyVenom	2
164	Bl1tzFX	2
164	NomadicRobin_	2
164	EveryonesUncle	2
164	_Bguette_	2
164	DarlaMeow	2
164	Skippeh	2
164	Legendosh	2
178	SDMNAEK	1
178	MrExplorer	1
178	Kkanot	1
178	ROY4LE	1
178	Zaridey	1
178	shockdocta	1
178	RobotMinion101	1
178	KliBeast21	1
178	KSI	1
178	Jamstroxian	1
178	censorsheep	1
178	geekbird	1
178	MakeHistory157	1
178	sadvavilloso	1
178	AssFullaCum	1
178	Vellu21	1
178	VentiHilton	1
178	SWSN	1
178	Ezekson	1
178	AltnumberF4	1
178	MeetTheWollo	1
