rank	username	minecraft:picked_up/minecraft:cracked_stone_bricks
1	HellsSponge	3168
2	mihimihimihi	1360
3	Legendosh	1099
4	YungMaki	824
5	Kakolbus	788
6	Manaateee	604
7	luseis	562
8	TheShyPig	526
9	pintsizedrogue	512
10	Ezekson	478
11	diamondgolem35	387
12	Tommhh	368
13	FishyBoy3811	367
14	Maenara	359
15	paranoid_plant	356
16	Eraxa	351
17	TheSecondLord	342
18	MrKrabOnCoke	330
19	MyNameIsJobo	312
20	kekhon	309
21	PlzNoBM	293
22	imcombxt	292
23	fffMike	275
24	AssFullaCum	269
25	Crowman1	248
26	Jimi7hits	205
27	Merv__	198
28	OfficerAnvil	196
29	2Stout	180
29	FreakGenius	180
31	Elastiq	171
32	Racengan	169
33	Akoot_	155
34	SvenskaHugo	145
35	Mahoose	141
36	rarrq	140
37	Hpdinosaur	134
38	500am	132
39	Iamthejo	129
40	NomadicRobin_	127
41	PlasticOtari	125
42	Bandito_Roamer	118
43	Blu3beast	117
44	elliebelle107	113
45	Avrelion	112
46	Ryan_GEMS	111
47	iSammael	104
48	NieToksikpl	102
49	cedric72	101
50	Fuad_R	92
51	JETrotter	90
51	CaptainDeadBread	90
53	Tyrannosplart	86
53	El_Jalapeno	86
55	Fullut	85
56	EdGalbraith	83
57	Werbe	81
58	fr_ser	79
59	plato2066	78
60	Kowcio_	75
61	EMC_	73
62	Ecplosive	71
63	Xalithia	66
64	noam464	64
64	Luminad3	64
66	Malorn_Aetherius	60
67	chipklip	59
67	Skylord_Luke	59
69	Mr_Byzantine	58
69	Eraza	58
71	Shogunite	56
71	KingMatthew506	56
73	lolpoottoot	55
74	RefluxRatio	51
75	ECstardust	49
76	SpacesickPrism	46
77	Enderxz3	45
78	k_ce	43
78	PortlyPete69	43
80	Di_infiri	42
81	Alteriity	41
81	lordpipe	41
83	SyntheticSurgeon	40
83	_Karmaa	40
85	Spacewardharpy7	39
85	jcool7	39
87	Kubeusz2010	38
87	UrbanPlanningEx	38
89	FormulaNewt3627	37
90	SaucyDark	34
90	_Dean_123	34
92	SmashingPump	33
92	Huwulling	33
94	Kubelz	32
95	MattieHD	31
95	Bumpy419	31
95	kyouma777	31
98	Wowful	30
98	WyngGoy	30
100	thewindmillman	29
101	joethahobo	28
101	Rich_Kat	28
101	Zythose	28
104	SuperPooch06	27
104	ConnorDanky_	27
106	_Mythic____	26
107	beeperbeeper5	25
107	Ssor69	25
107	ProfessorBee	25
107	parodypatient	25
107	TheKingK_	25
112	xxPipperDipperxx	24
112	Winklepicker279	24
114	DSYisDizzy	23
114	oscminus	23
116	eitanzaki	21
116	crashomon	21
118	Blackberry1310	20
118	Saucepeh	20
118	r123moore	20
118	07shiny	20
118	Zcolt69	20
123	Auseawesome	19
124	T045RTY	18
124	MinuteMira	18
124	blackeemperor	18
124	Soplight	18
128	ExtraDumb	17
128	truonggojo777	17
128	CalebDHawk	17
131	Jackattack53	16
131	PigDab	16
133	Hyp3rion_	14
133	burbankbuilder28	14
133	wwwwinnebagoooo	14
133	EcksD	14
137	m_be9	13
137	eviltunix	13
137	U_Mos_	13
137	fkGrim	13
141	Frozil20	12
141	The_SlideV5	12
143	ImpavidArcher	11
143	ZaneABrain	11
143	Tersea_	11
143	himak1	11
143	XxCookiequeenxX	11
143	non089	11
149	Lez_	10
149	lorpus	10
149	Arceus1975	10
149	pappaberg	10
149	NoChumpChange	10
149	Skippeh	10
155	KarlKaek	9
155	Notta	9
155	LilyNova	9
155	Onennon	9
155	Toiton	9
155	The_slideV3	9
155	Luigipunch989	9
162	PhantomsGhost_	8
162	Euclidoris	8
162	thescout7	8
162	NotMeanttoChange	8
162	Moofyman	8
162	balin55	8
162	layabout100	8
162	jnp_gaming	8
162	skitzxo	8
162	JayToe	8
162	Yamdalorian	8
173	Miroryk	7
173	Secret_Canary	7
173	Zaridey	7
173	lizardfightclub	7
173	censorsheep	7
173	Fildyr	7
173	DolphinLaugh	7
173	Druid95	7
173	TechnoNinja64	7
182	NatalieTW	6
182	RebelAndroid	6
182	Kamflame	6
182	killmeiamtraitor	6
182	J4k__	6
182	pretty_pink_reno	6
182	LordSpeed37	6
182	Steelynan	6
