rank	username	minecraft:picked_up/minecraft:granite
1	joethahobo	261427
2	thewindmillman	202826
3	Ezekson	113232
4	gcaisawesome	104458
5	HellsSponge	82479
6	Smoke____	77558
7	PigDab	77310
8	Miko_Fullbuster	54759
9	Spacewardharpy7	47138
10	Di_infiri	43605
11	Blaiku	41965
12	pintsizedrogue	40601
13	lordpipe	40485
14	TheShyPig	38649
15	noam464	38615
16	Zythose	36782
17	Mahoose	33091
18	Werbe	32853
19	beeperbeeper5	29116
20	YungMaki	28922
21	m_be9	28804
22	Deathkob	27761
23	Menthas	25993
24	RebelAndroid	24219
25	EMC_	22798
26	El_Jalapeno	21211
27	EveryonesUncle	19974
28	Mewar	19946
29	Kakolbus	17622
30	Hyp3rion_	17141
31	MyNameIsJobo	16198
32	Skippeh	14292
33	Snowflowe	13968
34	EcksD	13941
35	Steelynan	13406
36	Cowison	12846
37	PhantomsGhost_	12599
38	kekhon	12286
39	ImpavidArcher	12069
40	Blackberry1310	11261
41	obzii	11155
42	TheSecondLord	10876
43	Legendosh	10866
44	Jackattack53	10572
45	Enderslayerxz3	10245
46	Marbz_	10173
47	TechnoNinja64	9811
48	12Magner05	9065
49	Xclax101	8956
50	Freak_Genius	8899
51	500am	8596
52	eitanzaki	8532
53	NameGenerat0r	8421
54	Lord_Jord	8405
55	ApophisNova	8226
55	MyNamaSheff	8226
57	BobDeBouwer1337	8205
58	MeetTheWollo	7862
59	Hisiste	7778
60	eviltunix	7650
61	vandmanden	7487
62	Bumpy419	7447
63	PlasticOtari	7298
64	Frozil20	7288
65	Shogunite	6994
66	Historical_Sand	6987
67	Maenara	6708
68	rarrq	6577
69	Jiminie	6554
70	Franco093	6348
71	oxfordschool	6305
72	Inbefour	6172
73	Hoid_the_Roamer	6078
74	Jonafrog99	6019
75	Onennon	5929
76	mihimihimihi	5820
77	Fullut	5745
78	fffMike	5700
79	thescout7	5670
80	Akoot_	5665
81	mwrty	5574
82	Chromary	5454
83	Inchef	5418
84	ProfessorBee	5378
85	PlzNoBM	5290
86	FallenCorps	5286
87	Groundler	5165
88	Quotary	5087
89	Kubelz	5012
90	MilleGrug	4933
91	Rumpletaezer	4897
92	cedric72	4884
93	lillips	4851
94	Spenduh	4721
95	audiocracked	4697
96	BumbleBeever	4647
97	Hiryu27	4629
98	set67	4551
99	Hermanni__	4526
100	Arceus1975	4507
101	Dedalus36	4415
102	anbbang	4382
103	fluddd	4372
104	NoChumpChange	4357
105	Deodorante	4326
106	q_wq	4276
107	stahouo	4236
108	WyngGoy	4234
109	MightyWertu	4222
110	Soplight	4146
111	SuperPooch06	4060
112	Jovaphobic	4030
113	M_Patata	4021
114	MinttyFressh	3891
115	Njensen7	3832
116	_Karmaa	3827
117	livingdaydreams	3816
118	SingedBread	3795
119	MasterNueve	3777
120	CollinMH06	3772
121	SvenskaHugo	3756
122	awesomeoneme	3726
123	_Nuf	3702
124	_Bguette_	3688
125	Mr_Byzantine	3611
126	FelixPSY375	3609
127	Eraxa	3562
128	Racengan	3556
129	EngagedGrub41	3555
130	Segotep999	3529
131	Quincannon	3499
132	h2p_emrld	3493
133	ROY4LE	3415
134	alderban107	3382
135	T045RTY	3351
136	censorsheep	3340
137	LordSpeed37	3304
138	Fuhrer_Teemo	3302
139	Winklepicker279	3301
140	teslawolf38	3233
141	TooManyDuck	3230
142	jnp_gaming	3198
143	Lutres_Torane	3149
144	himak1	3144
145	DTwenty	3122
146	claivin	3078
147	Skylord_Luke	3044
148	TheDankPlatypus	3031
149	Jimi7hits	3030
150	Rasmanden	3015
151	SaucyDark	3014
152	6king6colt6	3007
153	Zoeyfortnite	3000
154	UltraZombie	2995
155	pixelviolin	2974
156	CoffeeNoir	2966
157	Awyrlas	2957
157	Blu3beast	2957
159	TheThomas69	2952
160	xxPipperDipperxx	2892
161	chipklip	2880
162	SpaceGrenadier	2869
163	The11thDoctor	2863
164	Airem_Core	2735
165	EcksDofficial	2726
166	Nicserso	2723
167	__tomato	2706
168	Huwulling	2702
169	Groovy_MoonBird	2699
170	Kowcio_	2693
171	iHuntWeeaboos	2688
172	Malorn_Aetherius	2672
173	XboxPanda	2667
174	Prodiginus	2653
175	mariominejedi	2641
176	lcvezra	2629
177	sp00ky_ghost977	2604
178	gabriels543	2580
179	soundad	2574
179	MrExplorer	2574
181	TheSeismicDuck	2563
182	DemTechAlpha	2559
183	ssleepless	2508
184	SammiWolfGirl	2411
185	Gab4101	2403
186	BlankityMcBlank	2360
187	Sral7	2276
188	ExtraDumb	2271
189	Rocco_Lane	2204
190	_TCARREIRA_	2199
191	_Dean_123	2177
192	GoofyBread	2157
193	WET_WET_WET	2153
194	Ryker	2107
195	KingMatthew506	2105
196	NomadicRobin_	2100
197	diamondgolem35	2098
198	CalebDHawk	2097
199	Soap_Bender	2071
200	selectrix	2060
201	Comma__	2033
202	r123moore	2012
203	FishyBoy3811	1991
204	_Virify_	1942
205	GlitchyPlate810	1940
206	Wooptey	1926
207	Scathra	1909
208	Corbsman	1903
209	Nagasaki_Riku	1896
210	Barlycorn	1863
211	Steven1282598	1857
212	CrateOfBoxes	1848
213	laron58	1846
214	DarlaMeow	1830
215	Zaridey	1827
216	Smashic	1809
217	seramalen	1784
218	Hpdinosaur	1780
219	KarlKaek	1756
220	Strangemonkey71	1750
221	07shiny	1741
222	DanTheBuilderino	1734
223	Dreamdbr14	1726
224	Bandito_Roamer	1719
225	drumine	1706
226	Zedducius	1682
227	I_Am_Mushkin	1677
228	bigstankyy	1672
229	Ecplosive	1665
230	little_dUki	1660
231	Sheldor097	1650
232	fkGrim	1648
233	Toriankel	1642
234	PortlyPete69	1626
235	Vetral1	1612
236	hcb238	1599
237	AuroraValkyrie	1590
238	Fuad_R	1584
239	Touched_Bread	1576
240	Wolverine4302	1567
241	groofles	1561
241	StinkyDiplomat	1561
243	Windo_licker	1552
244	Warlord324	1540
245	JayToe	1531
246	theonlymagikarp	1509
247	Xalithia	1501
248	jcool7	1496
249	burbankbuilder28	1475
250	fw3xywashere	1474
251	Covalents	1473
252	Vorlice	1461
253	RyuNeko932000	1444
254	Nicky_H225	1443
255	Houstonion	1441
256	The_slideV3	1437
257	Powowowow	1401
258	Swexti	1398
259	lotarp	1397
260	ShedJr_	1396
261	AlphaWolfPlaysMC	1379
262	NotMeowMix	1364
263	Merv__	1355
264	VentiHilton	1337
265	Crowman1	1334
266	UncreativeArtist	1306
267	fred870d	1301
268	emrekn	1297
269	bloodbiter	1291
270	lizardfightclub	1289
271	2Stout	1265
272	Erased_Identity	1260
273	Fildyr	1232
274	Meatlaugh	1217
275	eiC_	1199
276	SkateboardR6	1197
277	egglapras	1192
278	Queen_Jalapeno	1190
279	Ssor69	1172
280	H72l9w	1168
281	Kferno	1162
282	MakeHistory157	1161
283	ElectricDragon81	1155
284	SSytex_X	1111
285	_3Stump_	1108
286	yulgur1	1103
287	SexcMf	1102
288	Typadopoulos	1076
288	ayamefag	1076
290	djancak	1073
291	BronkerBrum	1072
292	_Boipl_	1065
293	_8man	1059
294	Euclidoris	1048
295	Dusk_95	1046
296	TheDumbHuman	1045
297	Veillax135	1044
