rank	username	minecraft:picked_up/minecraft:tide_armor_trim_smithing_template
1	myaccountwasgone	16
2	powercas_gamer	15
3	Secret_Canary	6
4	beeperbeeper5	5
5	crashomon	4
5	U_Mos_	4
5	robonya_	4
8	oscminus	3
8	Kowcio_	3
10	CLG_Kata	2
10	TheSecondLord	2
10	_witch_craft_	2
10	bl1ss0	2
10	TheBananaKat	2
15	k_ce	1
15	Mr_Byzantine	1
15	shineh10	1
15	Huwulling	1
15	royal_2	1
15	MattieHD	1
15	corvidpartyfor6	1
15	Fullut	1
15	Jackattack53	1
15	Hyp3rion_	1
15	Jekyll	1
15	Werbe	1
15	pixelviolin	1
15	Soplight	1
15	Steelynan	1
15	DairyNickel756	1
15	Enderxz3	1
15	Legendosh	1
15	TheWickedBird	1
