rank	username	minecraft:picked_up/minecraft:cut_copper_slab
1	thewindmillman	678
2	PlasticOtari	524
3	Mr_Byzantine	310
4	hanaryheatwave	284
5	Nicserso	283
6	Mr_Sun15	226
7	AdmiralSmoke	156
8	beeperbeeper5	113
9	Mahoose	67
10	Mattesco	33
11	Huwulling	32
11	Jackattack53	32
13	thebaddruid	26
14	EveryonesUncle	24
15	MineMaster0012	17
16	Manaateee	15
16	SpacesickPrism	15
18	Jonafrog99	14
19	EMC_	10
19	Lez_	10
21	LeauVox4921	7
22	jessewegottacook	6
22	Vegvisir	6
22	Soplight	6
25	_Huge_Male_	5
25	Lord_Jord	5
27	pintsizedrogue	3
27	Hyp3rion_	3
27	Lutres_	3
27	pixelviolin	3
31	k_ce	2
31	JETrotter	2
31	Jimb0nat0r	2
34	H0UNDFRMH3LL	1
34	TheSecondLord	1
34	Kubelz	1
34	StinkyDiplomat	1
34	Kowcio_	1
34	MadmanRaven	1
