rank	username	minecraft:picked_up/minecraft:spruce_sign
1	Lez_	2615
2	beeperbeeper5	916
3	Mahoose	909
4	ROY4LE	741
5	HellsSponge	719
6	Frozil20	634
7	pintsizedrogue	597
8	Eraxa	420
9	kekhon	406
10	TheSecondLord	401
11	500am	364
12	obzii	340
13	xolstoi	319
14	thescout7	315
15	Mattesco	313
16	joethahobo	301
17	Di_infiri	260
18	Segotep999	240
19	TheShyPig	228
20	Hyp3rion_	210
21	non089	205
22	PlasticOtari	199
23	luseis	198
24	Blackberry1310	194
25	TechnoNinja64	190
26	Manaateee	185
26	AdmiralSmoke	185
28	eitanzaki	172
29	Jackattack53	165
29	Soplight	165
31	Ezekson	161
32	Ryan_GEMS	158
32	EveryonesUncle	158
34	Chromary	156
35	rarrq	151
36	set67	149
37	Arceus1975	143
38	Enderxz3	140
39	lordpipe	135
40	Kowcio_	124
41	q_wq	121
42	Fullut	117
43	Druid95	109
44	Kakolbus	107
45	Skylord_Luke	103
46	FreakGenius	100
47	_Dean_123	97
48	ImpavidArcher	96
49	m_be9	94
50	12Magner05	93
50	pixelviolin	93
52	KarlKaek	87
53	ECstardust	85
54	Legendosh	83
55	Cryptacity	82
55	MineMaster0012	82
57	Warlord324	81
58	Steelynan	80
59	PhantomsGhost_	72
59	Tyrannosplart	72
59	Spacewardharpy7	72
62	SteveCraftBlocks	70
63	Dakar_	69
63	skrongus	69
65	Mr_Byzantine	68
65	Skippeh	68
67	Nicserso	67
67	Jimb0nat0r	67
69	Teebone15	63
70	Huwulling	61
70	ConnorDanky_	61
72	Blu3beast	60
72	YungMaki	60
74	H0UNDFRMH3LL	59
74	IAmTheWalrus910	59
74	lcvezra	59
77	SDMNAEK	58
77	Inchef	58
77	xxPipperDipperxx	58
77	Onennon	58
77	Akoot_	58
82	StinkyDiplomat	57
83	nattybears	56
83	ApophisNova	56
83	fffMike	56
86	wwwwinnebagoooo	54
87	Merv__	53
87	mwrty	53
87	IamCL4SSY	53
87	DarlaMeow	53
87	SammiWolfGirl	53
92	H72l9w	52
92	CalebDHawk	52
94	Snowflowe	51
94	_Boipl_	51
94	Slapface522	51
97	oscminus	49
97	claivin	49
99	SuperPooch06	48
99	Felenov	48
99	__tomato	48
102	selectrix	47
103	Groovy_MoonBird	46
104	pappaberg	45
104	_Bguette_	45
104	Racengan	45
104	Ze_BaronKrigler	45
108	Xclax101	44
108	Soul_Atreus	44
108	xzvu	44
108	anbbang	44
112	Deathkob	42
113	Smashic	41
113	Fakiuss	41
113	_Meow_Mix	41
116	Groundler	40
116	MovingFish7	40
116	SvenskaHugo	40
119	noam464	39
119	Werbe	39
121	soundad	38
121	6king6colt6	38
121	Alteriity	38
121	Jackster03	38
121	corpsecity	38
121	PigDab	38
121	Fuad_R	38
121	FadedSpade82	38
121	SpacesickPrism	38
130	fr_ser	37
130	Meatlaugh	37
130	ayamefag	37
133	MyNamaSheff	36
134	diamondgolem35	35
134	BlancoFlaco	35
134	LeonelSalamanca	35
137	Comma__	34
138	Natty	33
138	Sleepy_Time_	33
138	2Stout	33
141	RedcatVII	32
142	jessewegottacook	31
142	Rumpletaezer	31
142	RobotMinion101	31
142	NomadicRobin_	31
146	Swexti	30
146	MyNameIsJobo	30
146	Maenara	30
146	_Karmaa	30
146	MAns_44	30
151	Diavri	28
151	Rebytre	28
151	Quotary	28
154	Myszoaz	27
154	fluddd	27
154	Lord_Doob	27
154	Spenduh	27
154	_3Stump_	27
159	AssFullaCum	26
159	jcool7	26
159	VentiHilton	26
162	Ssor69	25
162	Covalents	25
162	UncleDanDan	25
162	thgrocks	25
166	Jindong	24
166	tuckerdoodle	24
166	The_Cruncy	24
166	_Mythic____	24
170	Prismyst	23
170	Historical_Sand	23
170	ProfessorBee	23
170	surfinggiraffejp	23
170	KingMatthew506	23
170	Powowowow	23
170	Zoeyfortnite	23
177	seramalen	22
177	ewpunk	22
179	Jimi7hits	21
179	lillips	21
179	Blaiku	21
179	jnp_gaming	21
183	k_ce	20
183	EMC_	20
183	ShedJr_	20
183	Eraza	20
183	shadowthemonkey	20
183	HesDemonPants	20
189	Malorn_Aetherius	19
189	ARandomHedge	19
191	SaucyDark	18
191	fallingemma	18
191	HyperCave	18
191	GooseWithin	18
191	_TCARREIRA_	18
191	MirielThePastor	18
197	_stets	17
197	fr0stss	17
197	titanlax	17
197	Jakobo1337	17
197	SirPiccardo	17
197	Soap_Bender	17
197	2blox_	17
204	MuffinManzz	16
204	RoskobiOne	16
204	squigglybones	16
204	Yatitay	16
204	ChosenBruh	16
204	jacxhadow	16
204	Enigma0251	16
204	thewindmillman	16
204	burbankbuilder28	16
204	ediballbearings	16
204	PortlyPete69	16
215	Paint	15
215	Incinere	15
215	bloodbiter	15
215	Windo_licker	15
215	yheece	15
215	hanaryheatwave	15
215	AlexxO_o	15
215	Dragonlfw	15
215	ougstur	15
215	XxCookiequeenxX	15
215	JoCoLi	15
215	UCP_TheKingK	15
227	SmashingPump	14
227	Sleek_Storm_721	14
227	NieToksikpl	14
227	The11thDoctor	14
227	KartivGal	14
227	SaintJosie	14
233	Da_Boss_Rani	13
233	shdesolt	13
