rank	username	minecraft:picked_up/minecraft:bread
1	Di_infiri	2056
2	thewindmillman	1497
3	FGamerJ	1284
4	pintsizedrogue	1269
5	EMC_	1205
6	Mahoose	1096
7	FreakGenius	1077
8	TheShyPig	1067
9	Akoot_	1057
10	eitanzaki	1006
11	PlasticOtari	970
12	Apollo_993	848
13	BumbleBeever	846
14	Legendosh	788
15	kekhon	744
16	Blackberry1310	579
17	Tyrannosplart	519
18	rarrq	509
19	ConnorDanky_	491
20	luseis	479
21	Powowowow	448
22	emrekn	437
23	Ryan_GEMS	425
24	joethahobo	420
25	Blu3beast	408
26	Iamthejo	396
27	TechnoNinja64	390
28	DrichAldrich	380
29	Werbe	370
30	taengoos	361
31	EcksD	357
32	Celeste_121	356
33	Groovy_MoonBird	344
34	Saucepeh	332
35	THEKINGLyric10	323
36	abdomera	319
37	jnp_gaming	317
38	Mr_Byzantine	315
39	4774	305
40	pixelviolin	288
41	PigDab	285
41	Lord_Jord	285
43	Fast_Turtle	270
44	Fullut	264
45	6king6colt6	262
46	thescout7	258
47	RatatJuice	248
48	Kim_Jong_eel	237
49	nonarso	224
50	diamondgolem35	223
51	ZeroAbyssTTV	206
52	DarlaMeow	202
53	ApophisNova	201
53	MyNamaSheff	201
55	Louiis123	198
56	SvenskaSara	192
56	qaradox	192
58	Lez_	188
59	FunkyMoneyx	187
60	blackeemperor	186
61	SvenskaHugo	173
62	WinterSepp	171
63	Kowcio_	170
64	Frozil20	169
64	MAns_44	169
66	Niklas20114552	168
67	Chromary	165
68	annebolyn	164
69	Ezekson	157
70	NatalieTW	155
71	hcb238	154
72	oscminus	147
72	claivin	147
74	Jovaphobic	146
74	_Virify_	146
74	SmashingPump	146
74	Jimi7hits	146
78	shineh10	145
78	royal_2	145
78	stellarjay	145
78	EngagedGrub41	145
82	Luigipunch989	142
83	Vizzoid	136
84	Rumpletaezer	134
84	rotten_mango	134
84	Groundler	134
87	Ssor69	132
87	AstreaTSS	132
89	Njensen7	131
90	yulgur1	130
91	Cambo5000	129
91	AlexxO_o	129
93	Krimys	128
94	skitzxo	127
95	WavyGravy_	126
95	Blaiku	126
97	Kamflame	125
97	RoytheBoye	125
99	77Holly7	123
100	ROY4LE	122
101	Airem_Core	114
102	Soplight	111
103	bruh072	110
103	diggydog67	110
105	groofles	109
105	miramyu	109
107	xxPipperDipperxx	107
107	YungMaki	107
109	SHAOBADMAN	106
109	Spacewardharpy7	106
111	teslawolf38	102
112	Comma__	101
113	SoosAmongus	100
114	UrbanPlanningEx	99
115	SyntheticSurgeon	97
116	PortlyPete69	95
117	starbits140	89
118	Skippeh	88
119	Gregward_Smith	86
119	IamCL4SSY	86
119	HesDemonPants	86
122	AspenLightVT	85
123	Ryn777	84
124	Huwulling	83
125	Warlord324	81
126	_TCARREIRA_	79
126	Yamdalorian	79
128	KingFaenor	78
128	RobotMinion101	78
130	zqw10k	76
130	noam464	76
130	lordpipe	76
133	T045RTY	75
134	NATE_the_HALO	74
135	HellsSponge	73
135	StinkyDiplomat	73
137	himak1	70
137	ChronoSounds	70
137	obzii	70
140	_i_ERROR_i_	69
141	BlankityMcBlank	68
142	Swexti	67
142	jewbacaman	67
144	500am	66
145	Jindong	65
145	Schwarz323	65
145	Hyp3rion_	65
145	emreknugrlu	65
145	Dakar_	65
145	NebulousBadger	65
145	Segotep999	65
152	TheMiningCrooner	64
152	Sirduggzy	64
152	DarkDescent2392	64
152	Stiar	64
152	caesarleon	64
152	iNotSpeak	64
152	pixelings_	64
152	Fizznut909	64
152	ItsJunoIGuess	64
152	elliebelle107	64
152	CalvinCandie17	64
163	dudcreeper	63
163	ImDisconnected_	63
163	Quaintster	63
163	El_Jalapeno	63
167	ddogdan13	61
168	Lord_Zacler	60
169	sp00ky_ghost977	59
170	BleachMyEyes	58
170	popcanter	58
170	ProbsNotNova	58
173	beeperbeeper5	56
173	Jackattack53	56
175	ProfessorBee	55
175	Racengan	55
177	Aakvaa	53
177	Snowflowe	53
177	WYFYoyo	53
180	_witch_craft_	52
181	Donutt	51
182	OfficerAnvil	50
183	m_be9	49
183	Myntsys	49
183	_3Stump_	49
186	iElijahi	48
186	Sleepy_Time_	48
186	whoaluv	48
186	Krowuss	48
186	__tomato	48
191	Jackster03	47
191	JayToe	47
191	00000000-0000-0000-0009-01ff0c3e5e4f	47
194	AuroraValkyrie	46
194	SuperPooch06	46
194	wwwwinnebagoooo	46
197	olliebollie48	45
198	squigglybones	44
198	91stCataclysm	44
198	SammiWolfGirl	44
201	XxCookiequeenxX	43
201	Steelynan	43
203	Auranymph	42
203	Joestra	42
203	natajimi	42
203	little_dUki	42
203	561cool	42
208	ECstardust	41
208	ActualPatbaf	41
208	_Meow_Mix	41
211	jacxhadow	40
211	Kakolbus	40
211	benchi3	40
211	CalebDHawk	40
215	Dblikstad	39
216	Killercatty78	38
216	Koffeeinz	38
216	MakeHistory157	38
216	LeeMcGee30	38
220	bigstankyy	37
220	TheDankPlatypus	37
220	Solar_Power	37
220	Bumpy419	37
220	NomadicRobin_	37
225	livingdaydreams	36
225	Maxenor01	36
225	Historical_Sand	36
225	Druid95	36
229	Enigma0251	35
230	Suraidu	34
231	HoldThatPee	33
231	Manaateee	33
231	11Brewer	33
234	Bandito_Roamer	32
234	ExtraDumb	32
234	Reneedium	32
234	IAmTheWalrus910	32
234	Zetsey	32
239	chlorinex	31
239	wiqor	31
239	DaviusMaximoose	31
239	Benzito07	31
243	MuffinManzz	30
243	PhantomsGhost_	30
243	burbankbuilder28	30
243	MonitorLizards	30
243	Jordan_R	30
248	hxdjxd	29
248	MattieHD	29
248	philandr	29
248	hanaryheatwave	29
248	MilleGrug	29
248	kaiwill0w	29
254	IceYoung	28
254	Kondzik2008	28
254	FlashMigma	28
257	MOSS000	27
257	TheThomas69	27
257	eviltunix	27
257	CarryLine	27
257	handsome_strong	27
257	DukBob	27
257	TheMiddayMoon	27
264	Frxnkz	26
264	supernecessary	26
264	Xalithia	26
264	Mattesco	26
264	zToasty69z	26
264	JESS_THE_RERE	26
264	SpacesickPrism	26
271	GraduallyMelon	25
271	TheWildMateo	25
271	victorLIE	25
271	MS_Pryxx	25
275	Incinere	24
275	buss081	24
275	2blox_	24
278	TheSecondLord	23
278	Onennon	23
278	FishyBoy3811	23
278	xzvu	23
278	fffMike	23
283	CliffEmAll	22
283	Raspberry_Sodas	22
283	legal_tax_evader	22
283	andy_rex	22
283	Nicserso	22
283	00000000-0000-0000-0009-01f7139a6fba	22
289	Napoleonpancake	21
289	TooManyDuck	21
289	bra1nbrain	21
289	_Nuf	21
289	Xclax101	21
289	Breb74	21
289	QueenOfDirt	21
296	SygnalX	20
296	Ggino0	20
296	the_fireminer	20
296	Scathra	20
296	Motsaro	20
