rank	username	minecraft:picked_up/minecraft:birch_sign
1	Ezekson	1276
2	beeperbeeper5	728
3	lordpipe	644
4	TheShyPig	604
5	Smoke____	535
6	joethahobo	477
7	Lez_	452
8	kekhon	402
9	Legendosh	390
10	Werbe	346
11	EcksD	344
12	noam464	315
13	Akoot_	308
14	Eczbek	256
15	pintsizedrogue	255
16	YungMaki	249
17	Freak_Genius	244
18	_Dean_123	242
19	Snowflowe	226
20	PhantomsGhost_	203
21	eitanzaki	202
22	TheSecondLord	199
23	Inbefour	195
24	Blaiku	187
24	TechnoNinja64	187
26	Soplight	185
27	Mahoose	182
27	thewindmillman	182
29	teslawolf38	178
30	Di_infiri	175
31	PigDab	172
32	Merv__	164
32	stahouo	164
34	thescout7	159
35	Njensen7	158
36	cedric72	157
37	SammiWolfGirl	155
37	jnp_gaming	155
39	fffMike	154
40	lillips	147
41	ShedJr_	135
42	EcksDofficial	126
43	ImpavidArcher	121
44	oxfordschool	120
45	6king6colt6	118
46	IAmTheWalrus910	117
47	NomadicRobin_	115
47	cichy096	115
47	Jordan_R	115
50	MangoTheFish	114
51	vandmanden	112
52	eviltunix	111
53	Blackberry1310	108
53	chipklip	108
55	himak1	102
55	Enderslayerxz3	102
57	PlasticOtari	101
58	Fullut	98
58	EtherealEspresso	98
60	Blu3beast	96
61	PortlyPete69	94
62	HellsSponge	92
63	Dedalus36	80
63	lizardfightclub	80
65	Spacewardharpy7	78
66	Kubeusz2010	76
66	Powowowow	76
68	Lord_Jord	74
69	Jovaphobic	72
70	Arceus1975	68
71	jacxhadow	66
72	Paint	65
73	Onennon	60
73	Eraxa	60
75	bigstankyy	57
75	Groundler	57
75	kinas45y5	57
78	Rumpletaezer	56
78	Vorlice	56
80	fluddd	55
81	Hyp3rion_	54
82	Fuad_R	52
82	sp00ky_ghost977	52
82	h2p_emrld	52
85	ROY4LE	51
86	Wooptey	49
86	Vellu21	49
88	BlancoFlaco	48
88	Reamdin	48
88	G1ldor	48
88	Jackattack53	48
92	rarrq	47
92	djancak	47
94	burbankbuilder28	46
95	CollinMH06	45
95	Frozil12	45
97	ProfessorBee	44
97	Zythose	44
97	Maenara	44
97	KG1999	44
101	Awyrlas	42
101	SokaOtaku	42
103	masskedman	40
103	MakeHistory157	40
103	Sral7	40
106	SteveCraftBlocks	39
107	500am	38
108	CoffeeNoir	37
108	KeruNatsema	37
108	ChocolatePepsi	37
111	dezxalo	36
111	_Bguette_	36
113	mwrty	35
113	SirBreadward	35
115	TheDankPlatypus	34
115	SingedBread	34
117	RebelAndroid	33
117	ApophisNova	33
117	Nagasaki_Riku	33
117	Steelynan	33
117	MyNamaSheff	33
122	Nicserso	31
123	Nicky19	30
124	Touched_Bread	29
124	wwwwinnebagoooo	29
126	DarlaMeow	28
126	__tomato	28
128	Hiryu27	27
128	KartivGal	27
128	Sheldor097	27
128	Winston_Ingram	27
132	claivin	26
132	BreadBacon	26
134	xxPipperDipperxx	25
134	Kakolbus	25
134	Skylord_Luke	25
134	Rasmanden	25
138	SaucyDark	24
138	NotMeanttoChange	24
138	Spenduh	24
141	egglapras	23
141	Aiko_Kawashima	23
141	SuperPooch06	23
141	SexcMf	23
141	Optiprimus	23
146	KarlKaek	22
146	NameGenerat0r	22
148	Sky_light_KING	21
149	fred870d	20
150	T045RTY	19
150	Winklepicker279	19
150	TheTrueClipse	19
150	ediballbearings	19
154	Bandito_Roamer	18
154	LionelHutzESQ	18
154	Chromary	18
154	SpookyDraggin	18
154	JollyDroopy52	18
159	Mr_Byzantine	17
159	CruncyIsTaken	17
159	Wowful	17
159	07shiny	17
159	CalebDHawk	17
159	jcool7	17
165	Cowison	16
165	EMC_	16
165	tsohomie	16
165	heckface	16
165	Notta	16
165	m_be9	16
165	12Magner05	16
165	SoftSix	16
165	Steven1282598	16
165	JoCoLi	16
165	Airem_Core	16
165	MineMaster0012	16
177	bloodbiter	15
177	Rich_Kat	15
177	MattieHD	15
177	Smashic	15
177	Stiar	15
177	r123moore	15
177	Fizznut909	15
184	livingdaydreams	14
184	TheMaster972	14
184	Euclidoris	14
184	SLASHZEERA	14
184	Windo_licker	14
184	WET_WET_WET	14
184	stavgod	14
184	Ripzch	14
184	KingMatthew506	14
193	Groovy_MoonBird	13
193	TheDiamondCG	13
193	_naturell	13
193	LetsDoItLive	13
193	LeeMcGee30	13
193	Mr_Teddiursa_K	13
193	HesDemonPants	13
200	I_Am_Mushkin	12
200	intropass	12
200	dendydoom	12
200	SvenskaHugo	12
200	Kyrum2169	12
200	BlankityMcBlank	12
206	hm947	11
206	Jiminie	11
206	Kowcio_	11
206	brofrickcheaters	11
206	diggydog67	11
211	Ssor69	10
211	Dragonfest	10
211	Covalents	10
211	loveseeker	10
211	xKhoshekh	10
211	Kokeech	10
211	TheTommyGun63	10
211	Cocoamallows	10
211	TheEnderman548	10
211	alderban107	10
221	Incinere	9
221	Frxnkz	9
221	M_Patata	9
221	gabriels543	9
221	AlexStrange	9
221	Lord_Zacler	9
221	LexMakesHistory	9
221	The_Quack_Dealer	9
221	Racengan	9
221	Leithz6	9
231	Ze1ig	8
231	Yatitay	8
231	Alteriity	8
231	TinMaster	8
231	Jokerman369	8
231	Austine6698	8
231	jillian12345	8
231	AlexxO_o	8
231	Drewen24	8
231	sxc_	8
231	Deathkob	8
231	calamariclam_I	8
231	561cool	8
244	SugarMyNuggets	7
244	oreee	7
244	XboxPanda	7
244	fr_ser	7
244	ChrisKyleST3	7
244	Negriuke	7
244	_Karmaa	7
244	MAns_44	7
244	SkateboardR6	7
244	MasterNueve	7
244	ayamefag	7
