rank	username	minecraft:picked_up/minecraft:green_glazed_terracotta
1	PigDab	189
2	lordpipe	186
3	TheSecondLord	154
3	RoboTramp7865	154
5	titanlax	150
6	noam464	97
7	Merv__	89
8	ImpavidArcher	74
9	Lez_	71
10	AdmiralSmoke	70
11	Snowflowe	62
12	Spacewardharpy7	55
13	StinkyDiplomat	49
14	Legendosh	48
15	Huwulling	39
15	Prismyst	39
17	Kijiki	28
18	Wooptey	24
18	FreakGenius	24
20	ROY4LE	21
20	CarltheCuck	21
22	MakeHistory157	19
22	Quotary	19
24	Hiryu27	16
25	UncleDanDan	15
25	calamariclam_I	15
27	500am	11
28	BobDeBouwer1337	8
29	pintsizedrogue	5
29	YungMaki	5
29	Soplight	5
32	Inbefour	4
32	DarlaMeow	4
32	Steelynan	4
35	TheShyPig	2
35	Kim_Jong_eel	2
35	FelixPSY375	2
35	Enderxz3	2
39	k_ce	1
39	ColeSnyder	1
39	eitanzaki	1
39	beeperbeeper5	1
39	Nycteus_	1
39	ItsDeltaMC	1
39	Razzgriz	1
39	yatsuta	1
39	ConnorDanky_	1
