rank	username	minecraft:picked_up/minecraft:red_banner
1	beeperbeeper5	244
2	Lez_	225
3	EveryonesUncle	203
4	Kowcio_	200
5	Mahoose	175
6	Soplight	159
7	Legendosh	125
8	Lord_Jord	107
9	Merv__	100
10	Mattesco	95
11	SteveCraftBlocks	89
12	TheShyPig	82
13	kekhon	75
14	pintsizedrogue	56
14	PlasticOtari	56
16	Gundam_Steven	54
16	Huwulling	54
18	luseis	44
18	YungMaki	44
20	Blackberry1310	41
20	Steelynan	41
22	TheSecondLord	39
23	2Stout	38
23	IamCL4SSY	38
25	Da_Boss_Rani	30
25	TechnoNinja64	30
27	Fuad_R	29
27	FreakGenius	29
27	xzvu	29
30	Wowful	27
31	ShedJr_	26
32	Hpdinosaur	24
33	h2p_emrld	23
34	Enderxz3	20
35	Werbe	19
36	MattieHD	18
36	lordpipe	18
38	NameGenerat0r	17
39	Smashic	16
40	PhantomsGhost_	15
40	DinoDoctor_	15
40	ImpavidArcher	15
40	eitanzaki	15
40	thgrocks	15
45	joethahobo	14
45	xxPipperDipperxx	14
45	Snowflowe	14
45	_3Stump_	14
49	SaucyDark	12
49	Euclidoris	12
49	ApophisNova	12
49	epiksk8erduck	12
49	Manaateee	12
49	MAns_44	12
49	MyNamaSheff	12
56	_Virify_	11
56	pappaberg	11
56	jnp_gaming	11
59	Mr_Byzantine	10
59	SuperPooch06	10
61	Frozil20	9
61	500am	9
61	FelixPSY375	9
61	Sral7	9
61	xolstoi	9
66	_stets	8
66	Ryan_GEMS	8
66	nattybears	8
66	_Dean_123	8
66	Doom_melon	8
66	hanaryheatwave	8
66	Akoot_	8
66	Eraxa	8
74	Jovaphobic	7
74	KarlKaek	7
74	rarrq	7
74	Jakobo1337	7
74	lorpus	7
74	corpsecity	7
74	AnnieBathory	7
74	Skylord_Luke	7
74	LeonelSalamanca	7
74	_Bguette_	7
74	Segotep999	7
85	Creativebuilder2	6
85	CoffeeNoir	6
85	orxngejuice	6
85	Onennon	6
85	F_Uhre	6
85	fluddd	6
85	MilleGrug	6
85	Kubeusz2010	6
93	hm947	5
93	Crowman1	5
93	Fullut	5
93	Inchef	5
93	burbankbuilder28	5
93	andy_rex	5
93	SirPiccardo	5
93	drompje	5
93	oscminus	5
93	claivin	5
93	CheifJumbo	5
93	AdmiralSmoke	5
105	LionelHutzESQ	4
105	LeauVox4921	4
105	Nycteus_	4
105	Blaiku	4
105	Kyrum2169	4
105	__tomato	4
105	SammiWolfGirl	4
105	Jimb0nat0r	4
105	WYFYoyo	4
114	k_ce	3
114	shineh10	3
114	Sleek_Storm_721	3
114	I_Am_Mushkin	3
114	CompAir	3
114	youhjjhhhjj	3
114	thescout7	3
114	noam464	3
114	Kakolbus	3
114	Karetoko	3
114	Jackattack53	3
114	Norrhede	3
114	Mr_Sun15	3
114	fkGrim	3
114	HellsSponge	3
114	Blu3beast	3
114	cog	3
114	moolerbooler	3
114	SexcMf	3
114	pixelviolin	3
114	UCP_TheKingK	3
114	ConnorDanky_	3
114	EcksD	3
137	MixerDixer	2
137	ECstardust	2
137	excelsionprime	2
137	mwrty	2
137	Winklepicker279	2
137	Rumpletaezer	2
137	Kondzik2008	2
137	Misty_Breeze	2
137	JETrotter	2
137	The_Cruncy	2
137	DarlaMeow	2
137	Shogunite	2
137	Xclax101	2
137	iSammael	2
137	MineMaster0012	2
137	lcvezra	2
137	jcool7	2
137	alderban107	2
137	ZoomieZoomie	2
156	CLG_Kata	1
156	Jo_Jo_Bear	1
156	Flegneh	1
156	SmashingPump	1
156	q_wq	1
156	KingFaenor	1
156	6king6colt6	1
156	diamondgolem35	1
156	_Razaria	1
156	jessewegottacook	1
156	jfirebender2	1
156	titanlax	1
156	NieToksikpl	1
156	shdesolt	1
156	m_be9	1
156	ABUSNA1996	1
156	SwiftyPlayz__	1
156	noodlepack	1
156	Pelbo	1
156	_lildarki3	1
156	AJbeast01	1
156	groggregg42	1
156	PegLegPete93	1
156	ROY4LE	1
156	BigMoneyH	1
156	0Vyp_	1
156	Hoid_the_Roamer	1
156	Bumpy419	1
156	MustardDrinker	1
156	RobotMinion101	1
156	Ender_Souls	1
156	CarryLine	1
156	aymonkey	1
156	halfwayup	1
156	TheTrueClipse	1
156	NomadicRobin_	1
156	duqboy	1
156	Veillax135	1
156	Dakar_	1
156	Spacewardharpy7	1
156	noahlemonman	1
156	Sheldor097	1
156	Hermanni__	1
