rank	username	minecraft:picked_up/minecraft:red_terracotta
1	MilleGrug	11934
2	TheShyPig	6560
3	EMC_	6429
4	Rumpletaezer	5059
5	Spacewardharpy7	3929
6	Snowflowe	3895
7	lordpipe	3542
8	Steven1282598	3266
9	oxfordschool	3199
10	Inbefour	3179
11	Steelynan	3149
12	thewindmillman	2690
13	Freak_Genius	2662
14	Deathkob	1871
15	ImpavidArcher	1419
16	MovingFish7	1389
17	Merv__	1382
18	Deodorante	1370
19	Dusk_95	1333
20	MightyWertu	1299
21	El_Jalapeno	1277
22	EcksD	1224
23	rarrq	1201
24	Werbe	1183
25	Hoid_the_Roamer	1101
26	Kamflame10	1056
27	Blackberry1310	1008
27	cog	1008
29	mwrty	954
30	ApophisNova	875
30	MyNamaSheff	875
32	Di_infiri	861
33	TheSecondLord	849
34	Nyxiom_	840
35	set67	808
36	EcksDofficial	790
37	YungMaki	768
38	Weepingbiel	754
39	gabriels543	753
40	KingMatthew506	731
41	Enderslayerxz3	721
42	Kouridragon	706
43	diggydog67	701
44	Hyp3rion_	681
45	NomadicRobin_	667
46	_Karmaa	664
47	MAns_44	659
48	fred870d	630
49	Mahoose	616
50	TooManyDuck	596
51	fanofbands101	594
52	the_russell1611	588
53	pintsizedrogue	570
54	SvenskaHugo	560
55	Sral7	547
56	QueenShuvi	544
57	_Virify_	489
57	stahouo	489
59	Onennon	487
60	PhantomsGhost_	482
61	kekhon	477
62	XxCookiequeenxX	473
63	Akoot_	459
64	Nesquiczek	441
65	CoffeeNoir	438
66	Barlycorn	431
67	SpaceTurtleOX	389
68	Hermanni__	380
69	ImDisconnected_	377
70	Ezekson	371
71	Chromary	364
72	Swexti	363
73	fkGrim	353
74	epiksk8erduck	344
75	mariominejedi	336
76	Kakolbus	325
77	Skylord_Luke	301
78	heckface	300
79	Blaiku	299
80	Inchef	296
81	Frozil12	295
82	beeleg	288
83	theonlymagikarp	287
84	Parcc	283
85	Nicserso	277
86	NameGenerat0r	271
87	_Bguette_	260
88	joethahobo	256
89	Soplight	253
90	Fullut	252
91	djancak	244
92	himak1	230
93	Lord_Jord	225
94	m_be9	223
95	AuroraValkyrie	205
95	eitanzaki	205
95	XboxPanda	205
95	JoCoLi	205
99	NNikitas	204
100	ROY4LE	202
101	SDMNAEK	196
102	500am	183
103	noam464	179
104	Deerfoot	176
105	Awyrlas	172
106	ProfessorBee	170
107	PlasticOtari	169
108	PegLegPete93	166
109	Zythose	154
110	TechnoNinja64	147
111	_naturell	144
112	jcool7	140
113	Eraxa	138
114	Sabby65	129
114	livingdaydreams	129
116	Zaridey	121
117	xxPipperDipperxx	116
118	gcaisawesome	111
119	SSytex_X	109
120	Bumpy419	104
121	kinas45y5	100
122	xXTheWolfmanXx	98
123	ooga47	95
124	Blu3beast	90
124	IdeallyGrey	90
126	Noah_Bez	88
127	Malorn_Aetherius	78
128	soundad	74
129	EveryonesUncle	72
130	Groovy_MoonBird	71
130	Kowcio_	71
132	Jackattack53	68
133	AnnieBathory	64
133	Juk3b0x	64
135	_Razar	63
135	SammiWolfGirl	63
137	Quincannon	62
138	UncleDanDan	59
139	nocturne78	55
140	Blamphe	53
141	Myszoaz	52
142	yatsuta	51
143	claivin	50
144	beeperbeeper5	49
144	MyNameIsJobo	49
144	Nycteus_	49
147	Natty	46
148	ChocolatePepsi	44
149	SuperPooch06	43
150	fluddd	42
151	MeowMeowMcmuffin	33
151	alderban107	33
153	fxiryglitch	32
154	WET_WET_WET	29
155	ElKaySVK	28
156	LotusProject	26
157	ShedJr_	25
157	SexcMf	25
157	jnp_gaming	25
160	RoskobiOne	24
160	CarltheCuck	24
160	Omar_Alone	24
160	Quotary	24
164	DarlaMeow	23
165	MeetTheWollo	22
166	Smashic	20
166	MakeHistory157	20
166	Smoke____	20
169	RodSerlingCringe	18
170	StylesK	15
170	Jiminie	15
172	Hpdinosaur	14
172	Incinere	14
172	TTNG	14
175	zylanzagreat	11
176	DepressedCubic	10
176	Segotep999	10
178	ratglock	9
178	mshs94	9
178	Babushka0430	9
178	lcvezra	9
182	Bandito_Roamer	8
182	ProbablyNick	8
182	awesomeoneme	8
182	natajimi	8
182	__tomato	8
187	NasdaqCrash	7
187	BobDeBouwer1337	7
187	duqboy	7
187	chipklip	7
191	301851	6
192	Jovaphobic	5
192	elicobnoah	5
192	Notta	5
192	Arceus1975	5
192	Dooinfe	5
192	The_SlideV5	5
198	tuckerdoodle	4
198	emrekn	4
198	yulgur1	4
198	lillips	4
198	MyNameIsDakar	4
198	Racengan	4
198	iTheRaiden	4
198	ZeroKraken	4
206	Historical_Sand	3
206	AlphaWolfPlaysMC	3
206	Spenduh	3
206	Lowjinx	3
206	Legendosh	3
211	KarlKaek	2
211	Scathra	2
211	thescout7	2
211	SellyZ	2
211	k1ngGilgamesh	2
211	RobotMinion101	2
211	wfk7	2
211	Sky_light_KING	2
211	wobn	2
211	ediballbearings	2
221	peachfuzz1267	1
221	Drlzyy	1
221	error10101	1
221	Isaac70096	1
221	NinjaKnifeKill	1
221	Ao_Ken	1
221	viziqs	1
221	SquadMonster	1
221	Euclidoris	1
221	Megarboh	1
221	_Dean_123	1
221	_Minnty_	1
221	Stiar	1
221	fr_ser	1
221	drompje	1
221	Rebytre	1
221	p4lp	1
221	lizardfightclub	1
221	GravitySaint	1
221	Vorlice	1
221	_Ruzeeq_	1
221	Razzgriz	1
221	pixelviolin	1
221	Skippeh	1
221	deenobeeno	1
221	Deliriohm	1
221	WinterYoke	1
