rank	username	minecraft:picked_up/minecraft:calcite
1	Frozil20	110437
2	thewindmillman	82377
3	j5ylim	50874
4	Hyp3rion_	32216
5	pintsizedrogue	28981
6	k_ce	23949
7	Kowcio_	21251
8	gren_ben	20705
9	Jimb0nat0r	15343
10	hanaryheatwave	15217
11	EMC_	9835
12	Mattesco	9096
13	Enderxz3	8947
14	doublemaki	7359
15	ECstardust	6803
16	MattieHD	5906
17	Nicserso	5784
18	luseis	5348
19	Manaateee	4908
20	rarrq	4748
21	Legendosh	4436
22	TheSecondLord	4099
23	calamariclam_I	3870
24	500am	3725
25	shineh10	3554
26	knarian	3366
27	corvidpartyfor6	2948
28	Spaghettatron	2864
29	Mahoose	2422
30	Yamdalorian	2370
31	Huwulling	2283
32	SingedBread	2231
33	Sleepy_Evelyn	2132
34	lordpipe	2038
35	Hahaa_0	1985
36	Secret_Canary	1857
37	_witch_craft_	1840
38	QuiCreans	1749
39	MAns_44	1694
40	Mr_Byzantine	1684
41	craaaash	1682
42	diamondgolem35	1651
43	MilleGrug	1613
44	NATE_the_HALO	1594
45	beeperbeeper5	1545
46	Werbe	1444
47	cutelilreno	1436
48	Iamthejo	1432
49	Steelynan	1409
50	RebelAndroid	1393
51	Krowuss	1368
52	PaperCanvas	1353
53	hermmm_	1248
54	U_Mos_	1122
55	Buuck_	1117
56	EveryonesUncle	1072
57	Crowman1	1030
58	mihimihimihi	1019
59	Ryker	985
60	Rebytre	973
61	PazinGaming	970
62	SvenskaHugo	948
63	SpacesickPrism	946
64	Samificator	939
65	hm947	889
66	BungalowBeet	882
67	Apollo_993	863
68	CalvinCandie17	838
69	Snowflowe	790
70	12Magner05	788
71	ApophisNova	759
71	MyNamaSheff	759
73	PlasticOtari	748
74	MyMawgDonaldsGon	746
75	excelsionprime	737
76	CattSoup	724
77	XxCookiequeenxX	708
78	Flores991	678
79	dartwaffle	667
80	MinttyFressh	659
81	MrKrabOnCoke	646
82	ImpavidArcher	635
83	Hoid_the_Roamer	602
84	Marbz_	600
85	Soplight	585
86	Alteriity	550
87	starbits140	548
88	Galactic_Badger	536
89	robonya_	535
90	Deathkob	526
91	robertsnose	513
92	SOA1RR	505
93	noam464	500
94	TheWickedBird	496
95	mobunni	495
96	HUNTERmaun	434
97	Lez_	421
98	shadowthemonkey	410
98	CacheOut	410
100	TheKingK_	393
101	AlexxO_o	389
102	_Nat666	384
103	Fuad_R	366
104	eitanzaki	364
105	_Karmaa	360
106	nattybears	359
107	ZoomieZoomie	356
108	MSK__	355
109	Kubelz	354
110	The_Fulgurator	351
111	FormulaNewt3627	346
112	Xalithia	338
113	prizm_	323
114	gcaisawesome	317
115	philandr	311
116	Silvo614	309
117	Niklas20114552	306
118	Yahir091	299
119	Gus2005	297
120	Kkanot	292
121	milltesco	281
122	smogfrogg	279
123	Penguinllama517	264
123	DairyNickel756	264
125	Touched_Bread	257
126	00000000-0000-0000-0009-01ff0c3e5e4f	252
127	Dakar_	249
128	KamFurnace	241
129	Jimi7hits	238
130	Vetomo8000	237
131	_Dri_	230
132	_Huge_Male_	222
133	wwwwinnebagoooo	217
134	RoskobiOne	214
135	Winklepicker279	212
136	RatatJuice	207
137	xPixelRainx	206
138	ShedJr_	202
139	groofles	195
140	Lutres_	192
141	Blaiku	187
142	Njensen7	185
143	Boipl	171
144	EngagedGrub41	162
145	LugusMcGrugus	155
146	EdGalbraith	150
146	LeEricc	150
148	PigDab	149
148	11Brewer	149
150	horrayhorray123	147
151	TheEnderMan548	145
152	Sleepy_Time_	140
153	Groovy_MoonBird	137
153	CharlieButt	137
155	Killercatty78	130
155	iSammael	130
157	Inchef	129
158	Napoleonpancake	128
158	Myszoaz	128
158	_i_ERROR_i_	128
161	Sheldor097	119
162	q_wq	116
163	skroobiez	114
163	MC_Skribble	114
165	Prismyst	111
166	Pumpkin_P_Patch	108
167	Spenduh	107
168	MuffinManzz	106
169	pixelviolin	105
170	NieToksikpl	99
171	oscminus	93
172	Kakolbus	90
172	Dan_Scha	90
172	RadarHz	90
175	SammiWolfGirl	89
176	joethahobo	84
176	Spankathor	84
178	BPTY4618	82
178	masskedman	82
180	Masssonnn	81
181	Jackattack53	80
182	Moofyman	79
183	bl1ss0	76
184	EdaterPure	73
185	StinkyDiplomat	70
186	Weepingbiel	69
187	TheDankPlatypus	68
188	Blackberry1310	67
