rank	username	minecraft:picked_up/minecraft:axolotl_bucket
1	500am	259
2	GlitchyPlate810	71
3	Jackattack53	52
4	noam464	38
5	Blu3beast	33
6	xxPipperDipperxx	30
7	TheWildMateo	20
7	MyNameIsDakar	20
9	Lutres_Torane	18
10	Mahoose	17
10	Jiminie	17
12	Ezekson	16
13	Blackberry1310	12
14	calamariclam_I	11
15	egglapras	9
15	ApophisNova	9
15	MyNamaSheff	9
18	nataliecool	8
18	kekhon	8
18	NomadicRobin_	8
21	12Magner05	7
21	SuperPooch06	7
21	Freak_Genius	7
21	Kowcio_	7
25	Akoot_	6
26	TheSecondLord	5
26	Marbz_	5
26	YungMaki	5
26	Spenduh	5
30	Nesquiczek	4
30	Huwulling	4
30	Inchef	4
33	ShedJr_	3
33	Sleepy_Time_	3
33	Hermanni__	3
33	_Dri_	3
37	Flores991	2
37	SyntheticSurgeon	2
37	Farv	2
37	Lumien_	2
37	Hyp3rion_	2
37	AlexxO_o	2
37	lizardfightclub	2
37	Joestra	2
37	extralargenose	2
37	SpacesickPrism	2
37	Sheldor097	2
37	fffMike	2
37	jcool7	2
37	Eczbek	2
37	MeetTheWollo	2
37	WYFYoyo	2
53	pintsizedrogue	1
53	EMC_	1
53	diamondgolem35	1
53	Alteriity	1
53	joethahobo	1
53	SteveCraftBlocks	1
53	Kkanot	1
53	Nach0Bear	1
53	orxngejuice	1
53	Xalithia	1
53	drunkeeez	1
53	Kakolbus	1
53	Arceus1975	1
53	Rebytre	1
53	KeruNatsema	1
53	Luminad3	1
53	yulgur1	1
53	CuzIm2Kev	1
53	Ilaea	1
53	shrimp_flips	1
53	fluddd	1
53	Racengan	1
53	ProfessorDiaper	1
53	Yahir091	1
53	Spacewardharpy7	1
53	lordpipe	1
53	CheifJumbo	1
53	Y3ntai	1
53	EtherealEspresso	1
53	starbits140	1
53	Steelynan	1
53	Kubeusz2010	1
53	Dr0xzy	1
53	Quotary	1
53	smogfrog	1
53	2blox	1
53	Smoke____	1
