rank	username	minecraft:picked_up/minecraft:acacia_slab
1	AdmiralSmoke	1567
2	Merv__	1405
3	beeperbeeper5	1264
4	Mahoose	701
5	Werbe	590
6	cichy096	541
7	TheShyPig	539
8	Lez_	492
9	Manaateee	476
10	ImpavidArcher	455
10	TheSeismicDuck	455
12	Bandito_Roamer	350
13	set67	330
13	Kubeusz2010	330
15	Snowflowe	267
16	Meatlaugh	260
17	KarlKaek	251
18	Onennon	244
19	Hoid_the_Roamer	225
20	kekhon	214
21	Doom_melon	194
22	EMC_	185
23	kalzor	184
24	FreakGenius	183
25	Steelynan	177
26	El_Jalapeno	171
27	Zedducius	169
28	SvenskaHugo	151
29	ConnorDanky_	138
30	DarlaMeow	135
31	Groovy_MoonBird	132
32	TastyPorkchop	131
33	Winklepicker279	119
34	Mr_Byzantine	117
35	Myrosia	115
36	HellsSponge	113
37	xolstoi	107
38	smogfrog	103
39	2Stout	100
40	eitanzaki	88
41	Blaiku	87
41	Spacewardharpy7	87
43	corvidpartyfor6	86
43	gcaisawesome	86
45	Jackattack53	82
45	PlasticOtari	82
47	starbits140	79
48	Crumbls	78
49	Franco093	74
50	Gryglu583	71
51	KlausVonStiglitz	69
52	Ezekson	68
53	Eraxa	66
54	Di_infiri	64
55	FreddyFart	62
56	Barlycorn	61
57	youhjjhhhjj	58
58	joethahobo	55
59	lordpipe	54
60	ChillenChiggen	53
61	Soplight	52
62	Kowcio_	51
62	CattSoup	51
64	xXTheWolfmanXx	49
65	pintsizedrogue	47
66	Enderxz3	46
67	Blackberry1310	43
68	Chuvacevedo	37
69	Megarboh	36
70	Apollo_993	34
70	GreedyFern8581	34
70	bitsplease	34
73	ProfessorBee	32
74	YungMaki	31
75	JESS_THE_RERE	30
76	luseis	28
76	Soul_Atreus	28
76	TechnoNinja64	28
79	_Panyu_	27
79	r123moore	27
79	Sral7	27
82	fade_emerge78823	26
82	himak1	26
84	Frozil20	22
84	MrKrabOnCoke	22
86	m_be9	21
86	UCP_TheKingK	21
88	noam464	20
88	JayToe	20
90	tsitrawhy	19
91	_Karmaa	17
92	ThePoliteG	16
92	ProfessorDiaper	16
94	_Ruzeeq_	15
95	benediktine1	14
95	thewindmillman	14
95	Lord_Jord	14
95	EveryonesUncle	14
95	Typadopoulos	14
95	LeeMcGee30	14
95	xX_Stalin69_Xx	14
102	Vizzoid	12
102	TheSecondLord	12
102	Fullut	12
102	thescout7	12
102	NameGenerat0r	12
107	Alexanderjac	11
107	peach0s	11
107	Inbefour	11
107	MS_Pryxx	11
111	12Magner05	10
111	ReflexCode	10
111	Toriankel	10
114	Akoot_	8
114	LeonelSalamanca	8
114	ItsJunoIGuess	8
117	SaucyDark	7
118	CLG_Kata	6
118	legal_tax_evader	6
118	lillips	6
118	SirBreadward	6
118	PA_Tech_Gaming	6
123	0_B_C_T	5
123	SteveCraftBlocks	5
123	Zaridey	5
123	victorLIE	5
123	underscore_2	5
123	Schlitzman	5
129	_Huge_Male_	4
129	dimondking777	4
129	AgressiveEggdog	4
129	Fractured_	4
129	Euclidoris	4
129	MeowMeowMcmuffin	4
129	TylerDupree	4
129	sp00ky_ghost977	4
129	pixelviolin	4
138	SmashingPump	3
138	Incinere	3
138	Kamflame10	3
138	ApophisNova	3
138	AlexxO_o	3
138	fw3xy74	3
138	Dakar_	3
138	JureJurko	3
138	MyNamaSheff	3
138	JasmineGK	3
138	Jimb0nat0r	3
149	funeralhome	2
149	dopplexd	2
149	excelsionprime	2
149	4774	2
149	lorpus	2
149	hayybails	2
149	WET_WET_WET	2
149	yaboo88	2
149	oscminus	2
149	Mattesco	2
149	thgrocks	2
149	fkGrim	2
149	claivin	2
149	iSammael	2
149	Razzgriz	2
164	AlazelTheReal	1
164	ShedJr_	1
164	jushykins	1
164	firesgal3116	1
164	xxPipperDipperxx	1
164	Touched_Bread	1
164	Karetoko	1
164	Marbz_	1
164	thatbeanyboi	1
164	hanaryheatwave	1
164	AnnieBathory	1
164	GooseWithin	1
164	_Bguette_	1
164	C0oOK13M0N5T3R	1
164	xzvu	1
