rank	username	minecraft:picked_up/minecraft:purple_shulker_box
1	pintsizedrogue	884
2	ROY4LE	612
3	Hyp3rion_	361
4	beeperbeeper5	323
5	SaucyDark	318
6	Mahoose	302
7	Smoke____	284
8	livingdaydreams	281
9	Fullut	230
10	ApophisNova	198
10	MyNamaSheff	198
12	500am	192
13	mwrty	178
14	kekhon	167
15	Malorn_Aetherius	166
16	fluddd	153
17	Zythose	135
18	HellsSponge	128
19	burbankbuilder28	126
20	thewindmillman	125
21	Akoot_	118
22	jnp_gaming	114
23	T045RTY	98
23	claivin	98
25	r123moore	96
26	lcvezra	95
27	Jovaphobic	91
28	Teebone15	81
29	YungMaki	79
30	Cryptacity	75
31	NameGenerat0r	67
32	PlzNoBM	66
32	jcool7	66
34	Enderslayerxz3	65
35	m_be9	63
36	sp00ky_ghost977	58
37	lordpipe	56
38	soundad	53
39	TheSecondLord	49
39	Awyrlas	49
41	Xalithia	48
42	Spacewardharpy7	47
43	Fizznut909	45
44	GlitchyPlate810	41
45	Bandito_Roamer	39
46	cedric72	37
46	Razzgriz	37
48	chipklip	34
49	censorsheep	33
50	Werbe	31
51	kinas45y5	29
52	12Magner05	28
53	ZeroKraken	27
54	Sky_light_KING	26
54	Fuhrer_Teemo	26
54	Eraxa	26
54	mawileite	26
58	cichy096	25
59	diamondgolem35	24
59	Segotep999	24
61	Groovy_MoonBird	23
61	AuroraSkies	23
61	SexcMf	23
64	Historical_Sand	22
65	Ezekson	21
65	TechnoNinja64	21
67	rarrq	19
67	Blaiku	19
69	Alteriity	18
69	Ecplosive	18
69	SvenskaAlvar	18
72	lillips	17
73	LexMakesHistory	16
73	__Auspicious	16
75	TheShyPig	15
76	Giannism	14
76	little_dUki	14
78	PigDab	12
79	_Virify_	11
79	titanlax	11
79	SeverianTheLame	11
79	Deathkob	11
79	oxfordschool	11
84	ExtraDumb	10
84	fred870d	10
84	Th6masss	10
84	ElKaySVK	10
84	K_a__a_n	10
89	I_Am_Mushkin	8
89	Quincannon	8
89	pixelviolin	8
89	Dogcorn69420	8
93	Euclidoris	7
93	UncreativeArtist	7
93	noam464	7
96	eitanzaki	6
96	AlazelTheReal	6
96	emrekn	6
96	Hermanni__	6
100	Merv__	5
100	Hpdinosaur	5
100	DarlaMeow	5
100	Groundler	5
100	PlasticOtari	5
105	TooManyDuck	4
105	surfinggiraffejp	4
105	Snowflowe	4
105	Bumpy419	4
105	SvenskaHugo	4
105	Kowcio_	4
105	Kubeusz2010	4
105	EcksD	4
113	ImpavidArcher	3
113	CoffeeNoir	3
113	joethahobo	3
113	FirsTimeGamingTV	3
113	Shadoko_	3
113	Blackberry1310	3
113	xxPipperDipperxx	3
113	xambsam	3
113	sxc_	3
113	Jiminie	3
113	madderfall	3
113	Cyntrical	3
113	UCP_TheKingK	3
113	VentiHilton	3
113	Quotary	3
128	Nesquiczek	2
128	Clxpzy	2
128	MinttyFressh	2
128	ProfessorBee	2
128	thescout7	2
128	gcaisawesome	2
128	Rumpletaezer	2
128	King_Pancake1	2
128	k1ngGilgamesh	2
128	AlexxO_o	2
128	Xeno175	2
128	Lord_Jord	2
128	fw3xywashere	2
128	NomadicRobin_	2
128	audiocracked	2
128	1Riot	2
144	MR__puma	1
144	PhantomsGhost_	1
144	Gundam_Steven	1
144	Octatrack	1
144	Axel_Foley	1
144	Upstro10	1
144	SteveCraftBlocks	1
144	NotTrixi	1
144	Inchef	1
144	NimBit	1
144	Zaridey	1
144	Marbz_	1
144	gabriels543	1
144	Di_infiri	1
144	SuperPooch06	1
144	Arceus1975	1
144	MaGro2010	1
144	Shiirazuku	1
144	brycepants	1
144	EveryonesUncle	1
144	_Bguette_	1
144	KSI	1
144	Nycteus_	1
144	Frozil12	1
144	Racengan	1
144	lolpoottoot	1
144	Hisiste	1
144	sadvavilloso	1
144	Y3ntai	1
144	Soplight	1
144	SammiWolfGirl	1
144	CalebDHawk	1
144	anbbang	1
