rank	username	minecraft:picked_up/minecraft:mangrove_roots
1	Touched_Bread	5743
2	corvidpartyfor6	2259
3	Jiminie	1242
4	Enderslayerxz3	953
5	Huwulling	921
6	beeperbeeper5	811
7	pintsizedrogue	473
8	Soplight	177
9	thewindmillman	114
10	Mahoose	57
11	ImpavidArcher	55
12	Smashic	49
13	DinoDoctor_	45
14	Marbz_	36
15	EMC_	29
16	Mr_Byzantine	28
16	Merv__	28
16	Da_Boss_Rani	28
19	Spacewardharpy7	18
20	MrKrabOnCoke	17
20	PlasticOtari	17
22	Alteriity	15
23	SteveCraftBlocks	12
23	Fuad_R	12
25	Rebytre	11
25	YungMaki	11
27	TheDankPlatypus	10
28	Segotep999	3
29	Jackattack53	2
30	ItsDeltaMC	1
