rank	username	minecraft:picked_up/minecraft:acacia_trapdoor
1	Spacewardharpy7	945
2	Di_infiri	766
3	Mahoose	760
4	EveryonesUncle	471
5	El_Jalapeno	469
6	Mr_Byzantine	401
7	Steelynan	395
8	12Magner05	320
9	beeperbeeper5	310
10	Yamdalorian	207
11	Winklepicker279	185
12	royal_2	175
12	ROY4LE	175
14	Enderxz3	172
15	fffMike	168
16	crashomon	163
17	smogfrog	139
18	skitzxo	128
19	PlasticOtari	120
20	Nicserso	118
21	Mattesco	116
22	Myntsys	108
23	Soplight	92
24	pintsizedrogue	87
25	joethahobo	78
25	MattieHD	78
27	Hoid_the_Roamer	76
28	TheSecondLord	75
29	Merv__	73
30	T045RTY	66
31	Alteriity	65
32	TheShyPig	59
33	Manaateee	54
34	Rich_Kat	51
35	kekhon	50
36	Werbe	48
37	Ezekson	45
38	Jackattack53	44
39	JESS_THE_RERE	43
40	luseis	41
41	RatatJuice	39
42	CLG_Kata	35
42	_Huge_Male_	35
44	Apollo_993	34
44	2Stout	34
46	Krowuss	33
46	PigDab	33
48	SaucyDark	29
48	Spenduh	29
48	Kubeusz2010	29
51	Moofyman	28
51	Slapface522	28
53	ImpavidArcher	26
54	CoffeeNoir	25
54	TheSeismicDuck	25
56	SpaceGrenadier	24
57	YungMaki	23
58	Resner	21
58	pretty_pink_reno	21
60	Wooptey	19
60	r123moore	19
62	shineh10	16
62	KarlKaek	16
62	Blackberry1310	16
62	Fullut	16
62	Lutres_	16
67	stellarjay	15
68	ConnorDanky_	14
69	DarlaMeow	13
69	ProfessorDiaper	13
71	TheWickedBird	12
72	abdomera	11
72	noam464	11
72	thatbeanyboi	11
75	eitanzaki	9
75	xxPipperDipperxx	9
75	Powowowow	9
75	Biites	9
79	Jakobo1337	8
79	SteveCraftBlocks	8
79	Kynigito	8
79	Shogunite	8
79	Druid95	8
79	Cache3	8
85	EMC_	7
85	m_be9	7
85	Blaiku	7
85	Pumpkin_P_Patch	7
89	gcaisawesome	6
89	mariominejedi	6
89	ChillenChiggen	6
89	duqboy	6
89	Meatlaugh	6
94	Crowvens	5
94	Kakolbus	5
94	legal_tax_evader	5
94	MousePlays	5
98	ColeSnyder	4
98	Cryptacity	4
98	ProfessorBee	4
98	mwrty	4
98	lorpus	4
98	bl1ss0	4
98	Maenara	4
98	Dakar_	4
98	MAns_44	4
98	FreakGenius	4
98	Toriankel	4
98	lordpipe	4
98	sp00ky_ghost977	4
98	TheALV	4
98	TechnoNinja64	4
98	Jimb0nat0r	4
114	Franco093	3
114	nocturne78	3
114	excelsionprime	3
114	MyNameIsJobo	3
114	Doom_melon	3
114	DietSoda1	3
114	ooga47	3
114	TJawesome09	3
114	Kowcio_	3
123	Groovy_MoonBird	2
123	Mowelan	2
123	Huwulling	2
123	ShedJr_	2
123	FlackoJonah	2
123	corvidpartyfor6	2
123	500am	2
123	eviltunix	2
123	Rocketlaunchers	2
123	Skylord_Luke	2
123	Penguinllama517	2
123	FreeMoCo2009	2
123	That_tech_head	2
123	drumine	2
123	QuesoCrusaderIII	2
123	Barlycorn	2
123	_Ruzeeq_	2
123	StarCookiees_	2
123	pixelviolin	2
123	PortlyPete69	2
123	xX_Stalin69_Xx	2
144	k_ce	1
144	Tommhh	1
144	Prismyst	1
144	Lez_	1
144	Gregward_Smith	1
144	Secret_Canary	1
144	groggregg42	1
144	mads388a	1
144	Aavermu	1
144	fragrantmonke444	1
144	Malware_Mara	1
144	SuperPooch06	1
144	hanaryheatwave	1
144	thewindmillman	1
144	Hyp3rion_	1
144	U_Mos_	1
144	oscminus	1
144	TheWildMateo	1
144	Onennon	1
144	Akoot_	1
144	HellsSponge	1
144	claivin	1
144	weabis	1
144	Blu3beast	1
144	fluddd	1
144	MS_Pryxx	1
144	ConnorTG5	1
144	IAmTheWalrus910	1
144	ElectricDragon81	1
144	BlankityMcBlank	1
144	starbits140	1
144	UltraZombie	1
144	Mikael_Kuningas	1
144	cichy096	1
144	jnp_gaming	1
144	JayToe	1
144	OutcryOfEnkidu	1
