rank	username	minecraft:picked_up/minecraft:brick_slab
1	Steelynan	2857
2	Mr_Byzantine	2036
3	Di_infiri	2010
4	Merv__	1138
5	xolstoi	853
6	Kowcio_	701
7	KarlKaek	557
8	Dakar_	423
9	k_ce	390
10	kekhon	353
11	_stets	348
12	PlasticOtari	340
13	thewindmillman	319
14	Mahoose	316
15	NameGenerat0r	294
16	wickedword	271
17	Manaateee	248
18	TheShyPig	245
19	ReyTheLegend	233
20	PigDab	227
21	_3Stump_	223
22	ImpavidArcher	221
23	Soplight	215
24	burbankbuilder28	198
25	YungMaki	195
26	SaucyDark	191
27	Eraxa	190
28	AgressiveEggdog	180
29	Fullut	175
30	PhantomsGhost_	156
30	Kakolbus	156
32	epiksk8erduck	138
33	_Bguette_	122
33	Enderxz3	122
35	Nicserso	120
36	NotMeanttoChange	118
37	erkada	117
38	DarlaMeow	110
39	Frozil20	109
40	FreakGenius	106
41	Diavri	105
42	Doom_melon	99
43	NNikitas	95
44	Saucepeh	82
44	__tomato	82
46	John6970	81
47	El_Jalapeno	78
48	TechnoNinja64	72
49	ShedJr_	69
50	beeperbeeper5	67
51	Hpdinosaur	65
52	Chrisdeadeye	64
53	Deathkob	60
53	Spacewardharpy7	60
55	FGamerJ	48
56	RebelAndroid	46
56	intropass	46
56	luseis	46
56	xzvu	46
56	AdmiralSmoke	46
61	Jackattack53	44
62	Lez_	42
63	EveryonesUncle	39
64	Akoot_	37
65	500am	35
65	Shin69	35
67	Onennon	34
68	SkateboardR6	32
69	Jiminbub	28
70	MineMaster0012	26
71	peach0s	24
72	rarrq	21
73	groofles	20
74	2Stout	18
75	NomadicRobin_	17
76	Historical_Sand	16
76	wobn	16
76	SexcMf	16
76	Quotary	16
80	tuckerdoodle	14
81	himak1	12
81	ConnorDanky_	12
83	Nekomin0	11
84	420BreadLizard	10
84	HellsSponge	10
86	joethahobo	9
87	_Huge_Male_	8
87	cheerytomato	8
87	TheThomas69	8
87	Eczbek	8
91	Huwulling	7
91	TheSecondLord	7
91	Inchef	7
91	Felenov	7
95	eitanzaki	6
95	SteveCraftBlocks	6
95	Eraza	6
95	Wowful	6
95	fkGrim	6
95	Njensen7	6
95	Ezekson	6
102	Barlycorn	5
103	pintsizedrogue	4
103	PazinGaming	4
103	Jindong	4
103	Incinere	4
103	titanlax	4
103	Blackberry1310	4
103	IamCL4SSY	4
103	DemTechAlpha	4
103	Steve897	4
103	UCP_TheKingK	4
103	Jordan_R	4
114	Groovy_MoonBird	3
114	melono_o	3
114	SpaceGrenadier	3
114	RobotMinion101	3
114	ogoa	3
114	SingedBread	3
120	Ryan_GEMS	2
120	Pineapplesugr	2
120	noam464	2
120	Antek_Kicek	2
120	tobinwilliams	2
120	Werbe	2
120	ougstur	2
120	Inbefour	2
120	Crumbls	2
120	Hermanni__	2
130	Raltemoxitonica	1
130	Dblikstad	1
130	roxycherry	1
130	MinttyFressh	1
130	BilboBaggins23	1
130	xxPipperDipperxx	1
130	Karetoko	1
130	Arceus1975	1
130	Hyp3rion_	1
130	_Boipl_	1
130	Mattesco	1
130	thgrocks	1
130	Tyrannosplart	1
130	Fuad_R	1
130	cytotoxaint	1
130	lordpipe	1
130	_Mythic____	1
130	SpacesickPrism	1
130	Deguns123	1
130	Dreamdbr14	1
130	EcksD	1
