rank	username	minecraft:picked_up/minecraft:spectral_arrow
1	thewindmillman	15632
2	Blaiku	12172
3	noam464	9174
4	eitanzaki	3995
5	Hyp3rion_	2287
6	PigDab	1267
7	YungMaki	1065
8	El_Jalapeno	1044
9	Di_infiri	995
10	gcaisawesome	951
11	joethahobo	916
12	lillips	881
13	Smoke____	665
14	Chromary	644
15	Jackattack53	639
16	fanofbands101	523
17	Mahoose	509
18	KG1999	503
19	Spacewardharpy7	451
20	Segotep999	449
21	microcrisp	393
22	EcksD	359
23	Dedalus36	337
24	Spenduh	307
25	Winklepicker279	286
26	IronArshXS	284
27	CliffEmAll	280
28	AlexxO_o	272
29	rezi	245
30	12Magner05	232
31	RebelAndroid	231
32	kekhon	205
33	groofles	199
34	Lil_Breadboy	192
34	TheTommyGun63	192
36	Da_Boss_Rani	191
37	beeperbeeper5	163
38	LeGold	151
39	trixterrx	150
40	pintsizedrogue	142
41	TheSecondLord	140
42	Eraxa	133
43	AuroraValkyrie	128
44	Prodiginus	124
44	Airem_Core	124
46	Deathkob	120
47	Wooptey	119
48	Ezekson	109
49	Rebytre	106
49	EcksDofficial	106
51	Kakolbus	96
52	00000000-0000-0000-0009-01ff0c3e5e4f	93
53	set67	89
53	Akoot_	89
55	itburb	88
56	ROY4LE	76
57	Awyrlas	71
57	Frozil12	71
59	EMC_	60
60	Inchef	59
60	CharlieButt	59
62	__TheNorseMan__	57
63	Werbe	54
63	fffMike	54
65	unren	53
66	Blackberry1310	45
67	Freak_Genius	41
68	Legendosh	40
69	Xalithia	38
70	_Boipl_	33
71	Master_Kol	32
71	egglapras	32
73	Luigipunch989	31
74	Paint	27
74	lotarp	27
74	Fullut	27
77	AuroraSkies	26
78	SlayerCrypto	24
79	JitteryJared2	23
79	censorsheep	23
81	_Magdo_	22
82	HellsSponge	21
83	Enderslayerxz3	20
84	diamondgolem35	19
85	LexMakesHistory	18
86	Travasaur	17
86	Mattesco	17
86	pixelviolin	17
86	WYFYoyo	17
90	500am	16
91	Ardennes	15
91	Racengan	15
93	ApophisNova	14
93	Kubeusz2010	14
93	MyNamaSheff	14
96	_Razar	13
96	Miko_Fullbuster	13
96	PlasticOtari	13
99	jacxhadow	12
99	Lumien_	12
99	NameGenerat0r	12
102	bloodbiter	11
103	Steven1282598	10
103	HesDemonPants	10
105	Historical_Sand	9
106	SteveCraftBlocks	8
106	r123moore	8
106	TheDankPlatypus	8
106	SolicitedPuma101	8
106	Hisiste	8
106	athereall	8
106	diggydog67	8
113	xxPipperDipperxx	6
113	laron58	6
115	RoskobiOne	5
115	Doom_melon	5
115	lordpipe	5
118	mimbo1211	4
118	SuperPooch06	4
118	stahouo	4
118	OfficerAnvil	4
122	JEWISHBadenBeele	3
122	rarrq	3
122	Marbz_	3
122	Jiminie	3
126	Bandito_Roamer	2
126	teslawolf38	2
126	error10101	2
126	ImpavidArcher	2
126	tramizu	2
126	_Dean_123	2
126	monky_irl	2
126	WyngGoy	2
126	ZoharGoldMine	2
126	Meeerkat	2
126	Soplight	2
126	obzii	2
126	Nicserso	2
139	Merv__	1
139	Sleek_Storm_721	1
139	Alteriity	1
139	Smashic	1
139	mwrty	1
139	thescout7	1
139	Zythose	1
139	CaptainDeadBread	1
139	Joestra	1
139	NomadicRobin_	1
139	QueenShuvi	1
139	fluddd	1
139	UCP_TheKingK	1
139	Steelynan	1
139	kinas45y5	1
139	YoshikageBites	1
139	SilentKarma	1
