rank	username	minecraft:picked_up/minecraft:red_nether_brick_wall
1	thewindmillman	708
2	Legendosh	596
3	pintsizedrogue	143
4	Snowflowe	95
5	m_be9	92
6	k_ce	78
7	FreakGenius	67
8	himak1	64
9	Lord_Jord	63
10	kekhon	44
11	ooga47	33
12	YungMaki	32
13	master9067	17
14	noam464	16
15	beeperbeeper5	11
16	eitanzaki	8
17	PigDab	7
18	Spacewardharpy7	5
19	Smashic	4
19	Kowcio_	4
21	thescout7	3
21	TheShyPig	3
21	Manaateee	3
24	Mr_Byzantine	2
24	_Mythic____	2
26	Archsam	1
26	TheSecondLord	1
26	Inchef	1
26	NomadicRobin_	1
26	blackeemperor	1
26	cog	1
