rank	username	minecraft:picked_up/minecraft:stripped_warped_stem
1	Xalithia	704
2	pintsizedrogue	541
3	kekhon	461
4	12Magner05	319
5	TheEnderman548	198
6	Ezekson	192
7	Blackberry1310	162
8	set67	161
9	Legendosh	135
10	lillips	128
10	EcksD	128
12	Enderslayerxz3	123
13	EveryonesUncle	107
14	Segotep999	104
15	Akoot_	89
16	HolyVenom	53
17	Rebytre	47
18	Lutres_Torane	41
18	Smoke____	41
20	PlasticOtari	39
21	Steelynan	37
22	Hermanni__	36
23	rarrq	31
23	TheSecondLord	31
25	Mahoose	28
25	joethahobo	28
27	noam464	25
28	lordpipe	22
29	CalebDHawk	13
30	SuperPooch06	10
31	Kokeech	9
32	Fullut	8
32	Zythose	8
34	eitanzaki	7
34	HellsSponge	7
36	Merv__	6
36	Marbz_	6
36	Blaiku	6
36	YungMaki	6
40	Jiminie	5
40	Optiprimus	5
42	BlancoFlaco	4
42	beeperbeeper5	4
42	Snowflowe	4
42	Deathkob	4
46	Historical_Sand	3
46	Decaying_Lotus	3
46	cum_chalice	3
49	_NieToksikpl_	2
49	T045RTY	2
49	MyNameIsDakar	2
52	Cowison	1
52	teslawolf38	1
52	diamondgolem35	1
52	livingdaydreams	1
52	_Dean_123	1
52	egglapras	1
52	r123moore	1
52	Freak_Genius	1
52	MightyWertu	1
52	Dusk_95	1
52	Kowcio_	1
52	Kubeusz2010	1
52	oxfordschool	1
