rank	username	minecraft:picked_up/minecraft:mud_bricks
1	thewindmillman	2316
2	Mr_Byzantine	1123
3	MineMaster0012	865
4	Dakar_	197
5	Manaateee	175
6	jessewegottacook	167
7	pixelviolin	158
8	SpacesickPrism	147
9	PlasticOtari	142
10	Merv__	66
11	Kowcio_	64
12	Lez_	62
13	Steelynan	45
14	12Magner05	27
15	Soplight	23
16	Mahoose	22
17	pintsizedrogue	10
18	EngagedGrub41	9
19	GooseWithin	7
20	luseis	3
21	ECstardust	2
21	catandmoose	2
21	Mattesco	2
21	Fuad_R	2
25	EMC_	1
25	Papudron	1
25	Touched_Bread	1
25	shadowthemonkey	1
25	CarryLine	1
