rank	username	minecraft:picked_up/minecraft:prismarine_stairs
1	TheShyPig	364
2	Legendosh	327
3	Fullut	181
4	xolstoi	151
5	CliffEmAll	121
5	AdmiralSmoke	121
7	hm947	104
7	h2p_emrld	104
9	ImpavidArcher	98
10	TheSecondLord	94
11	Powowowow	92
12	Lord_Jord	85
13	Notta	79
13	Enderxz3	79
15	Ezekson	76
16	m_be9	68
17	Soplight	62
18	Merv__	61
18	FreakGenius	61
20	joethahobo	60
21	Hiryu27	58
22	Bumpy419	42
22	Maenara	42
24	eitanzaki	40
25	Vellu21	37
26	ratglock	28
26	PortlyPete69	28
28	Blu3beast	26
29	Mahoose	25
30	rarrq	24
30	PlasticOtari	24
32	Hyp3rion_	18
33	Frozil20	15
34	EMC_	13
34	Di_infiri	13
34	xDraggin	13
34	YungMaki	13
38	xxPipperDipperxx	12
38	lizardfightclub	12
38	Eraxa	12
41	Incinere	10
42	gcaisawesome	9
43	Mr_Byzantine	8
44	HellsSponge	7
45	drunkeeez	6
45	Groundler	6
45	Spacewardharpy7	6
45	2blox_	6
49	EngagedGrub41	5
50	LittleBug562	4
50	poopybh	4
50	Arceus1975	4
50	Snowflowe	4
50	Eczbox	4
50	Mattesco	4
50	Eczbek	4
57	The_slideV3	3
57	TechnoNinja64	3
59	pintsizedrogue	2
59	Vorlice	2
59	Steelynan	2
62	beeperbeeper5	1
62	kekhon	1
62	noam464	1
62	ooga47	1
62	The_Cruncy	1
62	GooseWithin	1
62	Inbefour	1
