rank	username	minecraft:picked_up/minecraft:name_tag
1	pintsizedrogue	2037
2	El_Jalapeno	227
3	kekhon	197
4	Blu3beast	187
5	Blackberry1310	179
6	Hyp3rion_	170
7	WyngGoy	163
8	noam464	148
9	Fullut	138
10	Xalithia	133
11	Mahoose	128
12	Smoke____	123
13	Di_infiri	95
14	Racengan	92
15	Akoot_	89
15	jnp_gaming	89
17	BreadBacon	83
18	Lord_Jord	82
19	LordSpeed37	78
20	Myszoaz	75
20	HellsSponge	75
22	XboxPanda	69
23	eitanzaki	68
23	TheShyPig	68
25	PhantomsGhost_	65
25	MattieHD	65
27	loveseeker	64
27	EtherealEspresso	64
29	Marbz_	63
30	ROY4LE	62
31	thescout7	60
32	ayamefag	56
33	Groundler	50
34	SuperPooch06	43
35	xxPipperDipperxx	42
35	fffMike	42
37	KingFaenor	41
37	Ezekson	41
39	Maenara	40
40	thewindmillman	39
40	Onennon	39
42	ItzWqlfy	38
42	YungMaki	38
44	beeperbeeper5	36
44	Eraxa	36
46	joethahobo	32
46	RodSerlingCringe	32
46	Lutres_Torane	32
46	_TCARREIRA_	32
50	Hiryu27	31
50	_naturell	31
50	SammiWolfGirl	31
50	TechnoNinja64	31
54	T045RTY	30
54	fred870d	30
54	censorsheep	30
54	JayToe	30
58	Voxin2K	28
58	Spacewardharpy7	28
60	EMC_	25
61	chipklip	24
61	sp00ky_ghost977	24
63	claivin	22
63	oxfordschool	22
65	livingdaydreams	20
65	Freak_Genius	20
65	Blaiku	20
68	_Virify_	19
68	ImpavidArcher	19
68	set67	19
68	gcaisawesome	19
68	MyNameIsJobo	19
68	Werbe	19
74	rarrq	18
74	EcksD	18
74	Legendosh	18
77	Kkanot	17
77	MyNameIsDakar	17
77	Enderslayerxz3	17
80	NotMeanttoChange	16
80	Arceus1975	16
80	DASH_X7	16
80	stahouo	16
80	obzii	16
80	sebastiensaborio	16
80	PlasticOtari	16
87	diamondgolem35	15
87	SaucyDark	15
87	Donutt	15
87	GlitchyPlate810	15
87	EcksDofficial	15
92	Drlzyy	14
92	_8man	14
92	masskedman	14
92	Inbefour	14
92	lcvezra	14
97	FirsTimeGamingTV	13
97	TheSecondLord	13
97	Rumpletaezer	13
97	EveryonesUncle	13
97	DarlaMeow	13
97	Quaintster	13
97	ediballbearings	13
97	Powowowow	13
105	Jovaphobic	12
105	Froste131	12
105	Euclidoris	12
105	CliffEmAll	12
105	yaboo88	12
110	ssleepless	11
110	Ardennes	11
110	Roikdean	11
110	Yogscast_Manden	11
114	6king6colt6	10
114	slkiey	10
114	mwrty	10
114	Jackattack53	10
114	LilyNova	10
114	ApophisNova	10
114	PigDab	10
114	33sudo	10
114	starbits140	10
114	SSytex_X	10
114	Winston_Ingram	10
114	MyNamaSheff	10
126	xXTheWolfmanXx	9
126	M_Patata	9
126	Barlycorn	9
126	MasterNueve	9
126	Spenduh	9
131	Bandito_Roamer	8
131	jacxhadow	8
131	m_be9	8
131	Chromary	8
131	Parcc	8
131	Kouridragon	8
131	lizardfightclub	8
131	YungWali	8
131	Njensen7	8
140	I_Am_Mushkin	7
140	12Magner05	7
140	wiqor	7
140	Dali1465	7
140	fr_ser	7
140	Bumpy419	7
140	Leyna3	7
140	wezzzi	7
140	TheSeismicDuck	7
140	DemTechAlpha	7
140	Xclax101	7
140	Soplight	7
152	pZygh0st	6
152	Frxnkz	6
152	bloodbiter	6
152	RefluxRatio	6
152	sufjanlover	6
152	MightyWertu	6
152	MovingFish7	6
152	AvaRosey	6
152	LetsDoItLive	6
152	Kowcio_	6
152	KingMatthew506	6
152	anbbang	6
164	Tobinator_007	5
164	fanofbands101	5
164	hollowww	5
164	Merv__	5
164	KarlKaek	5
164	Firecracker320	5
164	H72l9w	5
164	titanlax	5
164	Megarboh	5
164	TheDiamondCG	5
164	intropass	5
164	eiC_	5
164	Zaridey	5
164	BlueZabu	5
164	gabriels543	5
164	selectrix	5
164	ooga47	5
164	fxiryglitch	5
164	sxc_	5
164	NomadicRobin_	5
164	QueenShuvi	5
164	Nagasaki_Riku	5
164	IdeallyGrey	5
164	ZeroKraken	5
164	Skippeh	5
164	Quotary	5
164	RoboTramp7865	5
191	Paleshield	4
191	_Razar	4
191	Natty	4
191	CoffeeNoir	4
191	ProfessorBee	4
191	redikul	4
191	Cambo5000	4
191	GLLogan2	4
191	Gingayy	4
191	emrekn	4
191	surfinggiraffejp	4
191	UncleDanDan	4
191	TheDankPlatypus	4
191	King_Pancake1	4
191	jewbacaman	4
191	victorLIE	4
191	Kim_Jong_eel	4
191	Rasmanden	4
191	Lord_Zacler	4
191	Deodorante	4
191	NYJ	4
191	Sh4bby	4
191	Warlord324	4
191	lordpipe	4
191	SvenskaHugo	4
191	xorompole	4
191	smogfrog	4
191	WYFYoyo	4
219	Groovy_MoonBird	3
219	dudcreeper	3
219	abramgray	3
219	Cowison	3
219	AuroraValkyrie	3
219	Sleek_Storm_721	3
219	bigstankyy	3
219	Ssor69	3
219	heckface	3
219	shyshyannne	3
219	Kamflame10	3
219	eviltunix	3
219	John6970	3
219	Ecplosive	3
219	MangoTheFish	3
219	WarMachina	3
219	TJawesome09	3
219	AlphaWolfPlaysMC	3
219	Russiancat1	3
219	NameGenerat0r	3
219	BigCronkin	3
219	Frozil12	3
219	fluddd	3
219	BumbleBeever	3
219	Fildyr	3
219	Airem_Core	3
219	Dusk_95	3
219	Soul_Atreus	3
219	Luigipunch989	3
219	PortlyPete69	3
219	Dogcorn69420	3
219	CalebDHawk	3
219	Eczbek	3
219	laron58	3
219	TheOuterCore	3
219	Faart	3
219	diggydog67	3
256	Alexanderjac	2
256	rats_life	2
256	Matemaks2137	2
256	Menthas	2
256	The_Dark_One_00	2
256	Ailmast	2
256	q_wq	2
