rank	username	minecraft:picked_up/minecraft:stone
1	joethahobo	4035297
2	Ezekson	1855686
3	gcaisawesome	1470455
4	HellsSponge	997175
5	Zythose	989943
6	PigDab	788608
7	Hyp3rion_	748501
8	Blaiku	741251
9	AdmiralSmoke	616172
10	Werbe	581435
11	EMC_	580729
12	lordpipe	572845
13	Spacewardharpy7	572071
14	Di_infiri	569260
15	Deathkob	479758
16	pintsizedrogue	445048
17	thewindmillman	420362
18	YungMaki	408554
19	TheShyPig	395885
20	RebelAndroid	394056
21	EveryonesUncle	354662
22	noam464	351281
23	Skippeh	343555
24	Mewar	336132
25	Cowison	296325
26	NatalieTW	268883
27	Frozil20	256749
28	Kakolbus	251789
29	EcksD	240536
30	TheSecondLord	220576
31	ImpavidArcher	205831
32	Jackattack53	198601
33	Hisiste	196491
34	Jonafrog99	193454
35	Iamthejo	192948
36	Mahoose	191368
37	m_be9	181411
38	eitanzaki	174168
39	Snowflowe	172969
40	PhantomsGhost_	163666
41	beeperbeeper5	161931
42	Blackberry1310	140624
43	Marbz_	137321
44	FreakGenius	137188
45	SpacesickPrism	128954
46	TechnoNinja64	127958
47	500am	126869
48	Enderxz3	125175
49	luseis	125038
50	12Magner05	119588
51	PlasticOtari	116985
52	obzii	109786
53	Manaateee	108302
54	BumbleBeever	106494
55	pixelviolin	102227
56	diamondgolem35	101514
57	MyNameIsJobo	98622
58	Lutres_	98213
59	non089	96673
60	Historical_Sand	94448
61	Skylord_Luke	93850
62	Jimb0nat0r	90427
63	mihimihimihi	86651
64	Kowcio_	86175
65	oscminus	86005
66	Hermanni__	82104
67	Quotary	80266
68	BobDeBouwer1337	79347
69	Steelynan	78915
70	PazinGaming	77847
71	EngagedGrub41	77636
72	NoChumpChange	76613
73	Segotep999	75125
74	kekhon	73221
75	Krowuss	72526
76	Lez_	71765
77	Lord_Jord	70331
78	Arceus1975	69691
79	Shogunite	67162
80	Maenara	64618
81	M_Patata	62317
82	Mattesco	62022
83	Inchef	59726
