rank	username	minecraft:picked_up/minecraft:magenta_dye
1	thewindmillman	303573
2	Hyp3rion_	29417
3	noam464	25926
4	hanaryheatwave	21048
5	beeperbeeper5	5570
6	PlasticOtari	3840
7	SteveCraftBlocks	2501
8	Alteriity	1663
9	Yamdalorian	1564
10	Spacewardharpy7	1066
11	Werbe	878
12	HellsSponge	416
13	imaginek1d	265
14	Onennon	258
15	pintsizedrogue	243
16	doublemaki	221
17	Bandito_Roamer	201
17	Ecplosive	201
19	Hoid_the_Roamer	191
20	ShedJr_	183
21	Jackattack53	181
22	EMC_	168
23	Spaghettatron	161
24	Manaateee	118
25	royal_2	105
25	ROY4LE	105
27	Kowcio_	102
28	Mr_Byzantine	95
28	_i_ERROR_i_	95
30	robonya_	72
30	Ezekson	72
32	Lez_	69
33	jnp_gaming	68
34	lordpipe	66
35	TrNrGhost	64
35	ImpavidArcher	64
35	skroobiez	64
35	emrekn	64
35	CornOnTheCobalt	64
35	xzvu	64
41	Jimb0nat0r	63
41	es0th	63
43	fffMike	58
44	seramalen	43
45	Huwulling	38
46	EdGalbraith	36
46	thatsjustfrankie	36
46	CacheOut	36
49	Swexti	33
50	TheSecondLord	32
51	stellarjay	27
52	eitanzaki	20
53	kekhon	17
54	mwrty	16
55	Quotary	15
56	Cruncy_	14
57	TechnoNinja64	13
58	XboxPanda	12
58	MinerDec	12
60	ougstur	11
60	Jiminbub	11
62	PaperCanvas	9
63	squigglybones	7
63	Akoot_	7
63	OfficerAnvil	7
66	MinuteMira	6
67	Covalents	5
68	BPTY4618	4
68	Winklepicker279	4
68	Sorins	4
71	Blackberry1310	3
71	Saucepeh	3
71	Marbz_	3
71	Enderxz3	3
71	Kateesaur	3
71	00000000-0000-0000-0009-01ff0c3e5e4f	3
77	Jovaphobic	2
77	cheerytomato	2
77	Kubelz	2
77	AJplaysMC_	2
77	Arceus1975	2
77	U_Mos_	2
77	XxCookiequeenxX	2
77	NameGenerat0r	2
77	El_Jalapeno	2
77	marumochis	2
77	Fildyr	2
77	monky_irl	2
77	Moss_2006	2
77	djancak	2
77	miramyu	2
77	KingMatthew506	2
93	Apollo_993	1
93	ECstardust	1
93	SaucyDark	1
93	Hpdinosaur	1
93	Ryker	1
93	livingdaydreams	1
93	joethahobo	1
93	TheFlfthHorseman	1
93	NotMeanttoChange	1
93	SHAOBADMAN	1
93	yheece	1
93	Chromary	1
93	RobotMinion101	1
93	Matyyy15	1
93	ReSynced	1
93	luseis	1
93	RexzMC_	1
93	Quaintster	1
93	_flud	1
93	Blaiku	1
93	Buuck_	1
93	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	1
93	Kyrum2169	1
93	Pumpkin_P_Patch	1
93	SammiWolfGirl	1
93	PortlyPete69	1
93	Deguns123	1
93	DairyNickel756	1
