rank	username	minecraft:picked_up/minecraft:sticky_piston
1	Hyp3rion_	28760
2	noam464	23965
3	Jackattack53	18614
4	Di_infiri	5538
5	eitanzaki	4579
6	Krowuss	3858
7	Alteriity	3206
8	thescout7	2755
9	skitzxo	2614
10	thewindmillman	2372
11	EcksD	1711
12	oscminus	1707
13	Blaiku	1358
14	Yamdalorian	1304
15	Eczbek	982
16	Spacewardharpy7	932
17	HellsSponge	888
18	eiC_	707
19	FreakGenius	669
20	PigDab	612
21	WyngGoy	590
22	mihimihimihi	556
23	beeperbeeper5	509
24	Manaateee	490
25	EMC_	477
26	IamCL4SSY	460
27	Werbe	436
28	Eczbox	414
29	fffMike	389
30	FreddyFart	383
31	_Mythic____	366
32	Sral7	360
33	Historical_Sand	357
34	joethahobo	296
35	Racengan	287
36	Kakolbus	286
37	Hiryu27	271
38	PortlyPete69	256
39	Blu3beast	252
40	ProfessorBee	243
41	claivin	230
42	Ezekson	207
43	m_be9	200
44	diamondgolem35	191
44	Zythose	191
44	Lord_Jord	191
47	SvenskaHugo	184
48	ECstardust	181
49	Fullut	179
50	eviltunix	176
51	T045RTY	171
52	HesDemonPants	165
53	Arceus1975	159
54	Xclax101	156
55	El_Jalapeno	154
56	StarCookiees_	152
57	Maenara	148
57	Wowful	148
57	Soplight	148
60	SkateboardR6	145
61	Solar_Power	144
61	Legendosh	144
63	YungMaki	142
63	non089	142
65	Onennon	135
66	Warlord324	133
66	TheKingK_	133
68	MightyWertu	132
69	RebytreGT	131
70	groofles	129
71	12Magner05	127
72	Inchef	124
73	r123moore	121
73	Enderxz3	121
75	Pumpkin_P_Patch	120
76	Blackberry1310	119
77	emreknugrlu	118
78	PlasticOtari	116
79	gcaisawesome	112
79	TechnoNinja64	112
81	Ryan_GEMS	109
82	jnp_gaming	108
83	pintsizedrogue	105
84	AstreaTSS	104
85	Lez_	103
85	Bumpy419	103
87	ediballbearings	101
88	XboxPanda	97
88	That_tech_head	97
90	FiguraDei	96
91	ImpavidArcher	95
91	Kowcio_	95
93	Snowflowe	94
93	Fuad_R	94
95	PhantomsGhost_	92
96	Mahoose	87
96	annebolyn	87
98	SSytex_X	86
99	Groundler	85
100	TheShyPig	83
100	Hisiste	83
102	Z3braYTIL	80
102	pixelviolin	80
104	yatsuta	78
105	jcool7	77
106	MSK__	74
