rank	username	minecraft:picked_up/minecraft:armadillo_scute
1	k_ce	95
2	Enderxz3	17
3	beeperbeeper5	15
4	oscminus	14
4	Soplight	14
6	lumiscosity	6
7	Steelynan	5
8	CLG_Kata	4
8	Merv__	4
10	knuxify	3
10	KamFurnace	3
10	Spaghettatron	3
13	Lez_	2
13	00000000-0000-0000-0009-01fe065167f0	2
15	Yamdalorian	1
