rank	username	minecraft:picked_up/minecraft:brown_glazed_terracotta
1	El_Jalapeno	263
2	Merv__	197
3	TheShyPig	169
4	titanlax	161
5	LeauVox4921	139
6	Soplight	133
7	Inbefour	112
8	lordpipe	102
9	Steelynan	60
10	noam464	58
11	blackeemperor	52
12	YungMaki	50
13	kekhon	42
14	ImpavidArcher	40
14	djancak	40
16	Mr_Byzantine	39
17	thescout7	38
18	MunkaKris	37
19	Frozil20	27
20	Werbe	24
21	MyNameIsJobo	20
21	Hiryu27	20
23	BodaciousCake	19
23	Akoot_	19
25	Di_infiri	18
26	Inchef	17
26	StinkyDiplomat	17
28	Groovy_MoonBird	16
29	Hyp3rion_	12
30	RatatJuice	10
30	MakeHistory157	10
30	Eraxa	10
33	PaperCanvas	9
34	_Virify_	6
35	audiocracked	5
35	Benzito07	5
37	AspenLightVT	4
38	Sabby65	2
38	luseis	2
40	Bandito_Roamer	1
40	eitanzaki	1
40	rarrq	1
40	monky_irl	1
40	ItsDeltaMC	1
40	sp00ky_ghost977	1
40	MrShojo	1
40	KingMatthew506	1
40	ConnorDanky_	1
