rank	username	minecraft:picked_up/minecraft:furnace_minecart
1	McCakeAh	90
2	Soplight	30
3	Merv__	22
3	noam464	22
5	Jekyll	19
6	lpinfinity	16
7	pintsizedrogue	11
8	mihimihimihi	9
9	Yamdalorian	8
10	eitanzaki	7
11	bl1ss0	6
11	Krowuss	6
13	k_ce	4
14	SteveCraftBlocks	3
15	Lorcout	2
15	No_Bena	2
15	ECstardust	2
15	Mahoose	2
15	2Stout	2
15	Jackattack53	2
15	Pumpkin_P_Patch	2
15	Spaghettatron	2
23	shineh10	1
23	EMC_	1
23	Caribouse	1
23	ShedJr_	1
23	Hyp3rion_	1
23	blackeemperor	1
23	_Mythic____	1
23	SvenskaHugo	1
23	EcksD	1
23	Enderxz3	1
23	Legendosh	1
