rank	username	minecraft:picked_up/minecraft:ender_pearl
1	HellsSponge	26584
2	Hyp3rion_	25765
3	eiC_	21894
4	TheSeismicDuck	18959
5	Eczbek	18768
6	Bumpy419	18162
7	vandmanden	16946
8	TheShyPig	16509
9	masskedman	16391
10	YungMaki	15754
11	MangoTheFish	15576
12	Ezekson	15055
13	claivin	14282
14	Blackberry1310	13911
15	Skippeh	13434
16	Fullut	13235
17	Mewar	13000
18	lordpipe	12431
19	xzvu	12362
20	Mahoose	12072
21	gcaisawesome	11950
22	MightyWertu	11491
23	EcksD	11255
24	Di_infiri	10866
25	Legendosh	10834
26	thewindmillman	10774
27	PigDab	10724
28	Smoke____	10197
29	kekhon	9605
30	Zythose	9534
31	El_Jalapeno	9274
32	ApophisNova	9222
32	MyNamaSheff	9222
34	pintsizedrogue	9091
35	fluddd	9039
36	noam464	8987
37	Smashic	8924
38	Enderxz3	8878
39	SvenskaHugo	8822
40	mwrty	8783
41	TheSecondLord	8651
42	luseis	7972
43	beeperbeeper5	7748
44	Touched_Bread	7647
45	Spacewardharpy7	7561
46	Esme_1	7335
47	MattieHD	7284
48	m_be9	7279
49	Snowflowe	7145
50	Frozil20	7102
51	Mr_Byzantine	7099
52	Noah_Bez	6917
53	WyngGoy	6731
54	ProfessorBee	6707
55	Blu3beast	6663
56	Deathkob	6638
57	Akoot_	6589
58	Lepthymo	6578
59	TooManyDuck	6575
60	EveryonesUncle	6432
61	12Magner05	6351
61	legal_tax_evader	6351
63	Steelynan	6241
64	eitanzaki	6080
65	BreadBacon	5895
66	audiocracked	5795
67	Maenara	5784
68	Zoeyfortnite	5656
69	rarrq	5616
70	Werbe	5522
71	Onennon	5491
72	set67	5483
73	FreakGenius	5363
74	Fuhrer_Teemo	5355
75	6king6colt6	5349
76	FelixPSY375	5327
77	SaucyDark	5305
78	Eraxa	5212
79	jcool7	5109
80	500am	5020
81	Racengan	4964
82	RealGroot	4929
83	Blaiku	4854
84	joethahobo	4767
85	NYJ	4763
86	Groovy_MoonBird	4738
87	ThiccExotic	4633
88	Iamthejo	4537
89	wezzzi	4396
90	Kubeusz2010	4389
91	thescout7	4376
92	fade_emerge78823	4356
93	Cowison	4335
94	Tyrannosplart	4285
95	Rasmanden	4111
96	AuroraValkyrie	4065
97	Euclidoris	3984
98	Jackattack53	3940
99	PortlyPete69	3938
100	__tomato	3910
101	Lord_Jord	3878
102	EMC_	3823
103	Hiryu27	3790
104	AlphaWolfPlaysMC	3763
105	33sudo	3717
106	Hisiste	3603
107	TechnoNinja64	3587
108	_Nuf	3367
108	TheTrueClipse	3367
110	Merv__	3288
111	ougstur	3283
112	Njensen7	3278
113	_Yonk_	3095
114	PhantomsGhost_	3087
115	SellyZ	3060
116	Burge_r	3058
117	1442	3057
118	fw3xywashere	3023
119	IamCL4SSY	3003
120	RobotMinion101	2949
121	F_Uhre	2914
122	MakeHistory157	2892
123	Karbl	2873
124	NomadicRobin_	2852
125	Hyugo	2839
126	GoofyBread	2789
126	Soplight	2789
128	Comma__	2783
129	_TCARREIRA_	2742
130	AuroraSkies	2722
131	Awyrlas	2692
132	NinjaKnifeKill	2677
133	NameGenerat0r	2675
134	Winklepicker279	2667
135	Chromary	2660
136	Deodorante	2644
137	Dusk_95	2618
138	mihimihimihi	2599
139	SuperPooch06	2598
140	HesDemonPants	2564
141	Kyrum2169	2533
142	SmashingPump	2524
143	The_slideV3	2520
144	Covalents	2503
145	Warlord324	2481
146	Inchef	2451
147	XboxPanda	2442
148	h2p_emrld	2436
149	obzii	2435
150	ROY4LE	2426
151	Hoid_the_Roamer	2424
152	PlasticOtari	2409
153	I_Am_Mushkin	2371
154	Zetsey	2365
155	layabout100	2298
156	xDraggin	2285
157	peach0s	2272
158	SkateboardR6	2258
159	SeverianTheLame	2256
160	Arceus1975	2234
161	diamondgolem35	2222
162	MustaLoordi	2204
163	Luigipunch989	2182
164	weabis	2170
165	jnp_gaming	2169
166	_Karmaa	2091
167	tsitrawhy	2078
168	xxPipperDipperxx	2071
169	RoofTyler	2054
169	ItzWqlfy	2054
171	LeEricc	2044
172	Historical_Sand	2040
173	The_Quack_Dealer	2036
174	WET_WET_WET	2033
175	NotKaden_	2028
176	diggydog67	2024
177	Huwulling	1986
178	T045RTY	1985
179	mariominejedi	1977
180	ayamefag	1972
181	Cocoamallows	1931
182	ImpavidArcher	1906
183	WarHammer3	1901
183	Jimb0nat0r	1901
185	fanofbands101	1890
186	TheOnlyRake	1887
187	DemTechAlpha	1877
188	Lutres_Torane	1853
189	Wowful	1811
190	MyNameIsJobo	1805
191	RebelAndroid	1788
192	Juh1s	1742
193	DarkS0L	1740
194	ConnorDanky_	1711
195	NotP0tato	1692
196	SamZombie	1685
197	SvenskaAlvar	1684
198	alderban107	1676
199	Sral7	1663
200	_8man	1643
201	Strangemonkey71	1631
202	Natty	1598
203	Iagoku	1595
204	fr0stss	1591
204	SammiWolfGirl	1591
206	Hpdinosaur	1588
207	Jovaphobic	1585
208	q_wq	1575
209	Incinere	1567
210	Fizznut909	1551
211	gusstationwerker	1546
212	xolstoi	1536
213	fffMike	1532
214	Soap_Bender	1523
215	Groundler	1518
216	ssleepless	1503
217	SpouHn	1469
217	Nicserso	1469
219	H72l9w	1464
220	TheOuterCore	1462
221	H0UNDFRMH3LL	1460
222	epiksk8erduck	1459
223	NotTrixi	1457
224	Megarboh	1433
225	Barlycorn	1405
226	Powowowow	1401
227	Kowcio_	1399
228	Prodiginus	1396
229	TheDankPlatypus	1394
230	NatalieTW	1390
231	ZA07	1355
232	M_Patata	1353
233	Fuad_R	1317
233	MilleGrug	1317
235	Drewen24	1310
236	_Virify_	1298
237	MasterNueve	1297
238	laron58	1293
239	Harotio	1285
239	07shiny	1285
241	Quincannon	1274
242	bloodbiter	1272
243	Quaintster	1262
244	KingFaenor	1261
245	Jimi7hits	1256
246	Dogcorn69420	1240
247	yulgur1	1235
248	Myszoaz	1231
249	Ender_Souls	1226
250	Nycteus_	1225
251	501g	1199
252	Typadopoulos	1191
253	UncreativeArtist	1189
254	BiggieDawg	1187
255	k_ce	1186
256	trexgb	1173
257	Syropatathe	1168
258	binman420	1136
259	Batman922	1133
260	bigstankyy	1130
261	gabriels543	1118
262	gaziter10	1117
263	potatocan	1099
264	pappaberg	1095
265	OG_Songsee	1094
266	jimintyy	1093
267	pixelviolin	1092
267	Hermanni__	1092
269	Queen_Jalapeno	1086
269	The11thDoctor	1086
269	NoChumpChange	1086
272	FishyBoy3811	1083
273	ThePoliteG	1081
274	Wooptey	1065
275	Kura2218	1053
276	WYFYoyo	1052
277	Quotary	1049
278	MirielThePastor	1036
279	_Dean_123	1034
279	hanaryheatwave	1034
281	PuFY	1003
282	Scathra	1002
282	anbbang	1002
284	UrbanPlanningEx	997
285	titanlax	983
286	Afinnity	981
287	_Bguette_	980
288	fkGrim	979
289	r123moore	975
290	ATurtle4936	942
291	Skomo	938
292	ColeSnyder	931
293	XxCookiequeenxX	928
294	lcvezra	926
295	youhjjhhhjj	921
296	livingdaydreams	916
297	G1ldor	909
298	John6970	899
299	C0oOK13M0N5T3R	894
300	Giannism	883
