rank	username	minecraft:picked_up/minecraft:furnace
1	thewindmillman	25121
2	lordpipe	1977
3	Werbe	1501
4	MOSS000	1355
5	HellsSponge	988
6	APS_Dan	944
7	NameGenerat0r	845
8	noam464	717
9	EcksDofficial	628
10	eitanzaki	601
11	TheShyPig	595
12	fffMike	582
13	Di_infiri	551
14	obzii	508
15	Snowflowe	456
16	kekhon	439
17	Nicserso	391
18	Legendosh	360
19	pintsizedrogue	356
20	mwrty	347
21	Smoke____	331
22	PlasticOtari	324
23	PigDab	321
24	PhantomsGhost_	312
25	El_Jalapeno	287
26	Fullut	279
26	Hyp3rion_	279
28	TechnoNinja64	262
29	Jovaphobic	242
30	Akoot_	237
31	Kakolbus	234
32	Lord_Jord	228
33	H72l9w	226
34	Airem_Core	221
35	Bumpy419	202
36	Frozil12	200
37	WyngGoy	198
38	Syropatathe	196
39	Blu3beast	195
40	thescout7	191
41	sp00ky_ghost977	190
42	rarrq	185
43	FreddyFart	181
44	Blaiku	178
45	Hiryu27	171
46	Deathkob	162
47	Freak_Genius	156
48	Enderslayerxz3	153
49	Spacewardharpy7	149
50	oreee	142
51	MyNameIsJobo	138
52	Blackberry1310	137
53	Eczbek	135
54	MangoTheFish	133
55	Soplight	132
56	Eraxa	131
57	Sky_light_KING	123
58	Ezekson	121
59	gabriels543	119
59	lcvezra	119
61	KarlKaek	118
62	Bloo2406	117
63	Mahoose	111
64	TheSecondLord	109
65	SSytex_X	107
66	cedric72	104
67	MilleGrug	103
68	Skippeh	102
69	ImpavidArcher	97
69	Njensen7	97
71	Wooptey	94
71	Historical_Sand	94
73	MakeHistory157	93
74	Zythose	91
74	_Karmaa	91
76	Hermanni__	90
77	SuperPooch06	88
77	wezzzi	88
79	NinjaKnifeKill	86
79	Jackattack53	86
79	GlitchyPlate810	86
82	lizardfightclub	84
83	RodSerlingCringe	82
84	JEWISHBadenBeele	80
85	eviltunix	79
85	jnp_gaming	79
87	Menthas	78
88	Comma__	74
88	EcksD	74
90	Euclidoris	73
90	ROY4LE	73
90	Quotary	73
93	Steelynan	72
94	King_Pancake1	70
94	Jimi7hits	70
94	Vorlice	70
94	Miko_Fullbuster	70
98	Stiar	69
98	XboxPanda	69
98	TheDankPlatypus	69
98	Arceus1975	69
98	ApophisNova	69
98	MyNamaSheff	69
104	Spenduh	67
105	layabout100	66
105	SvenskaHugo	66
107	Mr_Byzantine	65
107	CruncyIsTaken	65
107	Cocoamallows	65
110	LotusProject	64
111	Drlzyy	63
112	teslawolf38	62
113	John6970	61
114	m_be9	60
114	Xclax101	60
114	MightyWertu	60
117	radioactv_jelly	59
117	vandmanden	59
119	ProfessorBee	58
119	EveryonesUncle	58
121	DemTechAlpha	57
122	Merv__	56
122	2Stout	56
124	EMC_	55
124	12Magner05	55
124	Kubelz	55
124	censorsheep	55
128	Jackster03	54
128	ShedJr_	54
128	500am	54
128	yulgur1	54
128	claivin	54
128	Racengan	54
128	__tomato	54
135	Awyrlas	53
135	Segotep999	53
137	YungMaki	52
138	DirtyDalle	51
138	Jiminie	51
138	MeetTheWollo	51
141	Bandito_Roamer	50
141	groofles	50
141	MustaLoordi	50
141	Dreamdbr14	50
145	LexMakesHistory	49
145	Deerfoot	49
145	Sheldor097	49
148	RatatJuice	48
148	fkGrim	48
148	stahouo	48
148	Kferno	48
152	joethahobo	47
152	301851	47
152	dopplexd	47
152	Cryptacity	47
152	Rebytre	47
152	djancak	47
158	beeperbeeper5	46
158	himak1	46
158	SellyZ	46
158	Rumpletaezer	46
158	bndo	46
158	Shin69	46
164	BobDeBouwer1337	45
164	FallenCorps	45
166	hcb238	44
166	Onennon	44
166	Lutres_Torane	44
169	MattieHD	43
169	Luigipunch989	43
171	KartivGal	42
172	titanlax	41
172	TheDumbHuman	41
172	UltraZombie	41
175	Ze1ig	40
175	Lez_	40
175	FirsTimeGamingTV	40
175	CliffEmAll	40
175	set67	40
175	MAns_44	40
175	brofrickcheaters	40
175	bitsplease	40
183	prizm_	39
183	fluddd	39
183	Groundler	39
183	OG_Songsee	39
183	starbits140	39
188	TheBiggestFeller	38
188	6king6colt6	38
188	TooManyDuck	38
188	WET_WET_WET	38
188	Optiprimus	38
193	jacxhadow	37
193	_Dean_123	37
193	Nach0Bear	37
193	gcaisawesome	37
193	burbankbuilder28	37
193	SkateboardR6	37
193	2blox	37
200	Hpdinosaur	36
200	Incinere	36
200	RebelAndroid	36
200	redikul	36
200	Xalithia	36
200	Nycteus_	36
200	Nagasaki_Riku	36
200	CSG_Haru	36
200	Kowcio_	36
200	Kubeusz2010	36
200	JayToe	36
211	Swexti	35
211	Inchef	35
211	Jiminbub	35
211	The_slideV3	35
211	Warlord324	35
211	tsitrawhy	35
211	oxfordschool	35
218	diamondgolem35	34
218	AlphaWolfPlaysMC	34
220	FishyBoy3811	33
220	_k2x	33
222	soundad	32
222	Franco093	32
222	T045RTY	32
222	fr0stss	32
222	trixterrx	32
222	SokaOtaku	32
222	Truckoss	32
222	Inbefour	32
222	chipklip	32
222	yatsuta	32
222	_3Stump_	32
233	orxngejuice	31
233	Toriankel	31
233	jcool7	31
236	Myszoaz	30
236	RobotMinion101	30
236	ooga47	30
236	fred870d	30
236	ClemenPine	30
236	Gryglu583	30
236	Hisiste	30
236	DkansK	30
244	q_wq	29
244	NormanFetus	29
244	Fuhrer_Teemo	29
244	Steven1282598	29
244	Decaying_Lotus	29
244	voiding_	29
244	Sral7	29
251	Yatitay	28
251	Tolhart	28
251	Flores991	28
251	awesomeoneme	28
251	Winklepicker279	28
251	NoChumpChange	28
251	Fuad_R	28
251	IvarEXE	28
251	Nekomin0	28
260	ExtraDumb	27
260	Reamdin	27
260	Vizzoid	27
260	GingerNeutron	27
260	pappaberg	27
260	TeenMomTom	27
260	aa2x_	27
260	JohnPrice	27
268	Dedalus36	26
268	Zaridey	26
268	Kynigito	26
268	Maenara	26
268	TheTrueClipse	26
268	Fildyr	26
268	SUN_DREAM	26
268	Xovalt_	26
268	07shiny	26
268	DennyKai	26
278	Valoth	25
278	beeleg	25
278	BlueZabu	25
278	Freeman666	25
278	seramalen	25
278	XxCookiequeenxX	25
278	wobn	25
285	jimbo61101jr	24
285	Zippyzam	24
285	Prismyst	24
285	xxPipperDipperxx	24
285	Chromary	24
285	Matorz	24
285	PlzNoBM	24
285	h2p_emrld	24
285	Freedrik	24
294	_Virify_	23
294	Unitas_isa	23
294	Malorn_Aetherius	23
294	Ardennes	23
294	boog4loo	23
294	ibarker21	23
294	MinerDec	23
