rank	username	minecraft:picked_up/minecraft:quartz
271	MovingFish7	557
272	MSK__	556
273	chlorinex	549
274	Lutres_Torane	538
275	diggydog67	536
276	Ardennes	535
277	Windo_licker	533
278	Kim_Jong_eel	529
279	xxPipperDipperxx	527
280	h2p_emrld	524
281	groggregg42	520
282	Hiryu27	519
283	JohnnyFyes	518
283	TheThomas69	518
285	ShedJr_	515
286	BreadBacon	510
287	_3Stump_	505
288	bloomkieren	504
289	coobert42	498
290	dartwaffle	492
290	wobn	492
292	AlphaWolfPlaysMC	481
293	CalebDHawk	479
294	Nyxiom_	456
294	mobunni	456
296	Noah_Bez	455
296	platinumzero	455
298	emrekn	446
299	obzii	439
300	2blox	437
