rank	username	minecraft:picked_up/minecraft:ink_sac
1	thewindmillman	252175
2	12Magner05	8477
3	Ezekson	6927
4	beeperbeeper5	6628
5	joethahobo	6303
6	Hisiste	4861
7	EcksD	3570
8	EveryonesUncle	3220
9	TheShyPig	3049
10	Enderslayerxz3	2919
11	RebelAndroid	2833
12	Freak_Genius	2560
13	noam464	2250
14	Snowflowe	2091
15	Blackberry1310	1928
16	Smoke____	1899
17	Frozil12	1854
18	Kakolbus	1602
19	NomadicRobin_	1406
20	pintsizedrogue	1296
21	oxfordschool	1278
22	masskedman	1273
23	MattieHD	1236
24	Racengan	1145
25	CoffeeNoir	1137
26	PigDab	1086
27	pixelviolin	1057
28	SteveCraftBlocks	1055
29	Blaiku	922
30	LordSpeed37	824
31	Legendosh	804
32	IWorkAtIkea	801
33	Awyrlas	788
34	Rumpletaezer	782
34	MightyWertu	782
36	Akoot_	773
37	Bumpy419	769
38	500am	763
39	YungMaki	746
40	_Virify_	729
41	Hyp3rion_	725
42	Spacewardharpy7	665
43	Comma__	638
44	PlasticOtari	629
45	gcaisawesome	627
46	kekhon	589
47	Mahoose	573
48	Deathkob	534
49	lordpipe	527
50	BobDeBouwer1337	525
51	Hermanni__	523
52	youhjjhhhjj	512
53	Dusk_95	499
54	h2p_emrld	475
55	M_Patata	474
55	Zythose	474
57	_Karmaa	467
57	MasterNueve	467
59	SammiWolfGirl	460
60	titanlax	434
61	fluddd	432
62	Hiryu27	429
63	Soplight	405
64	Chromary	401
65	mwrty	394
66	SkateboardR6	390
67	CharlieButt	378
68	claivin	377
69	Lord_Jord	373
70	Wowful	370
71	Winklepicker279	364
72	HellsSponge	362
73	Arceus1975	358
74	MilleGrug	338
75	Merv__	336
75	Kowcio_	336
77	MyNameIsJobo	333
78	Soap_Bender	321
79	Bandito_Roamer	312
80	m_be9	301
81	TechnoNinja64	300
82	The_SlideV5	299
83	EfficientC52	286
84	xxPipperDipperxx	284
85	Mr_Byzantine	278
86	T045RTY	273
87	Werbe	271
88	Dan_Scha	269
89	AssEatrAndLicker	268
90	Xclax101	260
91	burbankbuilder28	255
92	audiocracked	248
93	jushykins	243
94	Jovaphobic	241
95	MangoTheFish	239
96	ooga47	237
97	_TCARREIRA_	235
98	Eczbek	234
99	fffMike	228
100	Blu3beast	225
101	TheSecondLord	224
102	chipklip	223
103	Dedalus36	220
104	Avrelion	218
105	Groovy_MoonBird	215
106	Onennon	214
107	ImpavidArcher	210
108	DarlaMeow	207
109	YoshikageBites	206
110	Powowowow	202
111	Historical_Sand	196
112	MissCeleste7	193
112	Nicserso	193
114	El_Jalapeno	188
115	Xalithia	187
116	teslawolf38	185
117	diamondgolem35	184
118	PortlyPete69	182
119	rarrq	181
119	r123moore	181
121	EcksDofficial	180
122	Di_infiri	177
123	_Dean_123	173
124	sp00ky_ghost977	172
125	Fizznut909	171
126	PhantomsGhost_	170
127	1442	169
128	CollinMH06	167
129	Drlzyy	164
130	Swexti	161
131	SuperPooch06	157
132	jnp_gaming	155
133	Syropatathe	152
134	Quotary	150
135	stahouo	148
136	ROY4LE	145
137	Eraxa	144
138	ApophisNova	143
138	WyngGoy	143
138	MyNamaSheff	143
141	Cowison	141
142	lizardfightclub	136
143	fkGrim	133
143	The_slideV3	133
145	MAns_44	129
146	sebastiensaborio	126
146	anbbang	126
146	cichy096	126
149	SSytex_X	125
150	Miko_Fullbuster	123
151	Inchef	122
152	SaucyDark	120
152	Rocco_Lane	120
154	I_Am_Mushkin	119
155	Winston_Ingram	118
156	Sky_light_KING	114
157	SlayerCrypto	112
157	__tomato	112
159	bigstankyy	109
160	set67	105
160	gabriels543	105
160	Groundler	105
163	eitanzaki	102
163	gustarbite	102
165	JayToe	99
166	PlzNoBM	94
167	Sleek_Storm_721	91
168	NinjaKnifeKill	89
169	jacxhadow	88
169	MrExplorer	88
171	GOOBERGABE04	87
171	NoChumpChange	87
173	Alexanderjac	84
173	RadarHz	84
175	EMC_	82
175	CliffEmAll	82
177	bloodbiter	80
177	Kkanot	80
177	OverallConcept	80
177	SingedBread	80
181	Cryptacity	75
181	Nycteus_	75
181	starbits140	75
184	PegLegPete93	74
185	Leyna3	71
186	Inbefour	70
186	DTwenty	70
188	ThePoliteG	69
188	himak1	69
188	Paintz	69
188	DanTheBuilderino	69
192	ProfessorBee	68
192	seramalen	68
192	xo_Marren_xo	68
195	AJplaysMC_	66
195	Jiminie	66
195	Steven1282598	66
195	Cocoamallows	66
199	eiC_	65
199	XboxPanda	65
199	XxCookiequeenxX	65
199	layabout100	65
199	Sheldor097	65
199	kinas45y5	65
205	Natofthese	64
205	The_lost_his_tea	64
205	Diavri	64
205	Maenara	64
205	MakeHistory157	64
210	Frxnkz	63
211	Kubelz	60
211	Kubeusz2010	60
213	Nach0Bear	59
213	lcvezra	59
213	obzii	59
216	Zaridey	57
216	DemTechAlpha	57
218	Razzgriz	54
218	2blox	54
220	Jorrdi	53
220	ExtraDumb	53
222	SquadMonster	52
222	_3Stump_	52
224	_Boipl_	51
225	Kynigito	50
226	shyshyannne	49
227	hm947	48
227	TooManyDuck	48
227	Myszoaz	48
227	hagridfedpik	48
227	Vorlice	48
232	FirsTimeGamingTV	47
232	RoyalDorrr	47
234	Ssor69	46
235	MineMaster0012	45
235	stellarjay	45
237	Covalents	44
237	epiksk8erduck	44
237	KeruNatsema	44
237	RedcatVII	44
241	soundad	43
241	AnnieBathory	43
241	MeetTheWollo	43
244	egglapras	42
244	NameGenerat0r	42
246	Jackattack53	41
246	Ze_BaronKrigler	41
248	Paint	40
248	djancak	40
248	KingMatthew506	40
251	BlancoFlaco	38
251	Fuhrer_Teemo	38
251	ReyTheLegend	38
251	GlitchyPlate810	38
255	2Stout	37
255	monky_irl	37
255	BreadBacon	37
258	ItsAki_	36
259	Tobinator_007	35
259	Fullut	35
259	MyNameIsDakar	35
259	Njensen7	35
259	diggydog67	35
264	6king6colt6	34
264	ShedJr_	34
264	ConcretePirate	34
264	MovingFish7	34
264	swimingduck	34
264	TheEnderman548	34
270	Skylord_Luke	32
270	SpookyDraggin	32
272	TheMaster972	31
