rank	username	minecraft:picked_up/minecraft:yellow_concrete
1	Xclax101	3006
2	lordpipe	2352
3	beeperbeeper5	1939
4	Hoid_the_Roamer	1433
5	h2p_emrld	1216
6	lillips	1123
7	IAmTheWalrus910	925
8	Nicserso	811
9	Snowflowe	734
10	Spacewardharpy7	626
11	alderban107	558
12	Legendosh	551
13	Klerick	536
14	noam464	534
15	TheSecondLord	512
16	thewindmillman	489
17	YungMaki	477
18	HyperCave	451
19	sp00ky_ghost977	402
20	ImpavidArcher	367
21	stellarjay	321
22	MakeHistory157	292
23	ROY4LE	275
24	lcvezra	263
25	jnp_gaming	262
26	Optiprimus	237
27	Soplight	219
28	Kowcio_	210
29	Swexti	209
30	500am	206
31	Notta	202
31	HellsSponge	202
33	Merv__	196
34	Deathkob	182
35	Smoke____	179
36	Blackberry1310	172
37	pintsizedrogue	171
38	Sheldor097	150
39	MattieHD	136
40	Jackattack53	131
41	Kim_Jong_eel	128
42	Chromary	124
43	Skippeh	115
44	oxfordschool	113
45	Gryglu583	107
46	tartanboy	103
47	eitanzaki	94
48	Frozil12	93
49	Onennon	89
50	thescout7	83
50	PortlyPete69	83
52	Inchef	82
53	Fullut	79
54	Ze_BaronKrigler	78
55	Weepingbiel	73
56	Hiryu27	65
56	YoshikageBites	65
58	Di_infiri	61
59	Xovalt_	54
60	Blaiku	51
61	stavgod	48
62	6king6colt6	43
63	StanceTB	38
63	Truckoss	38
65	RoboTramp7865	32
66	Eraxa	30
67	Akoot_	27
68	rarrq	25
68	TechnoNinja64	25
70	laron58	23
71	ShedJr_	21
72	kekhon	20
72	theonlymagikarp	20
74	teslawolf38	19
74	MousePlays	19
76	jushykins	18
77	Werbe	16
78	joethahobo	15
78	oreee	15
78	OverallConcept	15
81	Mahoose	14
81	aubergined	14
83	SammiWolfGirl	13
84	ProbablyNick	11
84	xxPipperDipperxx	11
86	fluddd	10
86	BlankityMcBlank	10
86	EcksDofficial	10
89	AuroraValkyrie	9
89	noodlepack	9
91	__Fanda__	8
91	Mattesco	8
91	gloryoftherain	8
91	TheShyPig	8
91	Groundler	8
96	SonicRainBow_	7
97	Mr_Byzantine	6
97	CalebDHawk	6
99	ColeSnyder	5
99	MrExplorer	5
99	Nach0Bear	5
99	Zythose	5
99	_Bguette_	5
104	LexMakesHistory	4
104	kinas45y5	4
106	_Dean_123	3
106	bbquakes	3
106	Macho_Tacos	3
106	NameGenerat0r	3
106	Blu3beast	3
106	obzii	3
106	ProbsNotNova	3
113	TheBiggestFeller	2
113	Historical_Sand	2
113	claivin	2
113	LordSpeed37	2
113	SvenskaHugo	2
113	ArborTigress	2
113	Ezekson	2
120	KarlKaek	1
120	mwrty	1
120	Inbefour	1
120	ese_wn_po	1
120	EveryonesUncle	1
120	the__Reaper4999	1
120	WyngGoy	1
120	PlzNoBM	1
120	Quotary	1
120	sea_otter_h	1
