rank	username	minecraft:picked_up/minecraft:dead_brain_coral_block
1	Legendosh	2891
2	PazinGaming	915
3	Onennon	375
4	PlasticOtari	329
5	luseis	188
6	Manaateee	147
7	Vetral1	128
8	H0UNDFRMH3LL	113
9	Kura2218	91
10	Di_infiri	89
11	diamondgolem35	60
12	eitanzaki	37
13	Kouridragon	34
14	thewindmillman	33
15	fkGrim	31
16	ImpavidArcher	28
17	kekhon	26
18	djancak	23
18	PortlyPete69	23
20	lillips	20
21	groofles	19
21	EcksD	19
23	hollowww	18
24	MattieHD	16
25	SuperPooch06	14
26	DarkLawD	12
27	pintsizedrogue	10
27	Doom_melon	10
29	Lez_	7
30	Historical_Sand	6
30	arcanemagic	6
30	NotoriousNina	6
30	bloomkieren	6
30	Jimb0nat0r	6
35	Foof13	5
35	SaucyDark	5
35	Eerini	5
35	HellsSponge	5
35	Skippeh	5
40	lorpus	4
40	burbankbuilder28	4
40	1442	4
40	FreakGenius	4
40	El_Jalapeno	4
40	YungMaki	4
40	BlankityMcBlank	4
47	KarlKaek	3
47	Blackberry1310	3
47	Paintz	3
47	M_Patata	3
47	Jackattack53	3
47	PaperCanvas	3
47	balin55	3
47	Blu3beast	3
47	MasterNueve	3
47	Ezekson	3
57	Batman922	2
57	Huwulling	2
57	jessewegottacook	2
57	Euclidoris	2
57	Frxnkz	2
57	bloodbiter	2
57	Guillemet	2
57	legal_tax_evader	2
57	Bumpy419	2
57	ItsAki_	2
57	Werbe	2
57	Inbefour	2
57	Karbl	2
57	NameGenerat0r	2
57	Spacewardharpy7	2
57	Factoroni	2
57	lordpipe	2
57	Zetsey	2
57	Segotep999	2
57	_i_ERROR_i_	2
57	laron58	2
57	Nicserso	2
57	Zoeyfortnite	2
80	FroggoTheDoggo	1
80	the_fireminer	1
80	lotarp	1
80	beeperbeeper5	1
80	InfernalMound	1
80	Tiberonus	1
80	500am	1
80	Motsaro	1
80	MyNameIsJobo	1
80	Jonafrog99	1
80	Arceus1975	1
80	Hyp3rion_	1
80	Krowuss	1
80	Donutt	1
80	oscminus	1
80	Voxin2K	1
80	Mattesco	1
80	J4k__	1
80	TheShyPig	1
80	AuroraSkies	1
80	sufjanlover	1
80	Soap_Bender	1
80	_Karmaa	1
80	claivin	1
80	SingedBread	1
80	SkateboardR6	1
80	Hisiste	1
80	TheTommyGun63	1
80	Kukkelikuk	1
80	Kowcio_	1
80	TheOnlyRake	1
80	ConnorDanky_	1
80	Quotary	1
80	OrewaSora	1
80	TechnoNinja64	1
80	xolstoi	1
