rank	username	minecraft:picked_up/minecraft:white_wool
1	thewindmillman	327363
2	EcksD	118776
3	noam464	116886
4	Hyp3rion_	86431
5	joethahobo	67115
6	FreakGenius	27996
7	hanaryheatwave	27028
8	lordpipe	21324
9	Werbe	15834
10	xxPipperDipperxx	9620
11	Njensen7	9286
12	Legendosh	7342
13	HellsSponge	6166
14	TheShyPig	6046
15	xolstoi	5905
16	Di_infiri	5753
17	TechnoNinja64	5622
18	kekhon	5452
19	m_be9	5391
20	CattSoup	4853
21	thescout7	4507
22	YungMaki	4399
23	Lez_	4390
24	Crowman1	3861
25	Snowflowe	3590
26	CoffeeNoir	3539
27	eitanzaki	3520
28	Frozil20	3295
29	Skylord_Luke	3258
30	Mahoose	2996
31	beeperbeeper5	2959
32	mwrty	2754
33	Hermanni__	2652
34	PeteO1995	2595
35	ConnorDanky_	2372
36	Huwulling	2223
37	Kowcio_	2221
38	pintsizedrogue	2143
39	Lord_Jord	2107
40	Ezekson	1817
41	PhantomsGhost_	1795
42	heckface	1782
43	Blaiku	1779
44	MakeHistory157	1766
45	fffMike	1697
46	burbankbuilder28	1683
47	Kakolbus	1677
48	jacxhadow	1629
49	lcvezra	1627
50	AdmiralSmoke	1568
51	PazinGaming	1451
52	RadarHz	1433
53	El_Jalapeno	1423
54	Merv__	1392
55	Inbefour	1382
56	The_slideV3	1359
57	Fildyr	1348
58	EveryonesUncle	1342
59	ApophisNova	1313
59	MyNamaSheff	1313
61	500am	1262
62	Spacewardharpy7	1257
63	ROY4LE	1237
64	LeonelSalamanca	1201
65	Jimb0nat0r	1166
66	Barlycorn	1132
67	Mattesco	1106
68	Awyrlas	1081
69	The11thDoctor	1080
70	MattieHD	1072
71	EMC_	1049
72	Spenduh	1042
73	Akoot_	1037
74	Blackberry1310	1034
75	Arceus1975	996
76	Eraxa	923
77	jnp_gaming	900
78	dabloons	884
78	xzvu	884
80	TheSecondLord	851
81	Enderxz3	848
82	anbbang	835
83	Luigipunch989	818
84	PlasticOtari	798
85	Quotary	794
86	PlzNoBM	791
87	Soplight	762
88	JoCoLi	760
