rank	username	minecraft:picked_up/minecraft:waxed_oxidized_cut_copper
1	Buuck_	47
2	Marbz_	44
3	Mattesco	43
4	thewindmillman	14
5	Spaghettatron	9
6	CLG_Kata	8
7	Mr_Byzantine	5
8	Manaateee	4
9	MyMawgDonaldsGon	2
9	oscminus	2
9	Eczbek	2
12	k_ce	1
12	skroobiez	1
12	MattieHD	1
12	lpinfinity	1
12	luseis	1
12	Steelynan	1
